Date,SPXC
2010-01-04,13.079107284545898
2010-01-05,12.889052391052246
2010-01-06,13.042024612426758
2010-01-07,13.679407119750977
2010-01-08,14.029389381408691
2010-01-11,14.337651252746582
2010-01-12,14.33996868133545
2010-01-13,14.307520866394043
2010-01-14,14.184678077697754
2010-01-15,14.066472053527832
2010-01-19,14.224081039428711
2010-01-20,13.542661666870117
2010-01-21,13.280755043029785
2010-01-22,13.150958061218262
2010-01-25,13.079107284545898
2010-01-26,13.06751823425293
2010-01-27,12.893689155578613
2010-01-28,12.678136825561523
2010-01-29,12.617876052856445
2010-02-01,12.87282657623291
2010-02-02,13.30624771118164
2010-02-03,13.081427574157715
2010-02-04,12.708267211914062
2010-02-05,12.685090065002441
2010-02-08,12.552979469299316
2010-02-09,12.865875244140625
2010-02-10,13.002622604370117
2010-02-11,13.109240531921387
2010-02-12,13.141690254211426
2010-02-16,13.510210037231445
2010-02-17,13.721128463745117
2010-02-18,13.792976379394531
2010-02-19,13.980714797973633
2010-02-22,14.282023429870605
2010-02-23,14.0757417678833
2010-02-24,14.189313888549805
2010-02-25,13.80688190460205
2010-02-26,13.788339614868164
2010-03-01,14.161500930786133
2010-03-02,14.168451309204102
2010-03-03,14.261165618896484
2010-03-04,14.26811695098877
2010-03-05,14.578697204589844
2010-03-08,14.455859184265137
2010-03-09,14.286662101745605
2010-03-10,14.434999465942383
2010-03-11,14.483863830566406
2010-03-12,14.579277038574219
2010-03-15,14.42103385925293
2010-03-16,14.44663143157959
2010-03-17,14.653742790222168
2010-03-18,14.507137298583984
2010-03-19,14.109203338623047
2010-03-22,14.181343078613281
2010-03-23,14.311659812927246
2010-03-24,14.300024032592773
2010-03-25,14.472229957580566
2010-03-26,15.051677703857422
2010-03-29,15.568296432495117
2010-03-30,15.456591606140137
2010-03-31,15.43332290649414
2010-04-01,15.640437126159668
2010-04-05,15.803330421447754
2010-04-06,15.910381317138672
2010-04-07,15.926671028137207
2010-04-08,15.940629005432129
2010-04-09,15.99880313873291
2010-04-12,15.7521333694458
2010-04-13,15.763772010803223
2010-04-14,15.92899227142334
