Date,GOOD
2010-01-04,3.689103603363037
2010-01-05,3.5714242458343506
2010-01-06,3.617947578430176
2010-01-07,3.6234238147735596
2010-01-08,3.689103603363037
2010-01-11,3.642583131790161
2010-01-12,3.6726856231689453
2010-01-13,3.6617374420166016
2010-01-14,3.7164714336395264
2010-01-15,3.700051784515381
2010-01-19,3.7262930870056152
2010-01-20,3.6848602294921875
2010-01-21,3.6323769092559814
2010-01-22,3.695906162261963
2010-01-25,3.654474973678589
2010-01-26,3.6876237392425537
2010-01-27,3.7235300540924072
2010-01-28,3.822974920272827
2010-01-29,3.8450710773468018
2010-02-01,3.8395438194274902
2010-02-02,3.8312599658966064
2010-02-03,3.858882427215576
2010-02-04,3.798112630844116
2010-02-05,3.8865034580230713
2010-02-08,3.817451000213623
2010-02-09,3.8284964561462402
2010-02-10,3.878216028213501
2010-02-11,3.867166757583618
2010-02-12,3.867166757583618
2010-02-16,3.902005672454834
2010-02-17,3.902005672454834
2010-02-18,3.904794931411743
2010-02-19,3.8936471939086914
2010-02-22,3.9549639225006104
2010-02-23,3.899221897125244
2010-02-24,3.9131550788879395
2010-02-25,3.9326672554016113
2010-02-26,3.896434783935547
2010-03-01,3.899221897125244
2010-03-02,3.9354543685913086
2010-03-03,3.9131550788879395
2010-03-04,3.9326672554016113
2010-03-05,3.938241481781006
2010-03-08,4.010706901550293
2010-03-09,3.999560594558716
2010-03-10,4.041365623474121
2010-03-11,4.038575649261475
2010-03-12,4.024641513824463
2010-03-15,4.060875415802002
2010-03-16,4.066449165344238
2010-03-17,4.066449165344238
2010-03-18,4.055301666259766
2010-03-19,4.076386451721191
2010-03-22,4.076386451721191
2010-03-23,4.073570251464844
2010-03-24,4.065141201019287
2010-03-25,4.006101608276367
2010-03-26,4.079195976257324
2010-03-29,4.062328338623047
2010-03-30,4.073570251464844
2010-03-31,4.062328338623047
2010-04-01,4.056707382202148
2010-04-05,4.079195976257324
2010-04-06,4.090443134307861
2010-04-07,4.076386451721191
2010-04-08,4.062328338623047
2010-04-09,4.112934589385986
2010-04-12,4.171968936920166
2010-04-13,4.3181586265563965
2010-04-14,4.472783088684082
2010-04-15,4.537438869476318
2010-04-16,4.551493167877197
2010-04-19,4.5796074867248535
2010-04-20,4.6773481369018555
2010-04-21,4.660350799560547
2010-04-22,4.660350799560547
2010-04-23,4.683014392852783
2010-04-26,4.8813276290893555
2010-04-27,4.765174865722656
2010-04-28,4.666015148162842
2010-04-29,4.821833610534668
2010-04-30,4.589524745941162
2010-05-03,4.804832935333252
2010-05-04,4.793498992919922
2010-05-05,4.734009265899658
2010-05-06,4.323217391967773
2010-05-07,4.498867034912109
2010-05-10,4.722678184509277
2010-05-11,4.819002628326416
2010-05-12,4.833168029785156
2010-05-13,4.8105010986328125
2010-05-14,4.770837306976318
2010-05-17,4.77933931350708
2010-05-18,4.592386722564697
2010-05-19,4.375472068786621
2010-05-20,4.175678253173828
2010-05-21,4.421136856079102
2010-05-24,4.458242893218994
2010-05-25,4.301262378692627
2010-05-26,4.375472068786621
2010-05-27,4.686576843261719
2010-05-28,4.635204315185547
2010-06-01,4.529598712921143
2010-06-02,4.678018093109131
2010-06-03,4.6266374588012695
2010-06-04,4.278430461883545
2010-06-07,4.329807281494141
2010-06-08,4.278430461883545
2010-06-09,4.409721374511719
2010-06-10,4.563846111297607
2010-06-11,4.5724101066589355
2010-06-14,4.5724101066589355
2010-06-15,4.72083044052124
2010-06-16,4.775055408477783
2010-06-17,4.777912139892578
2010-06-18,4.779350280761719
2010-06-21,4.603933811187744
2010-06-22,4.546422481536865
2010-06-23,4.569426536560059
2010-06-24,4.534916400909424
2010-06-25,5.087044715881348
2010-06-28,4.871371269226074
2010-06-29,4.543543338775635
2010-06-30,4.698831558227539
2010-07-01,4.730462551116943
2010-07-02,4.762096881866455
2010-07-06,4.549297332763672
2010-07-07,4.721832752227783
2010-07-08,4.833983898162842
2010-07-09,4.882873058319092
2010-07-12,4.805231094360352
2010-07-13,4.859869480133057
2010-07-14,4.828236103057861
2010-07-15,4.816730976104736
2010-07-16,4.773601531982422
2010-07-19,4.836864471435547
2010-07-20,4.910741806030273
2010-07-21,4.818032264709473
2010-07-22,4.925225257873535
2010-07-23,5.009247779846191
2010-07-26,4.991862773895264
2010-07-27,4.887563705444336
2010-07-28,4.881767749786377
2010-07-29,4.942610263824463
2010-07-30,4.93681526184082
2010-08-02,4.933917045593262
2010-08-03,4.928125858306885
2010-08-04,4.925225257873535
2010-08-05,4.881767749786377
2010-08-06,4.928125858306885
2010-08-09,4.962888240814209
2010-08-10,4.896256446838379
2010-08-11,4.8585896492004395
2010-08-12,4.8441057205200195
2010-08-13,4.780366897583008
2010-08-16,4.945507526397705
2010-08-17,4.893356800079346
2010-08-18,4.887563705444336
2010-08-19,4.757673263549805
2010-08-20,4.68178653717041
2010-08-23,4.602977752685547
2010-08-24,4.696379661560059
2010-08-25,4.836483001708984
2010-08-26,4.932805061340332
2010-08-27,4.964913845062256
2010-08-30,4.891942501068115
2010-08-31,4.92404842376709
2010-09-01,4.964913845062256
2010-09-02,4.970749378204346
2010-09-03,4.982423305511475
2010-09-07,4.944480895996094
2010-09-08,4.956153869628906
2010-09-09,4.947397232055664
2010-09-10,4.959074020385742
2010-09-13,4.976583957672119
2010-09-14,4.964913845062256
2010-09-15,4.997016906738281
2010-09-16,4.953238487243652
2010-09-17,4.944480895996094
2010-09-20,5.0018229484558105
2010-09-21,4.975353240966797
2010-09-22,4.98711633682251
2010-09-23,4.878317356109619
