Date,SFL
2010-01-04,3.094078779220581
2010-01-05,3.083122491836548
2010-01-06,3.083122491836548
2010-01-07,3.089696168899536
2010-01-08,3.2781450748443604
2010-01-11,3.3920912742614746
2010-01-12,3.3132052421569824
2010-01-13,3.4227702617645264
2010-01-14,3.4600210189819336
2010-01-15,3.3657965660095215
2010-01-19,3.37675142288208
2010-01-20,3.4052391052246094
2010-01-21,3.3285441398620605
2010-01-22,3.2124075889587402
2010-01-25,3.343884229660034
2010-01-26,3.306633234024048
2010-01-27,3.363605260848999
2010-01-28,3.2474682331085205
2010-01-29,3.1707727909088135
2010-02-01,3.2649972438812256
2010-02-02,3.271571397781372
2010-02-03,3.282527208328247
2010-02-04,3.164198160171509
2010-02-05,3.0809309482574463
2010-02-08,3.026148796081543
2010-02-09,3.091885805130005
2010-02-10,3.0283403396606445
2010-02-11,3.0721657276153564
2010-02-12,3.118183135986328
2010-02-16,3.2496583461761475
2010-02-17,3.2693803310394287
2010-02-18,3.302248477935791
2010-02-19,3.2978675365448
2010-02-22,3.3416922092437744
2010-02-23,3.3526484966278076
2010-02-24,3.3899002075195312
2010-02-25,3.427152395248413
2010-02-26,3.4841253757476807
2010-03-01,3.6243674755096436
2010-03-02,3.7426958084106445
2010-03-03,3.880746603012085
2010-03-04,3.790902853012085
2010-03-05,3.8938941955566406
2010-03-08,3.8938941955566406
2010-03-09,3.942101001739502
2010-03-10,4.060431003570557
2010-03-11,4.132742404937744
2010-03-12,4.242306232452393
2010-03-15,4.211627960205078
2010-03-16,4.117403507232666
2010-03-17,4.175300598144531
2010-03-18,4.181982040405273
2010-03-19,3.9882471561431885
2010-03-22,4.057279109954834
2010-03-23,4.052825927734375
2010-03-24,4.057279109954834
2010-03-25,4.010515213012695
2010-03-26,3.990473747253418
2010-03-29,4.059504985809326
2010-03-30,4.006063938140869
2010-03-31,3.9548447132110596
2010-04-01,4.061733245849609
2010-04-05,4.170847415924072
2010-04-06,4.257693290710449
2010-04-07,4.286642551422119
2010-04-08,4.342312812805176
2010-04-09,4.502645015716553
2010-04-12,4.685244083404541
2010-04-13,4.593943119049072
2010-04-14,4.580584526062012
2010-04-15,4.609532356262207
2010-04-16,4.422479152679443
2010-04-19,4.413570880889893
2010-04-20,4.482602119445801
2010-04-21,4.558313846588135
2010-04-22,4.451426982879639
2010-04-23,4.487058162689209
2010-04-26,4.60730504989624
2010-04-27,4.478148460388184
2010-04-28,4.444747447967529
2010-04-29,4.415797710418701
2010-04-30,4.409115791320801
2010-05-03,4.556087493896484
2010-05-04,4.384623050689697
2010-05-05,4.210930347442627
2010-05-06,3.990473747253418
2010-05-07,3.885812759399414
2010-05-10,4.251012802124023
2010-05-11,4.29332160949707
2010-05-12,4.440293788909912
2010-05-13,4.382395267486572
2010-05-14,4.286642551422119
2010-05-17,4.1463518142700195
2010-05-18,4.097362995147705
2010-05-19,4.035009860992432
2010-05-20,3.7499749660491943
2010-05-21,3.816781997680664
2010-05-24,3.6965315341949463
2010-05-25,3.7499749660491943
2010-05-26,3.919217109680176
2010-05-27,4.188660621643066
2010-05-28,4.097998142242432
2010-06-01,3.962002992630005
2010-06-02,4.12066125869751
2010-06-03,4.159195899963379
2010-06-04,4.011868476867676
2010-06-07,3.9144034385681152
2010-06-08,3.837340831756592
2010-06-09,3.844139337539673
2010-06-10,4.075331687927246
2010-06-11,4.163729190826416
2010-06-14,4.177327632904053
2010-06-15,4.315592288970947
2010-06-16,4.295190334320068
2010-06-17,4.304257869720459
2010-06-18,4.385854721069336
2010-06-21,4.394920349121094
2010-06-22,4.2997236251831055
2010-06-23,4.345057487487793
2010-06-24,4.184127330780029
2010-06-25,4.329191207885742
2010-06-28,4.397188186645508
2010-06-29,4.186393737792969
2010-06-30,4.05266809463501
2010-07-01,3.996001958847046
2010-07-02,4.018666744232178
2010-07-06,3.9710683822631836
2010-07-07,4.209060192108154
2010-07-08,4.292924404144287
2010-07-09,4.326923847198486
2010-07-12,4.175059795379639
2010-07-13,4.292924404144287
2010-07-14,4.2657246589660645
2010-07-15,4.229459285736084
2010-07-16,4.095730304718018
2010-07-19,4.095730304718018
2010-07-20,4.21132755279541
2010-07-21,4.073063850402832
2010-07-22,4.256660461425781
2010-07-23,4.356388568878174
2010-07-26,4.494650363922119
2010-07-27,4.379053592681885
2010-07-28,4.345057487487793
2010-07-29,4.342790603637695
2010-07-30,4.320123672485352
2010-08-02,4.4334540367126465
2010-08-03,4.431186676025391
2010-08-04,4.494650363922119
2010-08-05,4.46291971206665
2010-08-06,4.410787582397461
2010-08-09,4.442519664764404
2010-08-10,4.372255802154541
2010-08-11,4.236259937286377
2010-08-12,4.209060192108154
2010-08-13,4.1523966789245605
2010-08-16,4.236259937286377
2010-08-17,4.329191207885742
2010-08-18,4.356388568878174
2010-08-19,4.2430596351623535
2010-08-20,4.252127170562744
2010-08-23,4.077600002288818
2010-08-24,3.8532068729400635
2010-08-25,3.9325356483459473
2010-08-26,3.9846694469451904
2010-08-27,4.059466361999512
2010-08-30,4.032266139984131
2010-08-31,3.968801736831665
2010-09-01,4.177327632904053
2010-09-02,4.231727123260498
2010-09-03,4.306524276733398
2010-09-07,4.184127330780029
2010-09-08,4.197991371154785
2010-09-09,4.179507255554199
2010-09-10,4.211852550506592
2010-09-13,4.30195951461792
2010-09-14,4.30657958984375
2010-09-15,4.271923065185547
2010-09-16,4.246509075164795
2010-09-17,4.2673020362854
2010-09-20,4.350478172302246
2010-09-21,4.343547344207764
2010-09-22,4.3343048095703125
2010-09-23,4.202611446380615
