Date,FNB
2010-01-04,3.687469244003296
2010-01-05,3.608790397644043
2010-01-06,3.6455066204071045
2010-01-07,3.771395683288574
2010-01-08,3.8395845890045166
2010-01-11,3.7032063007354736
2010-01-12,3.7032063007354736
2010-01-13,3.750412940979004
2010-01-14,3.871056318283081
2010-01-15,3.81335711479187
2010-01-19,3.892038583755493
2010-01-20,3.8448307514190674
2010-01-21,3.9602279663085938
2010-01-22,3.8605661392211914
2010-01-25,3.781886100769043
2010-01-26,3.682225465774536
2010-01-27,3.8815484046936035
2010-01-28,3.781886100769043
2010-01-29,3.718942880630493
2010-02-01,3.7399230003356934
2010-02-02,3.697960615158081
2010-02-03,3.619281530380249
2010-02-04,3.5563364028930664
2010-02-05,3.6402621269226074
2010-02-08,3.5353543758392334
2010-02-09,3.5773181915283203
2010-02-10,3.619281530380249
2010-02-11,3.619281530380249
2010-02-12,3.6402621269226074
2010-02-16,3.7399230003356934
2010-02-17,3.7294325828552246
2010-02-18,3.8238487243652344
2010-02-19,3.8605661392211914
2010-02-22,3.8972837924957275
2010-02-23,3.8605661392211914
2010-02-24,3.9969441890716553
2010-02-25,4.034249305725098
2010-02-26,4.05023717880249
2010-03-01,4.018261909484863
2010-03-02,3.922335624694824
2010-03-03,3.895688533782959
2010-03-04,3.959638833999634
2010-03-05,4.146164417266846
2010-03-08,4.146164417266846
2010-03-09,4.172810077667236
2010-03-10,4.2154436111450195
2010-03-11,4.2580766677856445
2010-03-12,4.2154436111450195
2010-03-15,4.26340913772583
2010-03-16,4.300710678100586
2010-03-17,4.316699981689453
2010-03-18,4.327358245849609
2010-03-19,4.4659199714660645
2010-03-22,4.535200595855713
2010-03-23,4.567174434661865
2010-03-24,4.444601535797119
2010-03-25,4.481906414031982
2010-03-26,4.513883113861084
2010-03-29,4.4339447021484375
2010-03-30,4.407299518585205
2010-03-31,4.322028160095215
2010-04-01,4.3913092613220215
2010-04-05,4.487236499786377
2010-04-06,4.6311259269714355
2010-04-07,4.6311259269714355
2010-04-08,4.65244197845459
2010-04-09,4.67909049987793
2010-04-12,4.71106481552124
2010-04-13,4.663100719451904
2010-04-14,4.7910051345825195
2010-04-15,4.82830810546875
2010-04-16,4.716395854949951
2010-04-19,4.668430328369141
2010-04-20,4.775015830993652
2010-04-21,4.94022274017334
2010-04-22,5.116089344024658
2010-04-23,5.062796592712402
2010-04-26,4.950881481170654
2010-04-27,4.801663398742676
2010-04-28,4.886931419372559
2010-04-29,5.164052486419678
2010-04-30,4.9668684005737305
2010-05-03,5.020162582397461
2010-05-04,4.87094259262085
2010-05-05,4.876270294189453
2010-05-06,4.71106481552124
2010-05-07,4.481906414031982
2010-05-10,4.775015830993652
2010-05-11,4.934894561767578
