Date,TRC
2010-01-04,28.4670352935791
2010-01-05,27.84552764892578
2010-01-06,27.572439193725586
2010-01-07,28.156280517578125
2010-01-08,27.760774612426758
2010-01-11,27.393518447875977
2010-01-12,27.32760238647461
2010-01-13,28.24103355407715
2010-01-14,28.485870361328125
2010-01-15,28.75895881652832
2010-01-19,28.900209426879883
2010-01-20,28.39170265197754
2010-01-21,28.10919761657715
2010-01-22,28.297534942626953
2010-01-25,28.49528694152832
2010-01-26,28.250450134277344
2010-01-27,28.419952392578125
2010-01-28,29.19213104248047
2010-01-29,28.824874877929688
2010-02-01,28.71187400817871
2010-02-02,28.947294235229492
2010-02-03,28.45762062072754
2010-02-04,27.789026260375977
2010-02-05,28.137447357177734
2010-02-08,27.694856643676758
2010-02-09,27.854942321777344
2010-02-10,27.939695358276367
2010-02-11,28.42936897277832
2010-02-12,28.5988712310791
2010-02-16,28.570621490478516
2010-02-17,28.60828971862793
2010-02-18,28.919044494628906
2010-02-19,29.19213104248047
2010-02-22,29.38988494873047
2010-02-23,29.52172088623047
2010-02-24,30.152647018432617
2010-02-25,29.42755126953125
2010-02-26,30.510486602783203
2010-03-01,30.312732696533203
2010-03-02,30.378650665283203
2010-03-03,30.49165153503418
2010-03-04,30.53873634338379
2010-03-05,31.12257957458496
2010-03-08,31.047243118286133
2010-03-09,31.20733070373535
2010-03-10,30.85890769958496
2010-03-11,30.265647888183594
2010-03-12,30.3880672454834
2010-03-15,29.719472885131836
2010-03-16,29.77597427368164
2010-03-17,30.152647018432617
2010-03-18,30.030227661132812
2010-03-19,29.465219497680664
2010-03-22,29.72888946533203
2010-03-23,29.766557693481445
2010-03-24,29.69122314453125
2010-03-25,28.984960556030273
2010-03-26,28.871959686279297
2010-03-29,29.06029510498047
2010-03-30,29.079130172729492
2010-03-31,28.740123748779297
2010-04-01,28.51412010192871
2010-04-05,28.5329532623291
2010-04-06,28.250450134277344
2010-04-07,27.986778259277344
2010-04-08,27.525354385375977
2010-04-09,27.544187545776367
2010-04-12,27.073347091674805
2010-04-13,28.156280517578125
2010-04-14,28.250450134277344
2010-04-15,28.250450134277344
2010-04-16,28.38228416442871
2010-04-19,28.31636619567871
2010-04-20,28.10919761657715
2010-04-21,28.10919761657715
2010-04-22,28.21278190612793
2010-04-23,28.269283294677734
2010-04-26,27.949111938476562
2010-04-27,27.318185806274414
2010-04-28,27.723108291625977
2010-04-29,28.156280517578125
2010-04-30,27.082763671875
2010-05-03,27.355852127075195
2010-05-04,27.054513931274414
2010-05-05,27.06393051147461
2010-05-06,26.489505767822266
2010-05-07,25.41598892211914
2010-05-10,26.988595962524414
2010-05-11,26.78142547607422
2010-05-12,26.903844833374023
2010-05-13,26.837926864624023
2010-05-14,26.856761932373047
2010-05-17,27.167516708374023
2010-05-18,26.922679901123047
2010-05-19,25.04873275756836
