Date,CC
2015-06-19,14.420918464660645
2015-06-22,13.853096961975098
2015-06-23,12.341913223266602
2015-06-24,11.688331604003906
2015-06-25,10.367348670959473
2015-06-26,10.360430717468262
2015-06-29,10.720071792602539
2015-06-30,11.065877914428711
2015-07-01,11.418604850769043
2015-07-02,11.418604850769043
2015-07-06,11.093545913696289
2015-07-07,10.367348670959473
2015-07-08,9.004859924316406
2015-07-09,8.16800308227539
2015-07-10,8.064260482788086
2015-07-13,7.884439945220947
2015-07-14,8.755878448486328
2015-07-15,8.984112739562988
2015-07-16,9.067102432250977
2015-07-17,9.018691062927246
2015-07-20,8.638300895690918
2015-07-21,8.562224388122559
2015-07-22,8.327071189880371
2015-07-23,8.19566535949707
2015-07-24,7.8221940994262695
2015-07-27,7.434886932373047
2015-07-28,7.815276145935059
2015-07-29,8.430818557739258
2015-07-30,8.39460277557373
2015-07-31,7.9093241691589355
2015-08-03,7.706521511077881
2015-08-04,7.221242427825928
2015-08-05,6.8590922355651855
2015-08-06,8.039694786071777
2015-08-07,7.9745097160339355
2015-08-10,8.039694786071777
2015-08-11,7.742734432220459
2015-08-12,7.2574567794799805
2015-08-13,7.8151655197143555
2015-08-14,7.684792518615723
2015-08-17,7.9527812004089355
2015-08-18,7.2574567794799805
2015-08-19,7.069138050079346
2015-08-20,6.967738151550293
2015-08-21,6.663532733917236
2015-08-24,6.663532733917236
2015-08-25,6.018909454345703
2015-08-26,6.605587482452393
2015-08-27,6.931522369384766
2015-08-28,7.011196613311768
2015-08-31,7.003951072692871
2015-09-01,6.786662578582764
2015-09-02,6.279655456542969
2015-09-03,6.801146984100342
2015-09-04,6.49694299697876
2015-09-08,6.605587482452393
2015-09-09,6.735962867736816
2015-09-10,6.634559631347656
2015-09-11,6.56937313079834
2015-09-14,6.489701271057129
2015-09-15,6.8083930015563965
2015-09-16,6.960492134094238
2015-09-17,6.8446044921875
2015-09-18,6.344841480255127
2015-09-21,6.6200761795043945
2015-09-22,6.294139862060547
2015-09-23,5.779890060424805
2015-09-24,5.490172386169434
2015-09-25,5.113536357879639
2015-09-28,4.693444728851318
2015-09-29,4.476156234741211
2015-09-30,4.68619966506958
2015-10-01,4.758631229400635
2015-10-02,5.12802267074585
2015-10-05,5.4756855964660645
2015-10-06,5.946478843688965
2015-10-07,5.700217247009277
2015-10-08,6.1058220863342285
2015-10-09,5.816104412078857
2015-10-12,5.830591201782227
2015-10-13,5.31633996963501
2015-10-14,5.222181797027588
2015-10-15,5.120779991149902
2015-10-16,4.628257751464844
2015-10-19,4.403725624084473
2015-10-20,4.6427435874938965
2015-10-21,4.53410005569458
2015-10-22,4.599286079406738
2015-10-23,4.751388072967529
2015-10-26,4.6717143058776855
2015-10-27,4.751388072967529
2015-10-28,4.823818206787109
2015-10-29,5.004891872406006
2015-10-30,5.019378185272217
2015-11-02,5.5046586990356445
2015-11-03,6.1420392990112305
2015-11-04,5.888534069061279
2015-11-05,5.446712970733643
2015-11-06,4.87451696395874
2015-11-09,4.657228946685791
2015-11-10,4.475305557250977
2015-11-11,4.2933831214904785
2015-11-12,4.256997108459473
2015-11-13,4.140568256378174
2015-11-16,4.264275550842285
2015-11-17,4.08962869644165
2015-11-18,4.249721050262451
2015-11-19,4.395260334014893
2015-11-20,4.358874797821045
2015-11-23,4.322491645812988
2015-11-24,4.475305557250977
2015-11-25,4.591737270355225
2015-11-27,4.613568305969238
2015-11-30,4.548074245452881
2015-12-01,4.402537822723389
2015-12-02,4.4534759521484375
2015-12-03,4.3443217277526855
2015-12-04,4.51896858215332
2015-12-07,4.3734307289123535
2015-12-08,4.20605993270874
2015-12-09,4.395260334014893
2015-12-10,4.460753440856934
2015-12-11,4.140568256378174
2015-12-14,3.8276607990264893
2015-12-15,3.900428533554077
2015-12-16,4.111460208892822
2015-12-17,3.434706211090088
2015-12-18,4.337045192718506
2015-12-21,4.05324649810791
2015-12-22,4.169674873352051
2015-12-23,4.191507816314697
2015-12-24,4.176951885223389
2015-12-28,3.929537057876587
2015-12-29,3.9877524375915527
2015-12-30,3.820383071899414
2015-12-31,3.900428533554077
2016-01-04,3.9877524375915527
2016-01-05,3.944092273712158
2016-01-06,3.7257843017578125
2016-01-07,3.4565370082855225
2016-01-08,3.492922306060791
2016-01-11,3.1872916221618652
2016-01-12,2.845275402069092
2016-01-13,2.401383876800537
2016-01-14,2.55419921875
2016-01-15,2.896214723587036
2016-01-19,2.612414598464966
2016-01-20,2.656076192855835
2016-01-21,2.6342451572418213
2016-01-22,2.765230417251587
2016-01-25,2.539644718170166
2016-01-26,2.4232144355773926
2016-01-27,2.270399570465088
2016-01-28,2.2849531173706055
2016-01-29,2.8671071529388428
2016-02-01,2.845275402069092
2016-02-02,2.6633529663085938
2016-02-03,2.910768747329712
2016-02-04,3.2018446922302246
2016-02-05,3.0344762802124023
2016-02-08,3.0126447677612305
2016-02-09,2.896214723587036
2016-02-10,2.6196906566619873
2016-02-11,2.8161678314208984
2016-02-12,2.8234450817108154
2016-02-16,2.6851842403411865
2016-02-17,3.0271987915039062
2016-02-18,3.0053679943084717
2016-02-19,3.0053679943084717
2016-02-22,3.049030065536499
2016-02-23,2.947153329849243
2016-02-24,3.485645055770874
2016-02-25,3.5729687213897705
2016-02-26,3.5656917095184326
2016-02-29,3.733059883117676
2016-03-01,3.929537057876587
2016-03-02,4.15512228012085
2016-03-03,4.337045192718506
2016-03-04,4.213337421417236
2016-03-07,4.78821325302124
2016-03-08,4.4243669509887695
2016-03-09,4.614506244659424
2016-03-10,4.63644552230835
