Date,GIS
2010-01-04,20.970638275146484
2010-01-05,20.775423049926758
2010-01-06,20.899646759033203
2010-01-07,21.2362117767334
2010-01-08,21.063457489013672
2010-01-11,21.084312438964844
2010-01-12,21.24216651916504
2010-01-13,21.337474822998047
2010-01-14,21.337474822998047
2010-01-15,21.24515151977539
2010-01-19,21.41789436340332
2010-01-20,21.274932861328125
2010-01-21,21.182600021362305
2010-01-22,21.13494300842285
2010-01-25,21.078357696533203
2010-01-26,21.13494300842285
2010-01-27,21.301738739013672
2010-01-28,21.429805755615234
2010-01-29,21.239185333251953
2010-02-01,21.15578842163086
2010-02-02,21.15578842163086
2010-02-03,21.00984764099121
2010-02-04,20.55116081237793
2010-02-05,20.440969467163086
2010-02-08,20.42607879638672
2010-02-09,20.685205459594727
2010-02-10,20.691160202026367
2010-02-11,20.679248809814453
2010-02-12,20.69710350036621
2010-02-16,21.033674240112305
2010-02-17,21.137924194335938
2010-02-18,21.45362663269043
2010-02-19,21.551925659179688
2010-02-22,21.53106689453125
2010-02-23,21.408964157104492
2010-02-24,21.420875549316406
2010-02-25,21.352375030517578
2010-02-26,21.447677612304688
2010-03-01,21.578723907470703
2010-03-02,21.6531925201416
2010-03-03,21.730632781982422
2010-03-04,21.557880401611328
2010-03-05,21.650211334228516
2010-03-08,21.489381790161133
2010-03-09,21.46554183959961
2010-03-10,21.519153594970703
2010-03-11,21.629362106323242
2010-03-12,21.554901123046875
2010-03-15,21.611486434936523
2010-03-16,21.822956085205078
2010-03-17,21.79317283630371
2010-03-18,21.93316078186035
2010-03-19,21.843820571899414
2010-03-22,21.73657989501953
2010-03-23,21.912303924560547
2010-03-24,21.498306274414062
2010-03-25,21.191532135009766
2010-03-26,20.991979598999023
2010-03-29,21.10515594482422
2010-03-30,21.197492599487305
2010-03-31,21.084312438964844
2010-04-01,21.260040283203125
2010-04-05,21.099206924438477
2010-04-06,21.000913619995117
2010-04-07,20.887723922729492
2010-04-08,21.043699264526367
2010-04-09,21.241666793823242
2010-04-12,21.103689193725586
2010-04-13,21.19966697692871
2010-04-14,21.25665855407715
2010-04-15,21.17867088317871
2010-04-16,21.05570411682129
2010-04-19,21.088685989379883
2010-04-20,21.14267921447754
2010-04-21,21.184667587280273
2010-04-22,21.115684509277344
2010-04-23,21.184667587280273
2010-04-26,21.17867088317871
2010-04-27,20.83674430847168
2010-04-28,21.085693359375
2010-04-29,21.35264015197754
2010-04-30,21.34364128112793
2010-05-03,21.436620712280273
2010-05-04,21.469608306884766
2010-05-05,21.76056480407715
2010-05-06,21.268653869628906
2010-05-07,20.896732330322266
2010-05-10,21.5745906829834
2010-05-11,21.69157600402832
2010-05-12,22.048500061035156
2010-05-13,22.024505615234375
2010-05-14,21.81754493713379
2010-05-17,22.168481826782227
2010-05-18,22.10847282409668
2010-05-19,22.06049346923828
2010-05-20,21.451618194580078
2010-05-21,21.511606216430664
2010-05-24,21.46661376953125
2010-05-25,21.25665855407715
2010-05-26,21.14568328857422
2010-05-27,21.41562843322754
2010-05-28,21.364641189575195
2010-06-01,21.595590591430664
2010-06-02,22.28544807434082
2010-06-03,22.417423248291016
2010-06-04,21.985509872436523
2010-06-07,22.36043357849121
2010-06-08,22.53739356994629
2010-06-09,22.495405197143555
2010-06-10,22.747356414794922
2010-06-11,22.591381072998047
2010-06-14,22.84932518005371
2010-06-15,22.897314071655273
2010-06-16,22.993303298950195
2010-06-17,23.353239059448242
2010-06-18,23.119272232055664
2010-06-21,22.76535415649414
2010-06-22,22.621374130249023
2010-06-23,22.69936752319336
2010-06-24,22.53739356994629
2010-06-25,22.39942169189453
2010-06-28,22.435409545898438
2010-06-29,22.135473251342773
2010-06-30,21.307653427124023
2010-07-01,21.265649795532227
2010-07-02,21.24765968322754
2010-07-06,21.481605529785156
2010-07-07,21.859535217285156
2010-07-08,22.198062896728516
2010-07-09,21.853487014770508
2010-07-12,21.89580726623535
2010-07-13,21.992530822753906
2010-07-14,21.913951873779297
2010-07-15,21.805131912231445
2010-07-16,21.48473358154297
2010-07-19,21.394052505493164
2010-07-20,21.375911712646484
2010-07-21,21.176422119140625
2010-07-22,21.375911712646484
2010-07-23,21.47264862060547
2010-07-26,21.424280166625977
2010-07-27,21.69631576538086
2010-07-28,21.424280166625977
2010-07-29,20.632354736328125
2010-07-30,20.674671173095703
2010-08-02,20.76534080505371
2010-08-03,20.541671752929688
2010-08-04,20.928569793701172
2010-08-05,20.463088989257812
2010-08-06,20.29381561279297
2010-08-09,20.372406005859375
2010-08-10,20.541671752929688
2010-08-11,20.43890380859375
2010-08-12,20.813705444335938
2010-08-13,21.07366180419922
2010-08-16,21.248966217041016
2010-08-17,21.388010025024414
2010-08-18,21.406147003173828
2010-08-19,21.236879348754883
2010-08-20,21.242919921875
2010-08-23,21.406147003173828
2010-08-24,21.466590881347656
2010-08-25,21.309423446655273
2010-08-26,21.285236358642578
2010-08-27,21.762815475463867
2010-08-30,21.557268142700195
2010-08-31,21.859539031982422
2010-09-01,21.799083709716797
2010-09-02,21.86557388305664
2010-09-03,21.799083709716797
2010-09-07,21.732580184936523
2010-09-08,21.96835708618164
2010-09-09,22.15575408935547
2010-09-10,22.482187271118164
2010-09-13,22.14970588684082
2010-09-14,22.04693603515625
2010-09-15,22.137611389160156
2010-09-16,22.210155487060547
2010-09-17,21.86557388305664
2010-09-20,21.86557388305664
2010-09-21,21.563312530517578
2010-09-22,22.143653869628906
2010-09-23,21.847440719604492
2010-09-24,22.512418746948242
2010-09-27,22.210155487060547
2010-09-28,22.34315299987793
