Date,ATEX
2015-02-03,40.0
2015-02-04,41.0
2015-02-05,42.0
2015-02-06,43.0
2015-02-09,43.970001220703125
2015-02-10,46.0
2015-02-11,46.95000076293945
2015-02-12,43.90700149536133
2015-02-13,46.0
2015-02-17,54.0
2015-02-18,55.0
2015-02-19,52.66999816894531
2015-02-20,55.0
2015-02-23,54.0
2015-02-24,53.790000915527344
2015-02-25,52.63999938964844
2015-02-26,54.5
2015-02-27,54.0
2015-03-02,50.9900016784668
2015-03-03,50.27000045776367
2015-03-04,50.0
2015-03-05,48.369998931884766
2015-03-06,50.0
2015-03-09,50.0
2015-03-10,46.93000030517578
2015-03-11,48.4900016784668
2015-03-12,49.0
2015-03-13,47.0
2015-03-16,45.470001220703125
2015-03-17,45.0
2015-03-18,44.9900016784668
2015-03-19,45.0
2015-03-20,48.290000915527344
2015-03-23,49.900001525878906
2015-03-24,50.0
2015-03-25,49.689998626708984
2015-03-26,48.25
2015-03-27,48.34000015258789
2015-03-30,49.9900016784668
2015-03-31,50.0
2015-04-01,49.9900016784668
2015-04-02,49.5
2015-04-06,49.9900016784668
2015-04-07,50.0
2015-04-08,49.9900016784668
2015-04-09,50.0
2015-04-10,50.0
2015-04-13,48.810001373291016
2015-04-14,48.9900016784668
2015-04-15,49.9900016784668
2015-04-16,50.0
2015-04-17,49.5
2015-04-20,49.79999923706055
2015-04-21,50.27000045776367
2015-04-22,50.060001373291016
2015-04-23,50.68000030517578
2015-04-24,52.959999084472656
2015-04-27,50.22999954223633
2015-04-28,49.40999984741211
2015-04-29,49.20000076293945
2015-04-30,49.44499969482422
2015-05-01,49.15999984741211
2015-05-04,49.5
2015-05-05,50.0
2015-05-06,50.0
2015-05-07,49.349998474121094
2015-05-08,48.38999938964844
2015-05-11,43.880001068115234
2015-05-12,41.45000076293945
2015-05-13,44.11000061035156
2015-05-14,44.5099983215332
2015-05-15,44.97999954223633
2015-05-18,45.2599983215332
2015-05-19,45.5
2015-05-20,48.779998779296875
2015-05-21,48.5
2015-05-22,47.599998474121094
2015-05-26,47.599998474121094
2015-05-27,46.83000183105469
2015-05-28,46.91999816894531
2015-05-29,47.34000015258789
2015-06-01,47.56999969482422
2015-06-02,47.290000915527344
2015-06-03,47.099998474121094
2015-06-04,47.11000061035156
2015-06-05,47.4900016784668
2015-06-08,47.29999923706055
2015-06-09,46.36000061035156
2015-06-10,45.029998779296875
2015-06-11,44.099998474121094
2015-06-12,44.25
2015-06-15,44.41999816894531
2015-06-16,44.25
2015-06-17,44.970001220703125
2015-06-18,45.2400016784668
2015-06-19,43.849998474121094
2015-06-22,43.029998779296875
2015-06-23,42.5
2015-06-24,42.52000045776367
2015-06-25,43.40999984741211
2015-06-26,42.84000015258789
2015-06-29,43.43000030517578
2015-06-30,42.130001068115234
2015-07-01,40.29999923706055
2015-07-02,38.79999923706055
2015-07-06,37.79999923706055
2015-07-07,36.29999923706055
2015-07-08,38.439998626708984
2015-07-09,36.939998626708984
2015-07-10,37.41999816894531
2015-07-13,36.790000915527344
2015-07-14,37.130001068115234
2015-07-15,36.2400016784668
2015-07-16,36.209999084472656
2015-07-17,36.93000030517578
2015-07-20,38.27000045776367
2015-07-21,36.220001220703125
2015-07-22,35.02000045776367
2015-07-23,34.099998474121094
2015-07-24,34.130001068115234
2015-07-27,31.670000076293945
2015-07-28,30.420000076293945
2015-07-29,30.100000381469727
2015-07-30,30.040000915527344
2015-07-31,29.239999771118164
2015-08-03,28.799999237060547
2015-08-04,28.75
2015-08-05,28.3700008392334
2015-08-06,28.049999237060547
2015-08-07,28.0
2015-08-10,26.31999969482422
2015-08-11,26.59000015258789
2015-08-12,30.079999923706055
2015-08-13,31.979999542236328
2015-08-14,34.130001068115234
2015-08-17,34.06999969482422
2015-08-18,33.27000045776367
2015-08-19,32.25
2015-08-20,31.770000457763672
2015-08-21,31.510000228881836
2015-08-24,30.690000534057617
2015-08-25,30.899999618530273
2015-08-26,31.649999618530273
2015-08-27,31.729999542236328
2015-08-28,31.610000610351562
2015-08-31,31.969999313354492
2015-09-01,32.09000015258789
2015-09-02,32.349998474121094
2015-09-03,31.75
2015-09-04,32.5
2015-09-08,34.0
2015-09-09,33.790000915527344
2015-09-10,32.709999084472656
2015-09-11,32.130001068115234
2015-09-14,31.8799991607666
2015-09-15,32.88999938964844
2015-09-16,32.4900016784668
2015-09-17,32.0
2015-09-18,32.88999938964844
2015-09-21,32.900001525878906
2015-09-22,32.02000045776367
2015-09-23,32.220001220703125
2015-09-24,32.060001373291016
2015-09-25,31.43000030517578
2015-09-28,30.610000610351562
2015-09-29,29.549999237060547
2015-09-30,29.899999618530273
2015-10-01,29.040000915527344
2015-10-02,28.940000534057617
2015-10-05,30.079999923706055
2015-10-06,29.940000534057617
2015-10-07,30.5
2015-10-08,30.690000534057617
2015-10-09,31.18000030517578
2015-10-12,31.020000457763672
2015-10-13,30.280000686645508
2015-10-14,29.469999313354492
2015-10-15,29.5
2015-10-16,29.149999618530273
2015-10-19,28.719999313354492
2015-10-20,28.93000030517578
2015-10-21,28.049999237060547
2015-10-22,28.530000686645508
2015-10-23,28.020000457763672
2015-10-26,27.520000457763672
2015-10-27,26.540000915527344
2015-10-28,29.25
2015-10-29,28.40999984741211
2015-10-30,28.020000457763672
2015-11-02,28.540000915527344
2015-11-03,28.520000457763672
2015-11-04,28.489999771118164
2015-11-05,28.510000228881836
2015-11-06,28.149999618530273
2015-11-09,28.190000534057617
2015-11-10,27.899999618530273
2015-11-11,27.079999923706055
2015-11-12,25.829999923706055
