Date,KIM
2010-01-04,6.6675310134887695
2010-01-05,6.633364200592041
2010-01-06,6.6626505851745605
2010-01-07,6.887176990509033
2010-01-08,6.799319267272949
2010-01-11,6.89694356918335
2010-01-12,6.706581115722656
2010-01-13,6.926229000091553
2010-01-14,6.818842887878418
2010-01-15,6.648007869720459
2010-01-19,6.7407450675964355
2010-01-20,6.643126487731934
2010-01-21,6.477170944213867
2010-01-22,6.364903926849365
2010-01-25,6.369787216186523
2010-01-26,6.267282962799072
2010-01-27,6.262405872344971
2010-01-28,6.145256996154785
2010-01-29,6.159900665283203
2010-02-01,6.311213493347168
2010-02-02,6.350262641906738
2010-02-03,6.179425239562988
2010-02-04,6.179425239562988
2010-02-05,6.330739974975586
2010-02-08,6.150137901306152
2010-02-09,6.247759819030762
2010-02-10,6.228236198425293
2010-02-11,6.213593482971191
2010-02-12,6.257522106170654
2010-02-16,6.457648277282715
2010-02-17,6.550384044647217
2010-02-18,6.706581115722656
2010-02-19,6.691938400268555
2010-02-22,6.65777063369751
2010-02-23,6.560148239135742
2010-02-24,6.735865592956543
2010-02-25,6.809081554412842
2010-02-26,6.779797554016113
2010-03-01,6.8334879875183105
2010-03-02,6.843250274658203
2010-03-03,6.8334879875183105
2010-03-04,6.853012561798096
2010-03-05,7.131232261657715
2010-03-08,7.199568748474121
2010-03-09,7.165400505065918
2010-03-10,7.199568748474121
2010-03-11,7.287426948547363
2010-03-12,7.380167484283447
2010-03-15,7.365523338317871
2010-03-16,7.599817752838135
2010-03-17,7.76088809967041
2010-03-18,7.633984565734863
2010-03-19,7.599817752838135
2010-03-22,7.7071990966796875
2010-03-23,7.658385753631592
2010-03-24,7.751129150390625
2010-03-25,7.838986873626709
2010-03-26,7.8585124015808105
2010-03-29,7.887798309326172
2010-03-30,7.829225063323975
2010-03-31,7.710901737213135
2010-04-01,7.760202407836914
2010-04-05,7.91796875
2010-04-06,8.149691581726074
2010-04-07,7.883458137512207
2010-04-08,7.9327592849731445
2010-04-09,8.085596084594727
2010-04-12,7.9672722816467285
2010-04-13,8.13489818572998
2010-04-14,8.031367301940918
