Date,O
2010-01-04,12.003291130065918
2010-01-05,12.20565414428711
2010-01-06,12.196450233459473
2010-01-07,12.45399284362793
2010-01-08,12.624152183532715
2010-01-11,12.527578353881836
2010-01-12,12.573565483093262
2010-01-13,12.716132164001465
2010-01-14,12.665552139282227
2010-01-15,12.642546653747559
2010-01-19,12.854096412658691
2010-01-20,12.660950660705566
2010-01-21,12.380414009094238
2010-01-22,12.081480026245117
2010-01-25,12.348219871520996
2010-01-26,12.541382789611816
2010-01-27,12.80351734161377
2010-01-28,12.841885566711426
2010-01-29,12.911224365234375
2010-02-01,12.878870964050293
2010-02-02,12.804901123046875
2010-02-03,12.509052276611328
2010-02-04,12.028289794921875
2010-02-05,12.074511528015137
2010-02-08,11.898849487304688
2010-02-09,11.797146797180176
2010-02-10,11.90346622467041
2010-02-11,12.032906532287598
2010-02-12,12.476689338684082
2010-02-16,12.874238967895508
2010-02-17,13.091510772705078
2010-02-18,13.290283203125
2010-02-19,13.211692810058594
2010-02-22,13.082255363464355
2010-02-23,12.957448959350586
2010-02-24,13.086882591247559
2010-02-25,13.153326034545898
2010-02-26,13.00930118560791
2010-03-01,13.000012397766113
2010-03-02,12.995359420776367
2010-03-03,12.990710258483887
2010-03-04,13.037168502807617
2010-03-05,13.213723182678223
2010-03-08,13.292705535888672
2010-03-09,13.529664993286133
2010-03-10,13.576127052307129
2010-03-11,13.576127052307129
2010-03-12,13.55289077758789
2010-03-15,13.608654022216797
2010-03-16,13.901366233825684
2010-03-17,14.036092758178711
2010-03-18,14.161548614501953
2010-03-19,13.919944763183594
2010-03-22,14.138312339782715
2010-03-23,14.040735244750977
2010-03-24,14.235884666442871
2010-03-25,14.180131912231445
2010-03-26,14.296283721923828
2010-03-29,14.328808784484863
2010-03-30,14.344212532043457
2010-03-31,14.325549125671387
2010-04-01,14.20883846282959
2010-04-05,14.4935941696167
2010-04-06,14.717638969421387
2010-04-07,14.806333541870117
2010-04-08,14.778321266174316
2010-04-09,14.820332527160645
2010-04-12,14.65695858001709
2010-04-13,14.927689552307129
2010-04-14,15.189087867736816
2010-04-15,14.881007194519043
2010-04-16,14.670960426330566
2010-04-19,14.708301544189453
2010-04-20,14.923015594482422
2010-04-21,15.240431785583496
2010-04-22,15.469162940979004
2010-04-23,15.539175033569336
2010-04-26,15.66987133026123
2010-04-27,15.352455139160156
2010-04-28,15.483156204223633
2010-04-29,16.117450714111328
2010-04-30,15.372054100036621
2010-05-03,15.428316116333008
2010-05-04,14.926692008972168
2010-05-05,14.786052703857422
2010-05-06,14.073479652404785
2010-05-07,14.176603317260742
2010-05-10,14.945448875427246
2010-05-11,15.175150871276855
2010-05-12,15.334548950195312
2010-05-13,15.21265697479248
2010-05-14,14.875123023986816
