Date,SLM
2010-01-04,3.3367650508880615
2010-01-05,3.3801372051239014
2010-01-06,3.400376558303833
2010-01-07,3.5131447315216064
2010-01-08,3.3656797409057617
2010-01-11,3.31941556930542
2010-01-12,3.313633441925049
2010-01-13,3.3280906677246094
2010-01-14,3.3309812545776367
2010-01-15,3.1083383560180664
2010-01-19,3.3338732719421387
2010-01-20,3.4610981941223145
2010-01-21,3.4148337841033936
2010-01-22,3.007136344909668
2010-01-25,3.07942271232605
2010-01-26,3.007136344909668
2010-01-27,3.018702983856201
2010-01-28,2.9811129570007324
2010-01-29,3.044724702835083
2010-02-01,3.07942271232605
2010-02-02,3.1343610286712646
2010-02-03,3.0852062702178955
2010-02-04,2.9377408027648926
2010-02-05,3.0331599712371826
2010-02-08,3.0013535022735596
2010-02-09,3.099663496017456
2010-02-10,3.0823147296905518
2010-02-11,3.12568736076355
2010-02-12,3.1574926376342773
2010-02-16,3.2413454055786133
2010-02-17,3.223996877670288
2010-02-18,3.1632766723632812
2010-02-19,3.223996877670288
2010-02-22,3.2702603340148926
2010-02-23,3.1864078044891357
2010-02-24,3.2124311923980713
2010-02-25,3.20375657081604
2010-02-26,3.2326712608337402
2010-03-01,3.1661672592163086
2010-03-02,3.2586944103240967
2010-03-03,3.2876102924346924
2010-03-04,3.3627877235412598
2010-03-05,3.469773530960083
2010-03-08,3.5536251068115234
2010-03-09,3.53049373626709
2010-03-10,3.524710178375244
2010-03-11,3.62591290473938
2010-03-12,3.533384323120117
2010-03-15,3.562299966812134
2010-03-16,3.570974349975586
2010-03-17,3.62880539894104
2010-03-18,3.547842502593994
2010-03-19,3.3541133403778076
2010-03-22,3.3801372051239014
2010-03-23,3.371462106704712
2010-03-24,3.4408581256866455
2010-03-25,3.4842305183410645
2010-03-26,3.637479066848755
2010-03-29,3.6635007858276367
2010-03-30,3.62880539894104
2010-03-31,3.6201305389404297
2010-04-01,3.623021125793457
2010-04-05,3.6895241737365723
2010-04-06,3.6201305389404297
2010-04-07,3.570974349975586
2010-04-08,3.8109683990478516
2010-04-09,3.8109683990478516
2010-04-12,3.8572306632995605
2010-04-13,3.7647035121917725
2010-04-14,3.9063851833343506
2010-04-15,3.926626205444336
2010-04-16,3.666393280029297
2010-04-19,3.6577186584472656
2010-04-20,3.6895241737365723
2010-04-21,3.7936179637908936
2010-04-22,3.894819974899292
2010-04-23,3.8572306632995605
2010-04-26,3.6692845821380615
2010-04-27,3.4900124073028564
2010-04-28,3.5825400352478027
2010-04-29,3.654827833175659
2010-04-30,3.539167642593384
