Date,AEVA
2020-02-27,49.25
2020-02-28,49.25
2020-03-02,49.150001525878906
2020-03-03,49.04999923706055
2020-03-04,49.20000076293945
2020-03-05,49.099998474121094
2020-03-06,49.25
2020-03-09,49.0
2020-03-10,49.0
2020-03-11,48.95000076293945
2020-03-12,48.5
2020-03-13,48.5
2020-03-16,48.70000076293945
2020-03-17,48.650001525878906
2020-03-18,46.400001525878906
2020-03-19,47.400001525878906
2020-03-20,47.099998474121094
2020-03-23,46.0
2020-03-24,47.25
2020-03-25,47.25
2020-03-26,47.25
2020-03-27,46.849998474121094
2020-03-30,46.849998474121094
2020-03-31,46.849998474121094
2020-04-01,47.099998474121094
2020-04-02,47.599998474121094
2020-04-03,47.75
2020-04-06,47.75
2020-04-07,47.75
2020-04-08,47.75
2020-04-09,47.75
2020-04-13,47.75
2020-04-14,48.529998779296875
2020-04-15,48.0
2020-04-16,48.0
2020-04-17,47.95000076293945
2020-04-20,48.70000076293945
2020-04-21,48.70000076293945
2020-04-22,48.70000076293945
2020-04-23,48.95000076293945
2020-04-24,48.95000076293945
2020-04-27,48.95000076293945
2020-04-28,48.95000076293945
2020-04-29,48.95000076293945
2020-04-30,48.95000076293945
2020-05-01,48.95000076293945
2020-05-04,48.95000076293945
2020-05-05,48.95000076293945
2020-05-06,48.95000076293945
2020-05-07,48.95000076293945
2020-05-08,48.95000076293945
2020-05-11,48.95000076293945
2020-05-12,48.95000076293945
2020-05-13,48.95000076293945
2020-05-14,48.95000076293945
2020-05-15,48.95000076293945
2020-05-18,48.95000076293945
2020-05-19,48.95000076293945
2020-05-20,48.95000076293945
2020-05-21,48.95000076293945
2020-05-22,48.95000076293945
2020-05-26,48.95000076293945
2020-05-27,48.95000076293945
2020-05-28,48.95000076293945
2020-05-29,48.95000076293945
2020-06-01,48.45000076293945
2020-06-02,48.25
2020-06-03,48.25
2020-06-04,48.25
2020-06-05,48.25
2020-06-08,49.0
2020-06-09,49.0
2020-06-10,48.5
2020-06-11,48.5
2020-06-12,48.5
2020-06-15,48.5
2020-06-16,48.5
2020-06-17,48.5
2020-06-18,48.95000076293945
2020-06-19,49.20000076293945
2020-06-22,49.14500045776367
2020-06-23,49.0
2020-06-24,49.224998474121094
2020-06-25,49.54999923706055
2020-06-26,49.275001525878906
2020-06-29,49.375
2020-06-30,49.599998474121094
2020-07-01,49.75
2020-07-02,49.70000076293945
2020-07-06,49.25
2020-07-07,49.349998474121094
2020-07-08,49.5
2020-07-09,49.75
2020-07-10,49.79999923706055
2020-07-13,50.25
2020-07-14,50.5
2020-07-15,50.25
2020-07-16,50.25
