Date,CCRN
2010-01-04,10.220000267028809
2010-01-05,9.75
2010-01-06,9.539999961853027
2010-01-07,9.979999542236328
2010-01-08,10.09000015258789
2010-01-11,9.640000343322754
2010-01-12,9.449999809265137
2010-01-13,9.600000381469727
2010-01-14,9.789999961853027
2010-01-15,9.569999694824219
2010-01-19,9.59000015258789
2010-01-20,9.34000015258789
2010-01-21,9.15999984741211
2010-01-22,9.199999809265137
2010-01-25,9.229999542236328
2010-01-26,9.15999984741211
2010-01-27,9.170000076293945
2010-01-28,9.079999923706055
2010-01-29,9.0600004196167
2010-02-01,8.970000267028809
2010-02-02,8.859999656677246
2010-02-03,8.8100004196167
2010-02-04,8.720000267028809
2010-02-05,8.920000076293945
2010-02-08,8.630000114440918
2010-02-09,8.720000267028809
2010-02-10,8.760000228881836
2010-02-11,9.260000228881836
2010-02-12,9.100000381469727
2010-02-16,9.15999984741211
2010-02-17,9.449999809265137
2010-02-18,9.970000267028809
2010-02-19,9.829999923706055
2010-02-22,9.890000343322754
2010-02-23,9.9399995803833
2010-02-24,10.069999694824219
2010-02-25,10.149999618530273
2010-02-26,9.829999923706055
2010-03-01,9.899999618530273
2010-03-02,10.0
2010-03-03,9.850000381469727
2010-03-04,9.710000038146973
2010-03-05,10.100000381469727
2010-03-08,9.729999542236328
2010-03-09,9.720000267028809
2010-03-10,9.890000343322754
2010-03-11,9.829999923706055
2010-03-12,9.789999961853027
2010-03-15,9.649999618530273
2010-03-16,9.739999771118164
2010-03-17,9.829999923706055
2010-03-18,9.8100004196167
2010-03-19,10.399999618530273
2010-03-22,10.789999961853027
2010-03-23,10.569999694824219
2010-03-24,10.229999542236328
2010-03-25,10.149999618530273
2010-03-26,10.149999618530273
2010-03-29,10.25
2010-03-30,10.40999984741211
2010-03-31,10.109999656677246
2010-04-01,10.010000228881836
2010-04-05,10.260000228881836
2010-04-06,10.3100004196167
2010-04-07,10.430000305175781
2010-04-08,10.520000457763672
2010-04-09,10.069999694824219
2010-04-12,10.079999923706055
2010-04-13,10.079999923706055
2010-04-14,10.390000343322754
2010-04-15,10.479999542236328
2010-04-16,10.34000015258789
2010-04-19,10.220000267028809
2010-04-20,10.289999961853027
2010-04-21,10.430000305175781
2010-04-22,10.779999732971191
2010-04-23,10.470000267028809
2010-04-26,10.399999618530273
2010-04-27,10.539999961853027
2010-04-28,10.789999961853027
2010-04-29,10.989999771118164
2010-04-30,10.020000457763672
2010-05-03,10.229999542236328
2010-05-04,9.890000343322754
2010-05-05,9.670000076293945
2010-05-06,9.170000076293945
2010-05-07,8.90999984741211
2010-05-10,9.210000038146973
2010-05-11,9.210000038146973
2010-05-12,9.84000015258789
2010-05-13,9.869999885559082
2010-05-14,9.520000457763672
2010-05-17,10.170000076293945
2010-05-18,9.899999618530273
2010-05-19,9.850000381469727
2010-05-20,9.229999542236328
2010-05-21,8.859999656677246
2010-05-24,8.8100004196167
2010-05-25,8.399999618530273
2010-05-26,8.300000190734863
2010-05-27,8.829999923706055
2010-05-28,8.510000228881836
2010-06-01,8.09000015258789
2010-06-02,8.420000076293945
2010-06-03,8.59000015258789
2010-06-04,7.769999980926514
2010-06-07,7.869999885559082
2010-06-08,7.789999961853027
2010-06-09,7.659999847412109
2010-06-10,7.980000019073486
2010-06-11,8.09000015258789
2010-06-14,8.0
2010-06-15,8.420000076293945
2010-06-16,8.369999885559082
2010-06-17,8.5
2010-06-18,8.710000038146973
2010-06-21,8.84000015258789
