Date,KNTK
2018-11-13,62.73793029785156
2018-11-14,57.29145050048828
2018-11-15,60.80752944946289
2018-11-16,59.84234619140625
2018-11-19,56.87778091430664
2018-11-20,54.05113983154297
2018-11-21,53.085941314697266
2018-11-23,54.05113983154297
2018-11-26,55.15422821044922
2018-11-27,53.4306526184082
2018-11-28,53.01700210571289
2018-11-29,52.672279357910156
2018-11-30,52.672279357910156
2018-12-03,54.12008285522461
2018-12-04,53.223819732666016
2018-12-06,53.4306526184082
2018-12-07,54.05113983154297
2018-12-10,57.36039352416992
2018-12-11,63.151573181152344
2018-12-12,66.87451171875
2018-12-13,65.15091705322266
2018-12-14,60.187049865722656
2018-12-17,62.462154388427734
2018-12-18,59.980224609375
2018-12-19,58.394535064697266
2018-12-20,53.7064208984375
2018-12-21,52.60334396362305
2018-12-24,53.361724853515625
2018-12-26,55.63682556152344
2018-12-27,52.60334396362305
2018-12-28,53.4306526184082
2018-12-31,53.29277801513672
2019-01-02,52.81016159057617
2019-01-03,51.15553283691406
2019-01-04,55.91259765625
2019-01-07,56.395206451416016
2019-01-08,56.87778091430664
2019-01-09,60.66964340209961
2019-01-10,61.08329391479492
2019-01-11,58.394535064697266
2019-01-14,57.42933654785156
2019-01-15,59.42866897583008
2019-01-16,59.08396530151367
2019-01-17,59.911277770996094
2019-01-18,59.08396530151367
2019-01-22,57.08462142944336
2019-01-23,53.56853485107422
2019-01-24,55.84366226196289
2019-01-25,55.84366226196289
2019-01-28,55.98153305053711
2019-01-29,57.42933654785156
2019-01-30,55.98153305053711
2019-01-31,55.84366226196289
2019-02-01,57.91193389892578
2019-02-04,58.53241729736328
2019-02-05,57.49827575683594
2019-02-06,56.94674301147461
2019-02-07,56.11943435668945
2019-02-08,54.74056625366211
2019-02-11,54.46480178833008
2019-02-12,55.08527755737305
2019-02-13,55.08527755737305
2019-02-14,54.257965087890625
2019-02-15,56.11943435668945
2019-02-19,56.05048370361328
2019-02-20,56.395206451416016
2019-02-21,55.91259765625
2019-02-22,56.25731658935547
2019-02-25,56.32624053955078
2019-02-26,56.32624053955078
2019-02-27,55.361053466796875
2019-02-28,42.1929817199707
2019-03-01,38.401126861572266
2019-03-04,38.26324462890625
2019-03-05,38.0564079284668
2019-03-06,38.60795974731445
2019-03-07,38.53902053833008
2019-03-08,37.91852569580078
2019-03-11,38.88372802734375
2019-03-12,42.67558288574219
2019-03-13,42.53769302368164
2019-03-14,43.57183074951172
2019-03-15,44.39915466308594
2019-03-18,42.60662841796875
2019-03-19,43.020294189453125
2019-03-20,42.26192092895508
2019-03-21,43.365013122558594
2019-03-22,42.74452209472656
2019-03-25,41.57249069213867
2019-03-26,41.641448974609375
2019-03-27,42.1929817199707
2019-03-28,41.36566925048828
2019-03-29,40.676239013671875
2019-04-01,41.29672622680664
2019-04-02,41.434608459472656
2019-04-03,41.434608459472656
2019-04-04,41.36566925048828
2019-04-05,41.50354766845703
2019-04-08,41.02096176147461
2019-04-09,40.538360595703125
2019-04-10,40.05575180053711
2019-04-11,39.917869567871094
2019-04-12,40.331539154052734
2019-04-15,40.331539154052734
2019-04-16,37.36698913574219
2019-04-17,37.36698913574219
2019-04-18,34.47138977050781
2019-04-22,37.29804229736328
2019-04-23,37.02227020263672
2019-04-24,36.19496154785156
2019-04-25,35.16082000732422
2019-04-26,34.12668228149414
2019-04-29,35.6434211730957
2019-04-30,34.81610870361328
2019-05-01,35.43658447265625
2019-05-02,34.885047912597656
2019-05-03,35.85023880004883
2019-05-06,34.81610870361328
2019-05-07,34.95399475097656
2019-05-08,35.16082000732422
2019-05-09,36.81544494628906
