Date,JOE
2010-01-04,27.187894821166992
2010-01-05,27.407686233520508
2010-01-06,27.197446823120117
2010-01-07,28.181751251220703
2010-01-08,28.21042251586914
2010-01-11,27.933286666870117
2010-01-12,27.312124252319336
2010-01-13,27.723051071166992
2010-01-14,27.981069564819336
2010-01-15,27.856834411621094
2010-01-19,28.458887100219727
2010-01-20,27.914173126220703
2010-01-21,26.891639709472656
2010-01-22,26.604949951171875
2010-01-25,26.4807186126709
2010-01-26,26.012454986572266
2010-01-27,26.079355239868164
2010-01-28,25.410404205322266
2010-01-29,24.846582412719727
2010-02-01,25.35306739807129
2010-02-02,25.821331024169922
2010-02-03,26.26092529296875
2010-02-04,25.91689682006836
2010-02-05,26.557170867919922
2010-02-08,26.299150466918945
2010-02-09,26.66228675842285
2010-02-10,26.51894187927246
2010-02-11,27.168777465820312
2010-02-12,27.560588836669922
2010-02-16,27.828170776367188
2010-02-17,27.78994369506836
2010-02-18,27.780385971069336
2010-02-19,28.124418258666992
2010-02-22,28.239089965820312
2010-02-23,27.273897171020508
2010-02-24,26.51894187927246
2010-02-25,26.289594650268555
2010-02-26,26.28003692626953
2010-03-01,26.26092529296875
2010-03-02,26.346927642822266
2010-03-03,26.127134323120117
2010-03-04,25.897777557373047
2010-03-05,26.184471130371094
2010-03-08,26.452049255371094
2010-03-09,26.327817916870117
2010-03-10,26.26092529296875
2010-03-11,26.289594650268555
2010-03-12,26.490270614624023
2010-03-15,26.337371826171875
2010-03-16,27.120990753173828
2010-03-17,28.449331283569336
2010-03-18,29.510087966918945
2010-03-19,29.252071380615234
2010-03-22,29.701221466064453
2010-03-23,29.89234733581543
2010-03-24,29.624765396118164
2010-03-25,30.580406188964844
2010-03-26,31.72716522216797
2010-03-29,32.04252624511719
2010-03-30,31.488262176513672
2010-03-31,30.914880752563477
2010-04-01,31.306686401367188
2010-04-05,31.67939567565918
2010-04-06,31.975635528564453
2010-04-07,31.67939567565918
2010-04-08,31.8609619140625
2010-04-09,32.74969482421875
2010-04-12,32.45345687866211
2010-04-13,33.12239456176758
2010-04-14,34.61319351196289
2010-04-15,34.078041076660156
2010-04-16,33.64799118041992
2010-04-19,33.657562255859375
