Date,DSGR
2010-01-04,8.419429779052734
2010-01-05,8.29794979095459
2010-01-06,8.157779693603516
2010-01-07,8.209177017211914
2010-01-08,8.05031967163086
2010-01-11,7.774655818939209
2010-01-12,7.611125946044922
2010-01-13,7.629815101623535
2010-01-14,7.70457124710083
2010-01-15,7.718588352203369
2010-01-19,7.914825439453125
2010-01-20,7.755965709686279
2010-01-21,7.667193412780762
2010-01-22,7.667193412780762
2010-01-25,7.891460418701172
2010-01-26,7.685882568359375
2010-01-27,7.76063871383667
2010-01-28,7.882116794586182
2010-01-29,7.545713424682617
2010-02-01,7.629815101623535
2010-02-02,7.494319915771484
2010-02-03,7.363495826721191
2010-02-04,7.157916069030762
2010-02-05,7.517680644989014
2010-02-08,7.321444988250732
2010-02-09,7.228000640869141
2010-02-10,7.316773414611816
2010-02-11,7.503664016723633
2010-02-12,7.662519454956055
2010-02-16,7.648504257202148
2010-02-17,7.755965709686279
2010-02-18,7.601781845092773
2010-02-19,7.989581108093262
2010-02-22,7.980236053466797
2010-02-23,8.475495338439941
2010-02-24,8.283933639526367
2010-02-25,8.363361358642578
2010-02-26,8.283933639526367
2010-03-01,8.293278694152832
2010-03-02,8.129746437072754
2010-03-03,7.746622085571289
2010-03-04,7.975563049316406
2010-03-05,8.1484375
2010-03-08,8.026958465576172
2010-03-09,7.891460418701172
2010-03-10,7.72326135635376
2010-03-11,7.536369800567627
2010-03-12,7.400874137878418
2010-03-15,7.466285705566406
2010-03-16,7.475630283355713
2010-03-17,7.522352695465088
2010-03-18,7.377511978149414
2010-03-19,7.368168830871582
2010-03-22,7.545713424682617
2010-03-23,7.466285705566406
2010-03-24,7.377511978149414
2010-03-25,7.209311485290527
2010-03-26,7.232672214508057
2010-03-29,7.171933650970459
2010-03-30,7.4989914894104
2010-03-31,7.228000640869141
2010-04-01,7.0825958251953125
2010-04-05,7.504737377166748
2010-04-06,7.462523460388184
2010-04-07,7.3780951499938965
2010-04-08,7.335880279541016
2010-04-09,7.22330904006958
