Date,MNMD
2016-11-15,3.375
2016-11-16,4.335000038146973
2016-11-17,4.335000038146973
2016-11-18,4.335000038146973
2016-11-21,5.204999923706055
2016-11-22,5.204999923706055
2016-11-23,5.204999923706055
2016-11-25,5.204999923706055
2016-11-28,5.204999923706055
2016-11-29,5.204999923706055
2016-11-30,5.204999923706055
2016-12-01,5.204999923706055
2016-12-02,5.204999923706055
2016-12-05,5.204999923706055
2016-12-06,5.204999923706055
2016-12-07,5.204999923706055
2016-12-08,5.204999923706055
2016-12-09,6.525000095367432
2016-12-12,6.885000228881836
2016-12-13,6.885000228881836
2016-12-14,6.885000228881836
2016-12-15,6.989999771118164
2016-12-16,6.989999771118164
2016-12-19,6.989999771118164
2016-12-20,6.989999771118164
2016-12-21,6.989999771118164
2016-12-22,7.724999904632568
2016-12-23,8.234999656677246
2016-12-27,8.234999656677246
2016-12-28,8.234999656677246
2016-12-29,8.234999656677246
2016-12-30,8.234999656677246
2017-01-03,9.345000267028809
2017-01-04,9.345000267028809
2017-01-05,8.324999809265137
2017-01-06,8.085000038146973
2017-01-09,8.760000228881836
2017-01-10,8.760000228881836
2017-01-11,9.600000381469727
2017-01-12,9.600000381469727
2017-01-13,9.989999771118164
2017-01-17,10.739999771118164
2017-01-18,10.305000305175781
2017-01-19,10.319999694824219
2017-01-20,11.114999771118164
2017-01-23,11.550000190734863
2017-01-24,11.25
2017-01-25,10.484999656677246
2017-01-26,10.96500015258789
2017-01-27,10.03499984741211
2017-01-30,10.050000190734863
2017-01-31,10.050000190734863
2017-02-01,10.845000267028809
2017-02-02,11.520000457763672
2017-02-03,10.9350004196167
2017-02-06,10.03499984741211
2017-02-07,10.574999809265137
2017-02-08,9.28499984741211
2017-02-09,9.28499984741211
2017-02-10,9.75
2017-02-13,10.020000457763672
2017-02-14,10.229999542236328
2017-02-15,10.229999542236328
2017-02-16,11.640000343322754
2017-02-17,11.71500015258789
2017-02-21,12.885000228881836
2017-02-22,13.350000381469727
2017-02-23,13.904999732971191
2017-02-24,14.6850004196167
2017-02-27,15.510000228881836
2017-02-28,15.300000190734863
2017-03-01,15.75
2017-03-02,16.200000762939453
2017-03-03,14.520000457763672
2017-03-06,15.375
2017-03-07,16.799999237060547
2017-03-08,16.200000762939453
2017-03-09,16.5
2017-03-10,16.200000762939453
2017-03-13,16.200000762939453
2017-03-14,15.449999809265137
2017-03-15,18.149999618530273
2017-03-16,18.0
2017-03-17,18.75
2017-03-20,18.0
2017-03-21,16.649999618530273
2017-03-22,17.670000076293945
2017-03-23,18.0
2017-03-24,16.934999465942383
2017-03-27,16.170000076293945
2017-03-28,15.524999618530273
2017-03-29,15.300000190734863
2017-03-30,13.949999809265137
