Date,KDP
2010-01-04,3.174664258956909
2010-01-05,3.137570381164551
2010-01-06,3.2073915004730225
2010-01-07,3.1724812984466553
2010-01-08,3.149571657180786
2010-01-11,3.1288435459136963
2010-01-12,3.077568769454956
2010-01-13,3.1048429012298584
2010-01-14,3.1092066764831543
2010-01-15,3.1026611328125
2010-01-19,3.098297357559204
2010-01-20,3.091750383377075
2010-01-21,3.0273854732513428
2010-01-22,2.9848380088806152
2010-01-25,2.9848380088806152
2010-01-26,2.9924755096435547
2010-01-27,3.0001120567321777
2010-01-28,3.0121123790740967
2010-01-29,3.017566204071045
2010-02-01,3.0328407287597656
2010-02-02,3.061204671859741
2010-02-03,3.061204671859741
2010-02-04,2.9281084537506104
2010-02-05,2.9564733505249023
2010-02-08,2.9281084537506104
2010-02-09,2.9302916526794434
2010-02-10,2.9281084537506104
2010-02-11,2.9641101360321045
2010-02-12,2.954291582107544
2010-02-16,2.993565320968628
2010-02-17,3.119025230407715
2010-02-18,3.1790270805358887
2010-02-19,3.1561169624328613
2010-02-22,3.12557053565979
2010-02-23,3.1004791259765625
2010-02-24,3.12557053565979
2010-02-25,3.4724924564361572
2010-02-26,3.46376633644104
2010-03-01,3.4015815258026123
2010-03-02,3.4364922046661377
2010-03-03,3.4528567790985107
2010-03-04,3.485584259033203
2010-03-05,3.529223680496216
2010-03-08,3.5837695598602295
2010-03-09,3.65140962600708
2010-03-10,3.6710457801818848
2010-03-11,3.8215973377227783
2010-03-12,3.815049886703491
2010-03-15,3.8128693103790283
2010-03-16,3.978694438934326
2010-03-17,4.001603126525879
2010-03-18,4.016941070556641
2010-03-19,3.9632632732391357
2010-03-22,4.031179428100586
2010-03-23,4.005984306335449
2010-03-24,3.9796957969665527
2010-03-25,3.95778751373291
2010-03-26,3.9216372966766357
2010-03-29,3.9041097164154053
2010-03-30,3.903015613555908
2010-03-31,3.852625846862793
2010-04-01,3.8865835666656494
2010-04-05,3.8854868412017822
2010-04-06,3.883296489715576
2010-04-07,3.828526496887207
2010-04-08,3.858102321624756
2010-04-09,3.8504340648651123
2010-04-12,3.8361942768096924
2010-04-13,3.8197622299194336
2010-04-14,3.80661678314209
2010-04-15,3.749654769897461
2010-04-16,3.727745532989502
2010-04-19,3.734318256378174
2010-04-20,3.725555181503296
2010-04-21,3.701456308364868
2010-04-22,3.6587347984313965
2010-04-23,3.679546594619751
2010-04-26,3.7288413047790527
2010-04-27,3.6390159130096436
2010-04-28,3.670783758163452
2010-04-29,3.762800455093384
2010-04-30,3.585341215133667
2010-05-03,3.745272159576416
2010-05-04,3.6401119232177734
2010-05-05,3.7233645915985107
2010-05-06,3.76499080657959
2010-05-07,3.9128737449645996
2010-05-10,4.01146125793457
2010-05-11,4.028989791870117
2010-05-12,4.148391246795654
2010-05-13,4.150581359863281
2010-05-14,4.080474376678467
2010-05-17,4.162630558013916
2010-05-18,4.175776481628418
2010-05-19,4.170299053192139
2010-05-20,3.9731218814849854
2010-05-21,4.022418022155762
2010-05-24,4.0344672203063965
2010-05-25,4.065138816833496
2010-05-26,4.084855079650879
2010-05-27,4.181253910064697
2010-05-28,4.147295951843262
2010-06-01,4.12429141998291
2010-06-02,4.1560587882995605
2010-06-03,4.074997901916504
2010-06-04,3.9972217082977295
2010-06-07,3.927114725112915
2010-06-08,4.002699375152588
2010-06-09,3.9588828086853027
2010-06-10,4.038846492767334
2010-06-11,4.084855079650879
2010-06-14,4.101285457611084
2010-06-15,4.1385321617126465
2010-06-16,4.164820671081543
2010-06-17,4.216646671295166
2010-06-18,4.185774803161621
2010-06-21,4.205620288848877
2010-06-22,4.126228332519531
2010-06-23,4.1118927001953125
2010-06-24,4.099762916564941
2010-06-25,4.032500743865967
2010-06-28,4.197902202606201
2010-06-29,4.167027950286865
2010-06-30,4.122920989990234
2010-07-01,4.128432750701904
2010-07-02,4.110790252685547
2010-07-06,4.1868743896484375
2010-07-07,4.190183639526367
2010-07-08,4.212237358093262
2010-07-09,4.249728679656982
2010-07-12,4.254138469696045
2010-07-13,4.318094730377197
2010-07-14,4.328019142150879
2010-07-15,4.298244953155518
2010-07-16,4.217751979827881
2010-07-19,4.287219524383545
2010-07-20,4.366611957550049
2010-07-21,4.287219524383545
2010-07-22,4.366611957550049
2010-07-23,4.390872001647949
2010-07-26,4.421746253967285
2010-07-27,4.377640247344971
2010-07-28,4.215546131134033
2010-07-29,4.093148231506348
2010-07-30,4.140563011169434
2010-08-02,4.158206939697266
2010-08-03,4.149384498596191
2010-08-04,4.16482400894165
2010-08-05,4.1118927001953125
2010-08-06,4.065579891204834
2010-08-09,4.050144672393799
2010-08-10,4.10858678817749
2010-08-11,4.063375473022461
2010-08-12,4.078813076019287
2010-08-13,4.062273979187012
2010-08-16,4.060068607330322
2010-08-17,4.054554462432861
2010-08-18,4.071093559265137
2010-08-19,4.057860851287842
2010-08-20,4.053452968597412
2010-08-23,4.02808952331543
2010-08-24,4.068890571594238
2010-08-25,4.104175567626953
2010-08-26,4.087634563446045
2010-08-27,4.121817111968994
2010-08-30,4.079918384552002
2010-08-31,4.060068607330322
2010-09-01,4.158206939697266
2010-09-02,4.195698261260986
2010-09-03,4.223265171051025
2010-09-07,4.21113395690918
2010-09-08,4.2045183181762695
2010-09-09,3.9244391918182373
2010-09-10,3.82960844039917
2010-09-13,3.843942880630493
2010-09-14,3.819683074951172
2010-09-15,3.9255406856536865
2010-09-16,3.9077727794647217
2010-09-17,3.9210991859436035
2010-09-20,3.9299826622009277
2010-09-21,3.864464044570923
2010-09-22,3.8233776092529297
