Date,MYE
2010-01-04,5.789349555969238
2010-01-05,5.7208709716796875
2010-01-06,5.65239953994751
2010-01-07,5.8453755378723145
2010-01-08,5.795573711395264
2010-01-11,5.73954963684082
2010-01-12,5.7270989418029785
2010-01-13,5.938750267028809
2010-01-14,5.888952255249023
2010-01-15,5.832924842834473
2010-01-19,6.007227897644043
2010-01-20,5.864052772521973
2010-01-21,5.65239953994751
2010-01-22,5.7208709716796875
2010-01-25,5.795573711395264
2010-01-26,5.633723735809326
2010-01-27,5.826700210571289
2010-01-28,5.627495765686035
2010-01-29,5.6897478103637695
2010-02-01,5.621273040771484
2010-02-02,5.615044593811035
2010-02-03,5.596371650695801
2010-02-04,5.3909406661987305
2010-02-05,5.347365856170654
2010-02-08,5.13571310043335
2010-02-09,5.2539896965026855
2010-02-10,5.216639041900635
2010-02-11,5.465644359588623
2010-02-12,5.552794456481934
2010-02-16,5.559021472930908
2010-02-17,5.509219646453857
2010-02-18,5.7270989418029785
2010-02-19,5.6897478103637695
2010-02-22,5.789349555969238
2010-02-23,5.7519989013671875
2010-02-24,5.938750267028809
2010-02-25,5.988552093505859
2010-02-26,5.7706756591796875
2010-03-01,6.050802230834961
2010-03-02,6.1068315505981445
2010-03-03,6.1815314292907715
2010-03-04,6.206432342529297
2010-03-05,6.330933094024658
2010-03-08,6.48033332824707
2010-03-09,6.4305338859558105
2010-03-10,6.584015369415283
2010-03-11,6.571486473083496
2010-03-12,6.402343273162842
2010-03-15,6.427403926849365
2010-03-16,6.515105724334717
2010-03-17,6.640398025512695
2010-03-18,6.659191608428955
2010-03-19,6.671720027923584
2010-03-22,6.696775913238525
2010-03-23,6.715571403503418
2010-03-24,6.690512180328369
2010-03-25,6.552690029144287
2010-03-26,6.527637481689453
2010-03-29,6.596545696258545
2010-03-30,6.652925491333008
2010-03-31,6.5652241706848145
2010-04-01,6.5652241706848145
2010-04-05,6.671720027923584
2010-04-06,6.665453910827637
2010-04-07,6.659191608428955
2010-04-08,6.709307670593262
2010-04-09,6.728100299835205
2010-04-12,6.734365940093994
2010-04-13,6.696775913238525
2010-04-14,6.753159523010254
2010-04-15,6.734365940093994
2010-04-16,6.7030439376831055
2010-04-19,6.790745258331299
2010-04-20,6.815804481506348
2010-04-21,6.89097785949707
2010-04-22,6.941093921661377
2010-04-23,7.166615962982178
