Date,TRU
2015-06-25,24.53849983215332
2015-06-26,24.00715446472168
2015-06-29,23.543432235717773
2015-06-30,24.248682022094727
2015-07-01,24.103763580322266
2015-07-02,24.15206527709961
2015-07-06,23.929874420166016
2015-07-07,23.755971908569336
2015-07-08,23.591739654541016
2015-07-09,23.504793167114258
2015-07-10,23.620725631713867
2015-07-13,24.403249740600586
2015-07-14,24.200366973876953
2015-07-15,23.910545349121094
2015-07-16,23.93953514099121
2015-07-17,24.074783325195312
2015-07-20,23.88156509399414
2015-07-21,24.026477813720703
2015-07-22,24.045795440673828
2015-07-23,24.393587112426758
2015-07-24,24.00715446472168
2015-07-27,23.562763214111328
2015-07-28,23.765634536743164
2015-07-29,24.325956344604492
2015-07-30,24.258337020874023
2015-07-31,24.248682022094727
2015-08-03,24.41290855407715
2015-08-04,24.86697006225586
2015-08-05,25.74610137939453
2015-08-06,25.668811798095703
2015-08-07,25.350008010864258
2015-08-10,25.45627784729004
2015-08-11,25.263063430786133
2015-08-12,25.253400802612305
2015-08-13,25.118154525756836
2015-08-14,25.9393253326416
2015-08-17,25.842710494995117
2015-08-18,24.85730743408203
2015-08-19,25.340351104736328
2015-08-20,25.0601863861084
2015-08-21,24.548158645629883
2015-08-24,23.311573028564453
2015-08-25,23.466150283813477
2015-08-26,24.14240264892578
2015-08-27,24.654430389404297
2015-08-28,24.886295318603516
2015-08-31,24.982894897460938
2015-09-01,24.084440231323242
2015-09-02,24.63510513305664
2015-09-03,25.021541595458984
2015-09-04,24.509521484375
2015-09-08,24.905611038208008
2015-09-09,24.8476505279541
2015-09-10,24.741374969482422
2015-09-11,24.770357131958008
2015-09-14,24.49019432067871
2015-09-15,24.905611038208008
2015-09-16,25.031200408935547
2015-09-17,25.0601863861084
2015-09-18,23.86224365234375
2015-09-21,24.567487716674805
2015-09-22,24.094106674194336
2015-09-23,24.325956344604492
2015-09-24,24.296977996826172
2015-09-25,24.693069458007812
2015-09-28,23.813936233520508
2015-09-29,23.263267517089844
2015-09-30,24.26799774169922
