Date,UAA
2010-01-04,3.509999990463257
2010-01-05,3.615000009536743
2010-01-06,3.694999933242798
2010-01-07,3.651249885559082
2010-01-08,3.643749952316284
2010-01-11,3.6362500190734863
2010-01-12,3.619999885559082
2010-01-13,3.625
2010-01-14,3.612499952316284
2010-01-15,3.4987499713897705
2010-01-19,3.3924999237060547
2010-01-20,3.3350000381469727
2010-01-21,3.4175000190734863
2010-01-22,3.328749895095825
2010-01-25,3.317500114440918
2010-01-26,3.427500009536743
2010-01-27,3.4887499809265137
2010-01-28,3.28125
2010-01-29,3.174999952316284
2010-02-01,3.2462499141693115
2010-02-02,3.3499999046325684
2010-02-03,3.234999895095825
2010-02-04,3.0562500953674316
2010-02-05,3.055000066757202
2010-02-08,2.992500066757202
2010-02-09,3.106250047683716
2010-02-10,3.067500114440918
2010-02-11,3.166249990463257
2010-02-12,3.1600000858306885
2010-02-16,3.203749895095825
2010-02-17,3.2274999618530273
2010-02-18,3.211250066757202
2010-02-19,3.221250057220459
2010-02-22,3.242500066757202
2010-02-23,3.1675000190734863
2010-02-24,3.231250047683716
2010-02-25,3.2612500190734863
2010-02-26,3.257499933242798
2010-03-01,3.3550000190734863
2010-03-02,3.369999885559082
2010-03-03,3.34375
2010-03-04,3.336250066757202
2010-03-05,3.5174999237060547
2010-03-08,3.521250009536743
2010-03-09,3.5512499809265137
2010-03-10,3.625
2010-03-11,3.6475000381469727
2010-03-12,3.549999952316284
2010-03-15,3.5225000381469727
2010-03-16,3.586250066757202
2010-03-17,3.6212499141693115
2010-03-18,3.5425000190734863
2010-03-19,3.5924999713897705
2010-03-22,3.7612500190734863
2010-03-23,3.8499999046325684
2010-03-24,3.6449999809265137
2010-03-25,3.7699999809265137
2010-03-26,3.825000047683716
2010-03-29,3.825000047683716
2010-03-30,3.78125
2010-03-31,3.6762499809265137
2010-04-01,3.819999933242798
2010-04-05,3.867500066757202
2010-04-06,3.9200000762939453
2010-04-07,3.9437499046325684
2010-04-08,3.9549999237060547
2010-04-09,4.034999847412109
2010-04-12,4.118750095367432
2010-04-13,4.072500228881836
2010-04-14,4.328750133514404
2010-04-15,4.173749923706055
2010-04-16,4.21750020980835
2010-04-19,4.206250190734863
2010-04-20,4.235000133514404
2010-04-21,4.252500057220459
2010-04-22,4.352499961853027
2010-04-23,4.418749809265137
2010-04-26,4.491250038146973
2010-04-27,4.275000095367432
2010-04-28,4.442500114440918
2010-04-29,4.481249809265137
2010-04-30,4.21875
2010-05-03,4.317500114440918
2010-05-04,4.233749866485596
2010-05-05,4.113749980926514
2010-05-06,3.918750047683716
2010-05-07,3.773750066757202
2010-05-10,4.096250057220459
2010-05-11,4.175000190734863
2010-05-12,4.298749923706055
2010-05-13,4.25124979019165
2010-05-14,4.101250171661377
2010-05-17,4.117499828338623
2010-05-18,4.026249885559082
2010-05-19,3.9237499237060547
2010-05-20,3.8137500286102295
2010-05-21,3.872499942779541
2010-05-24,3.8812499046325684
2010-05-25,3.884999990463257
2010-05-26,4.195000171661377
2010-05-27,4.338749885559082
2010-05-28,4.211249828338623
2010-06-01,4.065000057220459
2010-06-02,4.216249942779541
2010-06-03,4.307499885559082
2010-06-04,4.086249828338623
2010-06-07,3.9337499141693115
2010-06-08,4.007500171661377
2010-06-09,3.990000009536743
2010-06-10,4.162499904632568
2010-06-11,4.292500019073486
2010-06-14,4.341249942779541
2010-06-15,4.478750228881836
2010-06-16,4.62375020980835
2010-06-17,4.607500076293945
2010-06-18,4.6875
2010-06-21,4.583749771118164
2010-06-22,4.487500190734863
2010-06-23,4.581250190734863
2010-06-24,4.385000228881836
2010-06-25,4.492499828338623
2010-06-28,4.522500038146973
2010-06-29,4.198750019073486
2010-06-30,4.141250133514404
2010-07-01,4.18625020980835
2010-07-02,4.086249828338623
2010-07-06,4.06374979019165
2010-07-07,4.326250076293945
2010-07-08,4.425000190734863
2010-07-09,4.488749980926514
2010-07-12,4.491250038146973
2010-07-13,4.518750190734863
2010-07-14,4.418749809265137
2010-07-15,4.432499885559082
2010-07-16,4.166250228881836
2010-07-19,4.151249885559082
2010-07-20,4.190000057220459
2010-07-21,4.287499904632568
2010-07-22,4.625
2010-07-23,4.677499771118164
2010-07-26,4.778749942779541
2010-07-27,4.741250038146973
2010-07-28,4.637499809265137
2010-07-29,4.678750038146973
2010-07-30,4.695000171661377
2010-08-02,4.778749942779541
2010-08-03,4.671249866485596
2010-08-04,4.75124979019165
2010-08-05,4.677499771118164
2010-08-06,4.658750057220459
2010-08-09,4.735000133514404
2010-08-10,4.708749771118164
2010-08-11,4.56374979019165
2010-08-12,4.56125020980835
2010-08-13,4.486249923706055
2010-08-16,4.433750152587891
2010-08-17,4.574999809265137
2010-08-18,4.706250190734863
2010-08-19,4.538750171661377
2010-08-20,4.597499847412109
2010-08-23,4.546249866485596
2010-08-24,4.448750019073486
2010-08-25,4.5625
2010-08-26,4.364999771118164
2010-08-27,4.525000095367432
2010-08-30,4.368750095367432
2010-08-31,4.483749866485596
2010-09-01,4.59250020980835
2010-09-02,4.65500020980835
2010-09-03,4.793749809265137
2010-09-07,4.795000076293945
2010-09-08,4.869999885559082
2010-09-09,4.949999809265137
2010-09-10,4.986249923706055
2010-09-13,5.113749980926514
2010-09-14,5.276249885559082
2010-09-15,5.320000171661377
2010-09-16,5.508749961853027
2010-09-17,5.521249771118164
2010-09-20,5.653749942779541
2010-09-21,5.635000228881836
2010-09-22,5.5
2010-09-23,5.548749923706055
2010-09-24,5.614999771118164
2010-09-27,5.652500152587891
2010-09-28,5.683750152587891
