Date,OBT
2010-01-04,5.9873738288879395
2010-01-05,5.9873738288879395
2010-01-06,5.9873738288879395
2010-01-07,5.9873738288879395
2010-01-08,5.790421485900879
2010-01-11,5.829812049865723
2010-01-12,5.829812049865723
2010-01-13,5.829812049865723
2010-01-14,5.829812049865723
2010-01-15,5.829812049865723
2010-01-19,5.829812049865723
2010-01-20,5.829812049865723
2010-01-21,5.829812049865723
2010-01-22,5.829812049865723
2010-01-25,5.829812049865723
2010-01-26,5.829812049865723
2010-01-27,5.829812049865723
2010-01-28,5.829812049865723
2010-01-29,5.829812049865723
2010-02-01,5.829812049865723
2010-02-02,5.829812049865723
2010-02-03,5.829812049865723
2010-02-04,5.829812049865723
2010-02-05,5.829812049865723
2010-02-08,5.6958842277526855
2010-02-09,5.6958842277526855
2010-02-10,5.6958842277526855
2010-02-11,5.751028537750244
2010-02-12,5.751028537750244
2010-02-16,5.751028537750244
2010-02-17,5.751028537750244
2010-02-18,5.751028537750244
2010-02-19,5.751028537750244
2010-02-22,5.829812049865723
2010-02-23,5.829812049865723
2010-02-24,5.751028537750244
2010-02-25,5.751028537750244
2010-02-26,5.751028537750244
2010-03-01,5.829812049865723
2010-03-02,5.829812049865723
2010-03-03,5.829812049865723
2010-03-04,5.75260591506958
2010-03-05,5.75260591506958
2010-03-08,5.75260591506958
2010-03-09,5.75260591506958
2010-03-10,5.751028537750244
2010-03-11,5.751028537750244
2010-03-12,5.751028537750244
2010-03-15,5.751028537750244
2010-03-16,5.751028537750244
2010-03-17,5.751028537750244
2010-03-18,5.751028537750244
2010-03-19,5.751028537750244
2010-03-22,5.751028537750244
2010-03-23,5.751028537750244
2010-03-24,6.300925254821777
2010-03-25,6.300925254821777
2010-03-26,6.300925254821777
2010-03-29,6.300925254821777
2010-03-30,6.300925254821777
2010-03-31,6.300925254821777
2010-04-01,6.354955196380615
2010-04-05,5.8559651374816895
2010-04-06,5.8559651374816895
2010-04-07,5.8559651374816895
2010-04-08,5.8559651374816895
2010-04-09,5.8559651374816895
2010-04-12,5.8559651374816895
2010-04-13,5.8559651374816895
2010-04-14,5.8559651374816895
2010-04-15,5.8559651374816895
2010-04-16,5.8559651374816895
2010-04-19,5.8559651374816895
2010-04-20,5.8559651374816895
2010-04-21,5.8559651374816895
2010-04-22,5.800344467163086
2010-04-23,5.800344467163086
2010-04-26,5.800344467163086
2010-04-27,5.800344467163086
2010-04-28,5.800344467163086
2010-04-29,5.800344467163086
2010-04-30,5.800344467163086
2010-05-03,5.800344467163086
2010-05-04,5.800344467163086
2010-05-05,5.800344467163086
2010-05-06,5.800344467163086
2010-05-07,5.87980318069458
2010-05-10,5.87980318069458
2010-05-11,5.87980318069458
2010-05-12,5.87980318069458
2010-05-13,5.87980318069458
2010-05-14,6.038715362548828
2010-05-17,6.038715362548828
2010-05-18,6.038715362548828
2010-05-19,6.348597526550293
2010-05-20,6.348597526550293
2010-05-21,6.348597526550293
2010-05-24,6.348597526550293
2010-05-25,6.197628974914551
2010-05-26,6.197628974914551
2010-05-27,6.197628974914551
2010-05-28,6.197628974914551
2010-06-01,6.197628974914551
2010-06-02,6.348597526550293
2010-06-03,6.348597526550293
2010-06-04,6.403091907501221
2010-06-07,6.403091907501221
2010-06-08,6.403091907501221
2010-06-09,6.348597526550293
2010-06-10,6.348597526550293
2010-06-11,6.348597526550293
2010-06-14,6.348597526550293
2010-06-15,6.348597526550293
2010-06-16,6.348597526550293
2010-06-17,6.348597526550293
2010-06-18,6.348597526550293
2010-06-21,6.348597526550293
2010-06-22,6.348597526550293
2010-06-23,6.348597526550293
2010-06-24,6.411106586456299
2010-06-25,6.411106586456299
2010-06-28,6.411106586456299
2010-06-29,6.411106586456299
2010-06-30,6.411106586456299
2010-07-01,6.411106586456299
2010-07-02,6.411106586456299
2010-07-06,6.411106586456299
2010-07-07,6.411106586456299
2010-07-08,5.930273532867432
2010-07-09,5.930273532867432
2010-07-12,5.930273532867432
2010-07-13,5.930273532867432
2010-07-14,5.930273532867432
2010-07-15,5.930273532867432
2010-07-16,5.930273532867432
2010-07-19,5.930273532867432
2010-07-20,5.930273532867432
2010-07-21,5.930273532867432
2010-07-22,5.930273532867432
2010-07-23,5.930273532867432
2010-07-26,6.090548992156982
2010-07-27,6.090548992156982
2010-07-28,6.090548992156982
2010-07-29,6.090548992156982
2010-07-30,5.930273532867432
2010-08-02,5.930273532867432
2010-08-03,5.930273532867432
2010-08-04,5.930273532867432
2010-08-05,5.930273532867432
2010-08-06,5.930273532867432
2010-08-09,5.930273532867432
2010-08-10,5.930273532867432
2010-08-11,5.930273532867432
2010-08-12,5.930273532867432
2010-08-13,6.01041316986084
2010-08-16,6.01041316986084
2010-08-17,6.01041316986084
2010-08-18,6.090548992156982
2010-08-19,6.090548992156982
2010-08-20,6.090548992156982
2010-08-23,6.090548992156982
2010-08-24,6.090548992156982
2010-08-25,6.090548992156982
2010-08-26,6.090548992156982
2010-08-27,6.090548992156982
2010-08-30,6.090548992156982
2010-08-31,6.411106586456299
2010-09-01,6.411106586456299
2010-09-02,6.061938285827637
2010-09-03,6.061938285827637
2010-09-07,6.061938285827637
2010-09-08,6.142763137817383
2010-09-09,6.061938285827637
2010-09-10,6.061938285827637
2010-09-13,6.061938285827637
2010-09-14,6.061938285827637
2010-09-15,6.061938285827637
2010-09-16,6.061938285827637
2010-09-17,6.061938285827637
2010-09-20,6.061938285827637
2010-09-21,6.22359037399292
2010-09-22,6.22359037399292
2010-09-23,6.22359037399292
2010-09-24,6.22359037399292
