Date,LZ
2021-06-30,37.849998474121094
2021-07-01,38.5
2021-07-02,38.939998626708984
2021-07-06,38.06999969482422
2021-07-07,36.75
2021-07-08,36.91999816894531
2021-07-09,36.380001068115234
2021-07-12,36.529998779296875
2021-07-13,37.88999938964844
2021-07-14,36.970001220703125
2021-07-15,36.0
2021-07-16,36.45000076293945
2021-07-19,35.34000015258789
2021-07-20,38.18000030517578
2021-07-21,38.0
2021-07-22,39.06999969482422
2021-07-23,37.900001525878906
2021-07-26,36.0
2021-07-27,35.0099983215332
2021-07-28,35.38999938964844
2021-07-29,36.40999984741211
2021-07-30,36.779998779296875
2021-08-02,37.43000030517578
2021-08-03,37.560001373291016
2021-08-04,38.9900016784668
2021-08-05,39.0
2021-08-06,39.0
2021-08-09,38.959999084472656
2021-08-10,39.849998474121094
2021-08-11,36.34000015258789
2021-08-12,35.0
2021-08-13,34.84000015258789
2021-08-16,34.04999923706055
2021-08-17,34.349998474121094
2021-08-18,33.720001220703125
2021-08-19,33.84000015258789
2021-08-20,36.38999938964844
2021-08-23,34.810001373291016
2021-08-24,36.18000030517578
2021-08-25,36.849998474121094
2021-08-26,34.84000015258789
2021-08-27,35.099998474121094
2021-08-30,34.470001220703125
2021-08-31,34.22999954223633
2021-09-01,34.40999984741211
2021-09-02,36.189998626708984
2021-09-03,35.90999984741211
2021-09-07,34.400001525878906
2021-09-08,34.459999084472656
2021-09-09,35.15999984741211
2021-09-10,35.02000045776367
2021-09-13,34.54999923706055
2021-09-14,34.310001373291016
2021-09-15,36.130001068115234
2021-09-16,36.209999084472656
2021-09-17,35.2599983215332
2021-09-20,32.75
2021-09-21,30.780000686645508
2021-09-22,29.729999542236328
2021-09-23,28.450000762939453
2021-09-24,26.25
2021-09-27,27.25
2021-09-28,26.209999084472656
2021-09-29,26.719999313354492
2021-09-30,26.399999618530273
2021-10-01,25.729999542236328
2021-10-04,24.229999542236328
2021-10-05,24.100000381469727
2021-10-06,22.829999923706055
2021-10-07,23.18000030517578
2021-10-08,22.270000457763672
2021-10-11,22.559999465942383
2021-10-12,22.350000381469727
2021-10-13,24.06999969482422
2021-10-14,25.860000610351562
2021-10-15,25.06999969482422
2021-10-18,25.93000030517578
2021-10-19,27.209999084472656
2021-10-20,27.360000610351562
2021-10-21,27.690000534057617
2021-10-22,27.100000381469727
2021-10-25,26.8700008392334
2021-10-26,27.399999618530273
2021-10-27,27.40999984741211
2021-10-28,27.700000762939453
2021-10-29,28.040000915527344
2021-11-01,26.8700008392334
2021-11-02,26.030000686645508
2021-11-03,27.110000610351562
2021-11-04,26.6299991607666
2021-11-05,25.190000534057617
2021-11-08,25.09000015258789
2021-11-09,24.81999969482422
2021-11-10,23.790000915527344
2021-11-11,19.90999984741211
2021-11-12,19.729999542236328
2021-11-15,21.270000457763672
2021-11-16,20.969999313354492
2021-11-17,20.84000015258789
2021-11-18,19.260000228881836
2021-11-19,18.75
2021-11-22,18.5
2021-11-23,18.200000762939453
2021-11-24,19.3700008392334
2021-11-26,19.239999771118164
2021-11-29,18.799999237060547
2021-11-30,18.010000228881836
2021-12-01,17.559999465942383
2021-12-02,18.540000915527344
2021-12-03,17.889999389648438
2021-12-06,17.1200008392334
2021-12-07,17.959999084472656
