Date,PCAR
2010-01-04,14.24095344543457
2010-01-05,14.49769115447998
2010-01-06,14.688295364379883
2010-01-07,14.882789611816406
2010-01-08,14.90224552154541
2010-01-11,15.147311210632324
2010-01-12,15.104521751403809
2010-01-13,15.17064380645752
2010-01-14,15.143411636352539
2010-01-15,14.781656265258789
2010-01-19,14.941140174865723
2010-01-20,14.664956092834473
2010-01-21,14.427678108215332
2010-01-22,14.065910339355469
2010-01-25,14.046459197998047
2010-01-26,13.879192352294922
2010-01-27,13.968670845031738
2010-01-28,13.704151153564453
2010-01-29,14.015345573425293
2010-02-01,14.046459197998047
2010-02-02,14.050355911254883
2010-02-03,13.953104019165039
2010-02-04,13.451309204101562
2010-02-05,13.287925720214844
2010-02-08,13.214018821716309
2010-02-09,13.59522819519043
2010-02-10,13.568001747131348
2010-02-11,13.883087158203125
2010-02-12,13.82862377166748
2010-02-16,14.069801330566406
2010-02-17,14.062006950378418
2010-02-18,14.011302947998047
2010-02-19,14.019109725952148
2010-02-22,13.78902816772461
2010-02-23,13.609648704528809
2010-02-24,13.925514221191406
2010-02-25,13.921612739562988
2010-02-26,13.785131454467773
2010-03-01,14.05030345916748
2010-03-02,14.471465110778809
2010-03-03,14.916010856628418
2010-03-04,14.99010944366455
2010-03-05,15.290377616882324
2010-03-08,15.20458698272705
2010-03-09,15.446355819702148
2010-03-10,15.504863739013672
2010-03-11,15.524359703063965
2010-03-12,16.124895095825195
2010-03-15,16.144393920898438
2010-03-16,16.2808837890625
2010-03-17,16.542156219482422
2010-03-18,16.393966674804688
2010-03-19,16.475862503051758
2010-03-22,16.85802459716797
2010-03-23,16.861919403076172
2010-03-24,16.791732788085938
2010-03-25,16.939912796020508
2010-03-26,17.029603958129883
2010-03-29,17.10759925842285
2010-03-30,17.091991424560547
2010-03-31,16.90091896057129
2010-04-01,17.091991424560547
2010-04-05,17.45465850830078
2010-04-06,17.427371978759766
2010-04-07,17.32597541809082
2010-04-08,17.372779846191406
2010-04-09,17.7198429107666
2010-04-12,17.700345993041992
2010-04-13,17.84852409362793
2010-04-14,18.102001190185547
2010-04-15,18.215089797973633
2010-04-16,17.89531898498535
2010-04-19,18.187793731689453
2010-04-20,17.66914176940918
2010-04-21,17.840730667114258
2010-04-22,18.105905532836914
2010-04-23,18.73373794555664
2010-04-26,18.73373794555664
2010-04-27,18.12149429321289
2010-04-28,18.109798431396484
2010-04-29,18.62454605102539
2010-04-30,18.140993118286133
2010-05-03,18.74153709411621
2010-05-04,17.977203369140625
2010-05-05,17.60675048828125
2010-05-06,16.709836959838867
2010-05-07,16.21459197998047
2010-05-10,17.45857048034668
2010-05-11,17.368873596191406
2010-05-12,17.67304229736328
2010-05-13,17.602848052978516
2010-05-14,17.197282791137695
2010-05-17,17.00191307067871
2010-05-18,16.771364212036133
2010-05-19,16.411865234375
2010-05-20,15.306017875671387
2010-05-21,15.669422149658203
2010-05-24,15.427151679992676
2010-05-25,15.321643829345703
2010-05-26,15.595170021057129
2010-05-27,16.27119255065918
2010-05-28,16.021100997924805
2010-06-01,15.712407112121582
2010-06-02,16.185226440429688
2010-06-03,16.62678337097168
2010-06-04,15.575642585754395
2010-06-07,15.184885025024414
2010-06-08,15.380264282226562
2010-06-09,15.337279319763184
2010-06-10,16.447032928466797
2010-06-11,16.478294372558594
2010-06-14,16.419675827026367
2010-06-15,17.14258575439453
