Date,DCI
2010-01-04,16.912158966064453
2010-01-05,16.529586791992188
2010-01-06,16.663677215576172
2010-01-07,16.868770599365234
2010-01-08,16.947649002075195
2010-01-11,16.979202270507812
2010-01-12,16.801721572875977
2010-01-13,16.892436981201172
2010-01-14,16.671571731567383
2010-01-15,16.450698852539062
2010-01-19,16.687339782714844
2010-01-20,16.399431228637695
2010-01-21,16.162784576416016
2010-01-22,15.937973022460938
2010-01-25,15.772323608398438
2010-01-26,15.646111488342285
2010-01-27,15.547506332397461
2010-01-28,15.31086254119873
2010-01-29,15.082114219665527
2010-02-01,15.531737327575684
2010-02-02,15.63427734375
2010-02-03,15.51201343536377
2010-02-04,15.10183334350586
2010-02-05,15.074223518371582
2010-02-08,15.054502487182617
2010-02-09,15.259594917297363
2010-02-10,15.208321571350098
2010-02-11,15.401583671569824
2010-02-12,15.646111488342285
2010-02-16,15.819650650024414
2010-02-17,15.91825008392334
2010-02-18,16.18644905090332
2010-02-19,16.119400024414062
2010-02-22,16.39154815673828
2010-02-23,16.099674224853516
2010-02-24,16.292940139770508
2010-02-25,16.22194480895996
2010-02-26,16.273218154907227
2010-03-01,16.474361419677734
2010-03-02,16.62029266357422
2010-03-03,16.71918296813965
2010-03-04,16.750822067260742
2010-03-05,17.051420211791992
2010-03-08,17.18195343017578
2010-03-09,17.450912475585938
2010-03-10,17.59330177307129
2010-03-11,17.573522567749023
2010-03-12,17.696155548095703
2010-03-15,17.62099266052246
2010-03-16,17.783161163330078
2010-03-17,17.850400924682617
2010-03-18,17.949289321899414
2010-03-19,17.921598434448242
2010-03-22,17.937423706054688
2010-03-23,18.18660545349121
2010-03-24,17.818754196166992
2010-03-25,17.86623191833496
2010-03-26,18.166837692260742
2010-03-29,18.147050857543945
2010-03-30,18.162874221801758
2010-03-31,17.84644317626953
2010-04-01,18.02048110961914
2010-04-05,18.388328552246094
2010-04-06,18.364595413208008
2010-04-07,18.451614379882812
2010-04-08,18.178691864013672
2010-04-09,18.384368896484375
2010-04-12,18.33294677734375
2010-04-13,18.293397903442383
2010-04-14,18.34482192993164
2010-04-15,18.261754989624023
2010-04-16,18.21430015563965
2010-04-19,18.111459732055664
2010-04-20,18.182653427124023
2010-04-21,18.1510066986084
2010-04-22,18.463478088378906
2010-04-23,18.483264923095703
2010-04-26,18.514894485473633
2010-04-27,18.1510066986084
2010-04-28,18.02048110961914
2010-04-29,18.166837692260742
2010-04-30,18.313173294067383
2010-05-03,18.53863525390625
