Date,MTZ
2010-01-04,13.119999885559082
2010-01-05,12.850000381469727
2010-01-06,12.829999923706055
2010-01-07,12.84000015258789
2010-01-08,13.359999656677246
2010-01-11,13.020000457763672
2010-01-12,13.0600004196167
2010-01-13,13.25
2010-01-14,13.579999923706055
2010-01-15,13.609999656677246
2010-01-19,13.770000457763672
2010-01-20,13.729999542236328
2010-01-21,13.369999885559082
2010-01-22,12.859999656677246
2010-01-25,12.829999923706055
2010-01-26,12.960000038146973
2010-01-27,12.920000076293945
2010-01-28,11.739999771118164
2010-01-29,12.289999961853027
2010-02-01,12.289999961853027
2010-02-02,12.329999923706055
2010-02-03,12.270000457763672
2010-02-04,12.050000190734863
2010-02-05,11.949999809265137
2010-02-08,12.079999923706055
2010-02-09,12.369999885559082
2010-02-10,12.380000114440918
2010-02-11,12.470000267028809
2010-02-12,12.569999694824219
2010-02-16,12.640000343322754
2010-02-17,12.850000381469727
2010-02-18,13.270000457763672
2010-02-19,13.420000076293945
2010-02-22,13.600000381469727
2010-02-23,13.460000038146973
2010-02-24,13.449999809265137
2010-02-25,13.529999732971191
2010-02-26,13.239999771118164
2010-03-01,13.260000228881836
2010-03-02,13.180000305175781
2010-03-03,13.010000228881836
2010-03-04,12.859999656677246
2010-03-05,13.149999618530273
2010-03-08,12.960000038146973
2010-03-09,13.0
2010-03-10,12.949999809265137
2010-03-11,12.960000038146973
2010-03-12,12.930000305175781
2010-03-15,12.720000267028809
2010-03-16,12.850000381469727
2010-03-17,12.84000015258789
2010-03-18,12.6899995803833
2010-03-19,12.510000228881836
2010-03-22,12.699999809265137
2010-03-23,12.930000305175781
2010-03-24,12.880000114440918
2010-03-25,12.59000015258789
2010-03-26,12.59000015258789
2010-03-29,12.609999656677246
2010-03-30,12.5600004196167
2010-03-31,12.609999656677246
2010-04-01,12.859999656677246
2010-04-05,13.010000228881836
2010-04-06,13.0
2010-04-07,12.930000305175781
2010-04-08,12.930000305175781
2010-04-09,13.029999732971191
2010-04-12,12.460000038146973
2010-04-13,12.40999984741211
2010-04-14,12.34000015258789
2010-04-15,12.850000381469727
2010-04-16,12.699999809265137
2010-04-19,12.579999923706055
2010-04-20,12.850000381469727
2010-04-21,12.859999656677246
2010-04-22,12.739999771118164
2010-04-23,12.789999961853027
2010-04-26,12.75
2010-04-27,12.569999694824219
2010-04-28,12.710000038146973
2010-04-29,12.869999885559082
2010-04-30,12.510000228881836
2010-05-03,12.760000228881836
2010-05-04,12.390000343322754
2010-05-05,12.470000267028809
2010-05-06,11.600000381469727
2010-05-07,10.829999923706055
2010-05-10,11.819999694824219
2010-05-11,12.010000228881836
2010-05-12,12.699999809265137
2010-05-13,12.699999809265137
2010-05-14,12.600000381469727
2010-05-17,12.34000015258789
2010-05-18,12.529999732971191
2010-05-19,12.279999732971191
2010-05-20,11.850000381469727
2010-05-21,12.010000228881836
2010-05-24,11.539999961853027
2010-05-25,11.510000228881836
2010-05-26,11.319999694824219
2010-05-27,11.619999885559082
2010-05-28,11.630000114440918
2010-06-01,10.9399995803833
2010-06-02,11.130000114440918
2010-06-03,11.109999656677246
2010-06-04,10.699999809265137
2010-06-07,10.40999984741211
2010-06-08,10.34000015258789
2010-06-09,10.279999732971191
2010-06-10,10.40999984741211
2010-06-11,10.579999923706055
2010-06-14,10.520000457763672
2010-06-15,10.949999809265137
2010-06-16,10.680000305175781
2010-06-17,10.449999809265137
2010-06-18,10.229999542236328
2010-06-21,10.199999809265137
2010-06-22,10.0600004196167
2010-06-23,10.529999732971191
2010-06-24,10.010000228881836
2010-06-25,10.140000343322754
2010-06-28,9.90999984741211
2010-06-29,9.470000267028809
2010-06-30,9.399999618530273
2010-07-01,9.479999542236328
2010-07-02,9.75
2010-07-06,9.729999542236328
2010-07-07,9.90999984741211
2010-07-08,10.4399995803833
2010-07-09,10.75
2010-07-12,10.479999542236328
2010-07-13,11.010000228881836
2010-07-14,11.0
2010-07-15,10.960000038146973
2010-07-16,10.119999885559082
2010-07-19,10.109999656677246
2010-07-20,10.479999542236328
2010-07-21,10.520000457763672
2010-07-22,10.779999732971191
2010-07-23,10.859999656677246
2010-07-26,11.1899995803833
2010-07-27,11.079999923706055
2010-07-28,10.979999542236328
2010-07-29,10.84000015258789
2010-07-30,10.619999885559082
2010-08-02,11.109999656677246
2010-08-03,11.140000343322754
2010-08-04,11.050000190734863
2010-08-05,10.6899995803833
2010-08-06,10.649999618530273
2010-08-09,10.479999542236328
2010-08-10,10.350000381469727
2010-08-11,9.779999732971191
2010-08-12,9.680000305175781
2010-08-13,9.800000190734863
2010-08-16,9.770000457763672
2010-08-17,10.109999656677246
2010-08-18,10.260000228881836
2010-08-19,10.199999809265137
2010-08-20,10.15999984741211
2010-08-23,10.199999809265137
2010-08-24,9.890000343322754
2010-08-25,10.0
2010-08-26,10.15999984741211
2010-08-27,10.199999809265137
2010-08-30,9.920000076293945
2010-08-31,9.680000305175781
2010-09-01,9.949999809265137
2010-09-02,9.970000267028809
2010-09-03,10.100000381469727
2010-09-07,9.949999809265137
2010-09-08,9.890000343322754
2010-09-09,9.75
2010-09-10,9.670000076293945
2010-09-13,9.770000457763672
2010-09-14,9.84000015258789
2010-09-15,9.930000305175781
2010-09-16,9.890000343322754
2010-09-17,9.800000190734863
2010-09-20,9.989999771118164
2010-09-21,9.789999961853027
2010-09-22,9.8100004196167
2010-09-23,9.75
2010-09-24,9.890000343322754
2010-09-27,9.920000076293945
2010-09-28,9.9399995803833
2010-09-29,10.359999656677246
2010-09-30,10.319999694824219
