Date,CAC
2010-01-04,13.131546974182129
2010-01-05,12.599395751953125
2010-01-06,12.599395751953125
2010-01-07,13.135454177856445
2010-01-08,13.021982192993164
2010-01-11,12.751996040344238
2010-01-12,12.611140251159668
2010-01-13,12.824082374572754
2010-01-14,12.757041931152344
2010-01-15,12.504663467407227
2010-01-19,12.776759147644043
2010-01-20,12.437623977661133
2010-01-21,12.323260307312012
2010-01-22,11.901314735412598
2010-01-25,12.201014518737793
2010-01-26,12.059053421020508
2010-01-27,11.853996276855469
2010-01-28,11.349231719970703
2010-01-29,11.443872451782227
2010-02-01,11.8421630859375
2010-02-02,11.83033275604248
2010-02-03,11.727803230285645
2010-02-04,11.435989379882812
2010-02-05,11.530630111694336
2010-02-08,11.443872451782227
2010-02-09,11.574007034301758
2010-02-10,11.534575462341309
2010-02-11,11.704147338867188
2010-02-12,11.633158683776855
2010-02-16,11.700201988220215
2010-02-17,12.161584854125977
2010-02-18,12.283829689025879
2010-02-19,11.881604194641113
2010-02-22,12.08665943145752
2010-02-23,12.398189544677734
2010-02-24,12.110316276550293
2010-02-25,12.01173210144043
2010-02-26,11.897374153137207
2010-03-01,11.948636054992676
2010-03-02,12.047224044799805
2010-03-03,11.913147926330566
2010-03-04,12.055107116699219
2010-03-05,12.449453353881836
2010-03-08,12.591416358947754
2010-03-09,12.63479232788086
2010-03-10,12.626913070678711
2010-03-11,12.812251091003418
2010-03-12,12.745214462280273
2010-03-15,12.808304786682129
2010-03-16,12.851690292358398
2010-03-17,12.918726921081543
2010-03-18,12.875350952148438
2010-03-19,13.277576446533203
2010-03-22,13.565450668334961
2010-03-23,13.466862678527832
2010-03-24,13.313066482543945
2010-03-25,12.954215049743652
2010-03-26,13.033084869384766
2010-03-29,12.792534828186035
2010-03-30,12.697887420654297
2010-03-31,12.662402153015137
2010-04-01,12.705780982971191
2010-04-05,13.072515487670898
2010-04-06,13.285467147827148
2010-04-07,13.537847518920898
2010-04-08,13.242087364196777
2010-04-09,13.02519416809082
2010-04-12,13.092235565185547
2010-04-13,13.231307029724121
2010-04-14,13.648507118225098
2010-04-15,13.906781196594238
2010-04-16,13.803468704223633
2010-04-19,13.84320068359375
2010-04-20,14.093523979187012
2010-04-21,13.982268333435059
2010-04-22,14.093523979187012
2010-04-23,14.180938720703125
2010-04-26,14.192862510681152
2010-04-27,13.882933616638184
2010-04-28,13.890881538391113
2010-04-29,14.566352844238281
2010-04-30,14.196828842163086
2010-05-03,14.6776123046875
2010-05-04,14.097495079040527
2010-05-05,13.946514129638672
2010-05-06,13.743867874145508
2010-05-07,13.310776710510254
2010-05-10,13.68824291229248
2010-05-11,13.99419116973877
2010-05-12,14.30411434173584
2010-05-13,14.280279159545898
2010-05-14,13.529309272766113
2010-05-17,13.839229583740234
2010-05-18,13.51738452911377
2010-05-19,13.278985023498535
2010-05-20,12.428683280944824
2010-05-21,12.353184700012207
2010-05-24,12.158495903015137
2010-05-25,11.932013511657715
2010-05-26,11.967771530151367
2010-05-27,12.730655670166016
