Date,ORLY
2010-01-04,2.566667079925537
2010-01-05,2.570667028427124
2010-01-06,2.559333086013794
2010-01-07,2.551332950592041
2010-01-08,2.5286669731140137
2010-01-11,2.5420000553131104
2010-01-12,2.5899999141693115
2010-01-13,2.5986669063568115
2010-01-14,2.5859999656677246
2010-01-15,2.547333002090454
2010-01-19,2.5739998817443848
2010-01-20,2.5299999713897705
2010-01-21,2.5226669311523438
2010-01-22,2.5239999294281006
2010-01-25,2.572000026702881
2010-01-26,2.563999891281128
2010-01-27,2.551332950592041
2010-01-28,2.5153329372406006
2010-01-29,2.5199999809265137
2010-02-01,2.549333095550537
2010-02-02,2.5899999141693115
2010-02-03,2.5953330993652344
2010-02-04,2.552000045776367
2010-02-05,2.564666986465454
2010-02-08,2.5460000038146973
2010-02-09,2.5920000076293945
2010-02-10,2.601332902908325
2010-02-11,2.634666919708252
2010-02-12,2.6533329486846924
2010-02-16,2.6566669940948486
2010-02-17,2.7193329334259033
2010-02-18,2.557332992553711
2010-02-19,2.5940001010894775
2010-02-22,2.5813329219818115
2010-02-23,2.5733330249786377
2010-02-24,2.619333028793335
2010-02-25,2.6333329677581787
2010-02-26,2.619999885559082
2010-03-01,2.638000011444092
2010-03-02,2.6353330612182617
2010-03-03,2.617332935333252
2010-03-04,2.634666919708252
2010-03-05,2.6480000019073486
2010-03-08,2.6513330936431885
2010-03-09,2.6493330001831055
2010-03-10,2.684000015258789
2010-03-11,2.688667058944702
2010-03-12,2.6953330039978027
2010-03-15,2.6973330974578857
2010-03-16,2.7406671047210693
2010-03-17,2.7926669120788574
2010-03-18,2.7939999103546143
2010-03-19,2.799999952316284
2010-03-22,2.8506669998168945
2010-03-23,2.8666670322418213
2010-03-24,2.8026669025421143
2010-03-25,2.797333002090454
2010-03-26,2.802000045776367
2010-03-29,2.7839999198913574
2010-03-30,2.7886669635772705
2010-03-31,2.7806670665740967
2010-04-01,2.795332908630371
2010-04-05,2.8046669960021973
2010-04-06,2.7939999103546143
2010-04-07,2.7820000648498535
2010-04-08,2.7739999294281006
2010-04-09,2.7886669635772705
2010-04-12,2.7920000553131104
2010-04-13,2.809999942779541
2010-04-14,2.9019999504089355
2010-04-15,2.921333074569702
2010-04-16,2.9053330421447754
2010-04-19,2.9226670265197754
2010-04-20,2.956666946411133
2010-04-21,2.9779999256134033
2010-04-22,3.068666934967041
