Date,CNXC
2020-11-24,75.38735961914062
2020-11-25,75.38735961914062
2020-11-27,75.38735961914062
2020-11-30,75.38735961914062
2020-12-01,98.9458999633789
2020-12-02,94.17765045166016
2020-12-03,95.86444854736328
2020-12-04,95.37442016601562
2020-12-07,108.50123596191406
2020-12-08,98.35223388671875
2020-12-09,96.83505249023438
2020-12-10,94.9315185546875
2020-12-11,94.32843017578125
2020-12-14,88.81573486328125
2020-12-15,93.73474884033203
2020-12-16,93.6781997680664
2020-12-17,94.55458068847656
2020-12-18,92.98086547851562
2020-12-21,93.42376708984375
2020-12-22,92.05738067626953
2020-12-23,92.47200775146484
2020-12-24,94.1211166381836
2020-12-28,96.1188735961914
2020-12-29,95.36500549316406
2020-12-30,93.5745620727539
2020-12-31,93.0091552734375
2021-01-04,93.94207000732422
2021-01-05,94.39439392089844
2021-01-06,95.37442016601562
2021-01-07,96.92928314208984
2021-01-08,103.52568054199219
2021-01-11,105.35382080078125
2021-01-12,111.66752624511719
2021-01-13,112.79830932617188
2021-01-14,115.74786376953125
2021-01-15,113.29777526855469
2021-01-19,108.35989379882812
2021-01-20,112.8171615600586
2021-01-21,110.76287078857422
2021-01-22,111.79944610595703
2021-01-25,111.13981628417969
2021-01-26,111.83714294433594
2021-01-27,108.38817596435547
2021-01-28,109.64148712158203
2021-01-29,100.75519561767578
2021-02-01,104.33610534667969
2021-02-02,105.55171966552734
2021-02-03,103.11105346679688
2021-02-04,102.90374755859375
2021-02-05,103.82723999023438
2021-02-08,104.23245239257812
2021-02-09,103.96858978271484
2021-02-10,104.53398895263672
2021-02-11,103.94032287597656
2021-02-12,104.12879180908203
2021-02-16,104.373779296875
2021-02-17,105.69307708740234
2021-02-18,106.72020721435547
2021-02-19,107.38928985595703
2021-02-22,105.4574966430664
2021-02-23,105.97576904296875
2021-02-24,107.43639373779297
2021-02-25,110.77229309082031
2021-02-26,116.38864135742188
2021-03-01,120.38419342041016
2021-03-02,117.94352722167969
2021-03-03,115.17302703857422
2021-03-04,115.79495239257812
2021-03-05,115.2012939453125
2021-03-08,124.46453857421875
2021-03-09,126.35865020751953
2021-03-10,127.91349792480469
2021-03-11,133.03977966308594
2021-03-12,131.17401123046875
2021-03-15,132.15406799316406
2021-03-16,134.20834350585938
2021-03-17,130.7499542236328
2021-03-18,126.92404174804688
2021-03-19,125.08645629882812
2021-03-22,125.00162506103516
2021-03-23,120.9872817993164
2021-03-24,121.23226165771484
2021-03-25,131.78648376464844
2021-03-26,138.3734893798828
2021-03-29,134.9151153564453
2021-03-30,137.1578826904297
2021-03-31,141.08743286132812
