Date,RGP
2010-01-04,13.351829528808594
2010-01-05,13.339398384094238
2010-01-06,13.457499504089355
2010-01-07,12.500244140625
2010-01-08,12.506463050842285
2010-01-11,12.419443130493164
2010-01-12,12.469161033630371
2010-01-13,12.438084602355957
2010-01-14,12.276471138000488
2010-01-15,11.859999656677246
2010-01-19,11.81027603149414
2010-01-20,11.685959815979004
2010-01-21,11.468400001525879
2010-01-22,11.443536758422852
2010-01-25,11.306781768798828
2010-01-26,11.107876777648926
2010-01-27,11.257060050964355
2010-01-28,11.232192039489746
2010-01-29,11.101661682128906
2010-02-01,11.250844955444336
2010-02-02,11.306781768798828
2010-02-03,11.375160217285156
2010-02-04,11.13895320892334
2010-02-05,11.400020599365234
2010-02-08,11.387594223022461
2010-02-09,11.412455558776855
2010-02-10,11.337862014770508
2010-02-11,11.194899559020996
2010-02-12,11.244624137878418
2010-02-16,11.294353485107422
2010-02-17,11.36894702911377
2010-02-18,11.27570629119873
2010-02-19,11.126524925231934
2010-02-22,10.877883911132812
2010-02-23,10.784648895263672
2010-02-24,10.672760009765625
2010-02-25,10.623034477233887
2010-02-26,10.591952323913574
2010-03-01,10.859235763549805
2010-03-02,10.790863990783691
2010-03-03,10.815726280212402
2010-03-04,10.753565788269043
2010-03-05,10.660324096679688
2010-03-08,10.560873985290527
2010-03-09,10.50493049621582
2010-03-10,10.54222297668457
2010-03-11,10.784648895263672
2010-03-12,10.890318870544434
2010-03-15,10.498714447021484
2010-03-16,10.57330322265625
2010-03-17,10.57330322265625
2010-03-18,11.120306015014648
2010-03-19,11.250844955444336
2010-03-22,11.27570629119873
2010-03-23,11.400020599365234
2010-03-24,11.207327842712402
2010-03-25,11.2011137008667
2010-03-26,11.990535736083984
2010-03-29,11.891081809997559
2010-03-30,12.071349143981934
2010-03-31,11.89730167388916
2010-04-01,11.959456443786621
2010-04-05,11.847567558288574
2010-04-06,11.69217586517334
2010-04-07,11.468400001525879
2010-04-08,11.5927152633667
2010-04-09,11.5927152633667
2010-04-12,11.5927152633667
2010-04-13,11.31300163269043
2010-04-14,11.437318801879883
2010-04-15,11.89730167388916
2010-04-16,11.859999656677246
2010-04-19,11.710821151733398
2010-04-20,11.704605102539062
2010-04-21,11.953243255615234
2010-04-22,11.81027603149414
2010-04-23,11.822710037231445
2010-04-26,11.766765594482422
2010-04-27,11.685959815979004
