Date,XP
2019-12-11,31.02484130859375
2019-12-12,31.186899185180664
2019-12-13,33.950862884521484
2019-12-16,32.23126220703125
2019-12-17,30.880788803100586
2019-12-18,34.30198669433594
2019-12-19,33.99587631225586
2019-12-20,36.01258087158203
2019-12-23,35.319339752197266
2019-12-24,35.679466247558594
2019-12-26,34.81515884399414
2019-12-27,34.653106689453125
2019-12-30,34.455039978027344
2019-12-31,34.680118560791016
2020-01-02,34.743141174316406
2020-01-03,34.4100227355957
2020-01-06,32.60039138793945
2020-01-07,32.942508697509766
2020-01-08,33.21260452270508
2020-01-09,34.049896240234375
2020-01-10,33.84282302856445
2020-01-13,33.79780960083008
2020-01-14,33.446685791015625
2020-01-15,33.80681228637695
2020-01-16,33.94186019897461
2020-01-17,34.92320251464844
2020-01-21,36.54376983642578
2020-01-22,38.245361328125
2020-01-23,36.912899017333984
2020-01-24,34.689117431640625
2020-01-27,33.86083221435547
2020-01-28,35.14828109741211
2020-01-29,36.30968475341797
2020-01-30,35.01323318481445
2020-01-31,36.13862609863281
2020-02-03,36.426727294921875
2020-02-04,35.08525848388672
2020-02-05,35.92255401611328
2020-02-06,34.4820442199707
2020-02-07,33.63574981689453
2020-02-10,33.599735260009766
2020-02-11,35.10326385498047
2020-02-12,36.831871032714844
2020-02-13,37.23701095581055
2020-02-14,36.300682067871094
2020-02-18,36.8588752746582
2020-02-19,38.25436782836914
2020-02-20,38.704524993896484
2020-02-21,38.11031723022461
2020-02-24,35.56242370605469
2020-02-25,33.76179504394531
2020-02-26,32.59138870239258
2020-02-27,31.916154861450195
2020-02-28,31.195898056030273
2020-03-02,33.446685791015625
2020-03-03,32.55537414550781
2020-03-04,34.96821594238281
2020-03-05,32.195247650146484
2020-03-06,27.900747299194336
2020-03-09,23.9843807220459
2020-03-10,26.96442222595215
2020-03-11,20.923309326171875
2020-03-12,15.94456958770752
2020-03-13,20.158042907714844
2020-03-16,16.691831588745117
2020-03-17,17.93426513671875
2020-03-18,15.845536231994629
2020-03-19,18.816574096679688
2020-03-20,16.151643753051758
2020-03-23,15.269332885742188
2020-03-24,17.68217658996582
2020-03-25,20.70723533630371
2020-03-26,22.35481071472168
2020-03-27,20.041004180908203
2020-03-30,18.528472900390625
2020-03-31,17.367069244384766
2020-04-01,16.14263916015625
2020-04-02,15.485411643981934
2020-04-03,15.899553298950195
2020-04-06,18.36641502380371
2020-04-07,19.383773803710938
2020-04-08,19.43779182434082
2020-04-09,20.320098876953125
2020-04-13,19.068662643432617
2020-04-14,20.509166717529297
2020-04-15,21.05835723876953
2020-04-16,22.913005828857422
2020-04-17,24.14643669128418
2020-04-20,24.245471954345703
2020-04-21,22.201757431030273
2020-04-22,23.426183700561523
2020-04-23,23.1830997467041
2020-04-24,20.617202758789062
2020-04-27,21.40947914123535
2020-04-28,22.444841384887695
2020-04-29,22.624902725219727
2020-04-30,22.651914596557617
2020-05-01,20.797266006469727
2020-05-04,20.64421272277832
2020-05-05,20.320098876953125
2020-05-06,20.608200073242188
2020-05-07,21.985681533813477
2020-05-08,22.606897354125977
2020-05-11,22.822973251342773
2020-05-12,22.381818771362305
2020-05-13,25.118776321411133
2020-05-14,23.462196350097656
2020-05-15,23.867338180541992
2020-05-18,24.821672439575195
2020-05-19,23.85833740234375
2020-05-20,24.758647918701172
2020-05-21,25.640958786010742
2020-05-22,25.929059982299805
2020-05-26,27.837726593017578
2020-05-27,27.477602005004883
2020-05-28,27.39657211303711
2020-05-29,27.33355140686035
2020-06-01,27.495609283447266
2020-06-02,29.035144805908203
2020-06-03,31.195898056030273
2020-06-04,31.222909927368164
2020-06-05,32.933509826660156
2020-06-08,36.94440841674805
2020-06-09,36.65180587768555
2020-06-10,38.02928924560547
2020-06-11,35.12126922607422
2020-06-12,37.092960357666016
2020-06-15,37.59713363647461
2020-06-16,39.478790283203125
2020-06-17,41.657554626464844
2020-06-18,43.28712463378906
2020-06-19,42.51285171508789
2020-06-22,41.819610595703125
2020-06-23,44.50254821777344
2020-06-24,40.34309387207031
2020-06-25,41.54951477050781
2020-06-26,39.50580596923828
2020-06-29,39.18169021606445
2020-06-30,37.82221221923828
2020-07-01,39.03763961791992
2020-07-02,40.32509231567383
2020-07-06,42.845970153808594
2020-07-07,42.08970260620117
2020-07-08,42.94500732421875
2020-07-09,42.45883560180664
2020-07-10,42.32378387451172
2020-07-13,41.171382904052734
2020-07-14,40.17203140258789
2020-07-15,40.451133728027344
2020-07-16,38.353397369384766
2020-07-17,38.34439468383789
2020-07-20,40.145023345947266
2020-07-21,40.46013259887695
2020-07-22,41.090354919433594
2020-07-23,39.901939392089844
2020-07-24,40.18103790283203
2020-07-27,42.521854400634766
2020-07-28,42.56686782836914
2020-07-29,43.629241943359375
2020-07-30,42.70191955566406
2020-07-31,41.864627838134766
2020-08-03,42.40481185913086
2020-08-04,43.08005142211914
2020-08-05,43.16107940673828
2020-08-06,45.01572799682617
2020-08-07,43.3321418762207
2020-08-10,43.19709396362305
2020-08-11,42.6298942565918
2020-08-12,41.89163589477539
2020-08-13,40.658203125
2020-08-14,39.7488899230957
2020-08-17,39.6318473815918
2020-08-18,40.127017974853516
2020-08-19,40.21704864501953
