Date,BRZE
2021-11-17,93.38999938964844
2021-11-18,84.5
2021-11-19,94.16000366210938
2021-11-22,85.01000213623047
2021-11-23,76.12999725341797
2021-11-24,74.05000305175781
2021-11-26,73.51000213623047
2021-11-29,76.01000213623047
2021-11-30,76.19999694824219
2021-12-01,67.19999694824219
2021-12-02,66.98999786376953
2021-12-03,58.189998626708984
2021-12-06,59.72999954223633
2021-12-07,66.6500015258789
2021-12-08,69.98999786376953
2021-12-09,66.94999694824219
2021-12-10,68.77999877929688
2021-12-13,65.2300033569336
2021-12-14,63.22999954223633
2021-12-15,63.40999984741211
2021-12-16,60.970001220703125
2021-12-17,62.220001220703125
2021-12-20,64.41000366210938
2021-12-21,75.94999694824219
2021-12-22,75.31999969482422
2021-12-23,77.20999908447266
2021-12-27,76.1500015258789
2021-12-28,72.72000122070312
2021-12-29,77.70999908447266
2021-12-30,79.0
2021-12-31,77.16000366210938
2022-01-03,72.81999969482422
2022-01-04,64.9000015258789
2022-01-05,59.95000076293945
2022-01-06,62.029998779296875
2022-01-07,64.01000213623047
2022-01-10,66.0
2022-01-11,67.91999816894531
2022-01-12,64.2300033569336
2022-01-13,60.689998626708984
2022-01-14,62.61000061035156
2022-01-18,60.2599983215332
2022-01-19,56.97999954223633
2022-01-20,55.290000915527344
2022-01-21,53.02000045776367
2022-01-24,51.70000076293945
2022-01-25,50.41999816894531
2022-01-26,50.90999984741211
2022-01-27,48.529998779296875
2022-01-28,48.9900016784668
2022-01-31,50.02000045776367
2022-02-01,54.0
2022-02-02,55.869998931884766
2022-02-03,52.650001525878906
2022-02-04,56.15999984741211
2022-02-07,62.619998931884766
2022-02-08,61.16999816894531
2022-02-09,63.65999984741211
2022-02-10,64.55000305175781
2022-02-11,63.13999938964844
2022-02-14,63.22999954223633
2022-02-15,62.90999984741211
2022-02-16,61.869998931884766
2022-02-17,51.540000915527344
2022-02-18,43.68000030517578
2022-02-22,41.65999984741211
2022-02-23,40.02000045776367
2022-02-24,43.0099983215332
2022-02-25,43.900001525878906
2022-02-28,42.189998626708984
2022-03-01,42.09000015258789
2022-03-02,41.970001220703125
2022-03-03,39.20000076293945
2022-03-04,37.470001220703125
2022-03-07,36.79999923706055
2022-03-08,37.90999984741211
2022-03-09,38.9900016784668
2022-03-10,37.25
2022-03-11,35.029998779296875
2022-03-14,32.18000030517578
2022-03-15,32.72999954223633
2022-03-16,36.540000915527344
2022-03-17,38.619998931884766
2022-03-18,38.2599983215332
2022-03-21,39.400001525878906
2022-03-22,43.220001220703125
2022-03-23,42.9900016784668
2022-03-24,42.400001525878906
2022-03-25,39.619998931884766
2022-03-28,41.9900016784668
2022-03-29,47.0
2022-03-30,43.58000183105469
2022-03-31,41.470001220703125
2022-04-01,40.47999954223633
2022-04-04,40.45000076293945
2022-04-05,37.90999984741211
2022-04-06,38.119998931884766
2022-04-07,37.9900016784668
2022-04-08,36.54999923706055
2022-04-11,38.08000183105469
2022-04-12,39.099998474121094
2022-04-13,43.52000045776367
2022-04-14,44.0
2022-04-18,43.83000183105469
2022-04-19,46.9900016784668
2022-04-20,45.31999969482422
2022-04-21,42.77000045776367
2022-04-22,41.84000015258789
2022-04-25,44.15999984741211
2022-04-26,41.9900016784668
2022-04-27,40.869998931884766
2022-04-28,42.310001373291016
2022-04-29,40.189998626708984
2022-05-02,40.81999969482422
2022-05-03,38.380001068115234
2022-05-04,39.779998779296875
2022-05-05,37.310001373291016
2022-05-06,35.97999954223633
2022-05-09,32.91999816894531
2022-05-10,32.150001525878906
2022-05-11,28.610000610351562
2022-05-12,29.510000228881836
2022-05-13,34.90999984741211
2022-05-16,32.72999954223633
2022-05-17,31.739999771118164
2022-05-18,30.3799991607666
2022-05-19,32.08000183105469
2022-05-20,32.29999923706055
2022-05-23,32.630001068115234
2022-05-24,29.6200008392334
2022-05-25,32.77000045776367
2022-05-26,32.2400016784668
2022-05-27,34.9900016784668
2022-05-31,33.439998626708984
2022-06-01,34.119998931884766
2022-06-02,37.27000045776367
2022-06-03,35.56999969482422
2022-06-06,32.849998474121094
2022-06-07,37.47999954223633
2022-06-08,36.369998931884766
2022-06-09,34.540000915527344
2022-06-10,32.72999954223633
2022-06-13,29.399999618530273
2022-06-14,32.04999923706055
2022-06-15,33.650001525878906
2022-06-16,33.11000061035156
2022-06-17,33.18000030517578
2022-06-21,34.290000915527344
2022-06-22,32.25
2022-06-23,37.16999816894531
2022-06-24,39.88999938964844
2022-06-27,40.529998779296875
2022-06-28,36.70000076293945
2022-06-29,35.47999954223633
2022-06-30,36.22999954223633
2022-07-01,39.099998474121094
2022-07-05,43.349998474121094
2022-07-06,44.0
2022-07-07,45.0099983215332
2022-07-08,45.540000915527344
2022-07-11,42.16999816894531
2022-07-12,42.83000183105469
2022-07-13,42.47999954223633
2022-07-14,42.18000030517578
2022-07-15,43.79999923706055
2022-07-18,43.77000045776367
2022-07-19,42.66999816894531
2022-07-20,45.0
2022-07-21,43.61000061035156
2022-07-22,39.970001220703125
2022-07-25,40.41999816894531
2022-07-26,38.65999984741211
2022-07-27,41.91999816894531
2022-07-28,42.95000076293945
2022-07-29,43.470001220703125
2022-08-01,44.279998779296875
2022-08-02,44.599998474121094
2022-08-03,47.060001373291016
2022-08-04,47.65999984741211
2022-08-05,47.119998931884766
2022-08-08,49.220001220703125
2022-08-09,48.880001068115234
2022-08-10,50.25
2022-08-11,48.2599983215332
2022-08-12,49.900001525878906
2022-08-15,50.93000030517578
2022-08-16,50.45000076293945
2022-08-17,48.65999984741211
2022-08-18,48.88999938964844
