Date,PFG
2010-01-04,14.851523399353027
2010-01-05,15.202012062072754
2010-01-06,15.101028442382812
2010-01-07,15.231719970703125
2010-01-08,15.249545097351074
2010-01-11,15.320830345153809
2010-01-12,15.059444427490234
2010-01-13,15.166374206542969
2010-01-14,15.23765754699707
2010-01-15,15.005980491638184
2010-01-19,15.314888954162598
2010-01-20,14.952508926391602
2010-01-21,14.1445894241333
2010-01-22,13.865382194519043
2010-01-25,14.114888191223145
2010-01-26,13.877264976501465
2010-01-27,14.263405799865723
2010-01-28,13.764387130737305
2010-01-29,13.693102836608887
2010-02-01,13.859443664550781
2010-02-02,14.257461547851562
2010-02-03,13.930729866027832
2010-02-04,13.407955169677734
2010-02-05,13.342606544494629
2010-02-08,13.182211875915527
2010-02-09,12.742606163024902
2010-02-10,13.009937286376953
2010-02-11,13.194092750549316
2010-02-12,13.09310245513916
2010-02-16,13.550528526306152
2010-02-17,13.568358421325684
2010-02-18,13.645581245422363
2010-02-19,13.562413215637207
2010-02-22,13.663403511047363
2010-02-23,13.194092750549316
2010-02-24,13.782215118408203
2010-02-25,13.734689712524414
2010-02-26,13.788152694702148
2010-03-01,13.758451461791992
2010-03-02,14.126771926879883
2010-03-03,14.233697891235352
2010-03-04,14.352509498596191
2010-03-05,14.73270320892334
2010-03-08,14.79805850982666
2010-03-09,14.875287055969238
2010-03-10,15.106969833374023
2010-03-11,15.112907409667969
2010-03-12,15.213900566101074
2010-03-15,15.427764892578125
2010-03-16,15.938652038574219
2010-03-17,16.491130828857422
2010-03-18,16.491130828857422
2010-03-19,16.277263641357422
2010-03-22,16.306976318359375
2010-03-23,16.657466888427734
2010-03-24,17.025787353515625
2010-03-25,17.33469581604004
2010-03-26,17.328760147094727
2010-03-29,17.417865753173828
2010-03-30,17.12082862854004
2010-03-31,17.352519989013672
2010-04-01,17.489154815673828
2010-04-05,17.87529945373535
2010-04-06,18.011934280395508
2010-04-07,17.60202407836914
2010-04-08,17.47727394104004
2010-04-09,17.40598487854004
2010-04-12,17.269351959228516
2010-04-13,17.287174224853516
2010-04-14,17.738662719726562
2010-04-15,17.76242446899414
2010-04-16,17.251523971557617
2010-04-19,17.62578582763672
2010-04-20,17.952524185180664
2010-04-21,17.869352340698242
2010-04-22,17.60202407836914
2010-04-23,18.439651489257812
2010-04-26,18.279254913330078
2010-04-27,17.12082862854004
2010-04-28,17.376283645629883
2010-04-29,18.017868041992188
2010-04-30,17.358461380004883
2010-05-03,17.976285934448242
2010-05-04,17.55449867248535
2010-05-05,17.465389251708984
2010-05-06,16.835689544677734
2010-05-07,16.437665939331055
2010-05-10,17.958463668823242
2010-05-11,17.73272132873535
2010-05-12,18.225786209106445
2010-05-13,17.88716697692871
2010-05-14,17.168357849121094
2010-05-17,17.411924362182617
2010-05-18,16.924793243408203
2010-05-19,16.728757858276367
2010-05-20,15.522811889648438
2010-05-21,15.564393043518066
2010-05-24,15.392122268676758
2010-05-25,15.504990577697754
2010-05-26,15.487167358398438
2010-05-27,16.70499610900879
2010-05-28,16.152517318725586
2010-06-01,15.623802185058594
2010-06-02,16.366376876831055
2010-06-03,16.283206939697266
2010-06-04,15.368350982666016
2010-06-07,14.869345664978027
2010-06-08,15.267362594604492
2010-06-09,15.023801803588867
2010-06-10,15.659442901611328
2010-06-11,15.297069549560547
2010-06-14,15.374293327331543
2010-06-15,16.06340789794922
2010-06-16,15.695089340209961
2010-06-17,15.683218955993652
2010-06-18,15.653501510620117
2010-06-21,15.487167358398438
2010-06-22,15.25548267364502
2010-06-23,15.15449047088623
2010-06-24,14.774293899536133
2010-06-25,15.089147567749023
2010-06-28,15.089147567749023
2010-06-29,14.215880393981934
2010-06-30,13.924784660339355
2010-07-01,13.746566772460938
2010-07-02,13.669344902038574
2010-07-06,13.639632225036621
2010-07-07,14.299050331115723
2010-07-08,14.560434341430664
2010-07-09,14.774293899536133
2010-07-12,14.61983871459961
2010-07-13,15.136669158935547
2010-07-14,15.089147567749023
2010-07-15,15.029738426208496
2010-07-16,14.138648986816406
2010-07-19,14.328747749328613
2010-07-20,14.548548698425293
2010-07-21,14.400039672851562
2010-07-22,15.059444427490234
2010-07-23,15.202012062072754
2010-07-26,15.225775718688965
2010-07-27,15.166374206542969
2010-07-28,14.80400276184082
2010-07-29,15.38617992401123
2010-07-30,15.213900566101074
2010-08-02,15.4931058883667
2010-08-03,14.73270320892334
2010-08-04,14.697065353393555
2010-08-05,14.584196090698242
2010-08-06,14.257461547851562
2010-08-09,14.560434341430664
2010-08-10,14.394095420837402
2010-08-11,13.65152359008789
2010-08-12,13.520830154418945
2010-08-13,13.598053932189941
2010-08-16,13.520830154418945
2010-08-17,13.669344902038574
2010-08-18,13.681219100952148
2010-08-19,13.508941650390625
2010-08-20,13.30102252960205
2010-08-23,13.063396453857422
2010-08-24,12.807955741882324
2010-08-25,13.087162017822266
2010-08-26,13.081221580505371
2010-08-27,13.788152694702148
2010-08-30,13.37231731414795
2010-08-31,13.693102836608887
2010-09-01,14.530725479125977
2010-09-02,14.726767539978027
2010-09-03,15.184195518493652
2010-09-07,14.720823287963867
2010-09-08,14.893106460571289
2010-09-09,15.142616271972656
2010-09-10,15.118851661682129
2010-09-13,15.510927200317383
2010-09-14,15.451523780822754
2010-09-15,15.40993595123291
2010-09-16,15.178258895874023
2010-09-17,15.059444427490234
2010-09-20,15.522811889648438
2010-09-21,15.564393043518066
2010-09-22,15.297069549560547
2010-09-23,14.73270320892334
2010-09-24,15.38617992401123
2010-09-27,15.398059844970703
2010-09-28,15.600038528442383
