Date,FSBW
2012-07-10,3.9662370681762695
2012-07-11,3.9622745513916016
2012-07-12,3.9939723014831543
2012-07-13,4.025669574737549
2012-07-16,3.9900100231170654
2012-07-17,3.978123426437378
2012-07-18,3.9702000617980957
2012-07-19,3.997934341430664
2012-07-20,3.9622745513916016
2012-07-23,4.025669574737549
2012-07-24,4.021708965301514
2012-07-25,4.001897811889648
2012-07-26,4.017746925354004
2012-07-27,4.009821891784668
2012-07-30,3.997934341430664
2012-07-31,3.9860482215881348
2012-08-01,4.041520595550537
2012-08-02,4.053408145904541
2012-08-03,4.06925630569458
2012-08-06,4.061330318450928
2012-08-07,4.045482158660889
2012-08-08,4.07321834564209
2012-08-09,4.045482158660889
2012-08-10,4.081142902374268
2012-08-13,4.096991539001465
2012-08-14,4.096991539001465
2012-08-15,4.096991539001465
2012-08-16,4.096991539001465
2012-08-17,4.096991539001465
2012-08-20,4.096991539001465
2012-08-21,4.152464389801025
2012-08-22,4.223783493041992
2012-08-23,4.152464389801025
2012-08-24,4.2079362869262695
2012-08-27,4.172274589538574
2012-08-28,4.200010776519775
2012-08-29,4.180198669433594
2012-08-30,4.239633083343506
2012-08-31,4.22774600982666
2012-09-04,4.22774600982666
2012-09-05,4.251521110534668
2012-09-06,4.243594646453857
2012-09-07,4.239633083343506
2012-09-10,4.239633083343506
2012-09-11,4.239633083343506
2012-09-12,4.239633083343506
2012-09-13,4.235670566558838
2012-09-14,4.243594646453857
2012-09-17,4.22774600982666
2012-09-18,4.271332740783691
2012-09-19,4.251521110534668
2012-09-20,4.291142463684082
2012-09-21,4.251521110534668
2012-09-24,4.318878650665283
2012-09-25,4.303030967712402
2012-09-26,4.263408184051514
2012-09-27,4.263408184051514
2012-09-28,4.263408184051514
2012-10-01,4.22774600982666
2012-10-02,4.239633083343506
2012-10-03,4.263408184051514
2012-10-04,4.255481243133545
2012-10-05,4.263408184051514
2012-10-08,4.275294780731201
2012-10-09,4.259443759918213
2012-10-10,4.259443759918213
2012-10-11,4.259443759918213
2012-10-12,4.267369747161865
2012-10-15,4.299068450927734
2012-10-16,4.299068450927734
2012-10-17,4.3347272872924805
2012-10-18,4.3347272872924805
2012-10-19,4.3347272872924805
2012-10-22,4.318878650665283
2012-10-23,4.279256343841553
2012-10-24,4.3307647705078125
2012-10-25,4.413971900939941
2012-10-26,4.3585004806518555
2012-10-31,4.6160502433776855
2012-11-01,4.754729270935059
2012-11-02,4.754729270935059
2012-11-05,4.750766754150391
2012-11-06,4.726996421813965
2012-11-07,4.726996421813965
2012-11-08,4.726996421813965
2012-11-09,4.726996421813965
2012-11-12,4.750766754150391
2012-11-13,4.754729270935059
2012-11-14,4.754729270935059
2012-11-15,4.71510648727417
2012-11-16,4.754729270935059
2012-11-19,4.8379364013671875
2012-11-20,4.944917678833008
2012-11-21,4.98453950881958
2012-11-23,5.131146430969238
2012-11-26,5.139069557189941
2012-11-27,5.139069557189941
2012-11-28,5.123223781585693
2012-11-29,5.150956153869629
2012-11-30,5.186617374420166
2012-12-03,5.1747307777404785
2012-12-04,5.158881187438965
2012-12-05,5.178691864013672
2012-12-06,5.269824981689453
2012-12-07,5.166805267333984
2012-12-10,5.166805267333984
2012-12-11,5.131146430969238
2012-12-12,5.123223781585693
2012-12-13,5.1469950675964355
2012-12-14,5.150956153869629
2012-12-17,5.150956153869629
2012-12-18,5.143033504486084
2012-12-19,5.1469950675964355
2012-12-20,5.1469950675964355
2012-12-21,5.143033504486084
2012-12-24,5.127183437347412
2012-12-26,5.127183437347412
2012-12-27,5.127183437347412
2012-12-28,5.139069557189941
2012-12-31,5.139069557189941
2013-01-02,5.150956153869629
2013-01-03,5.150956153869629
2013-01-04,5.111334323883057
2013-01-07,5.1747307777404785
2013-01-08,5.226239204406738
2013-01-09,5.226239204406738
2013-01-10,5.26190185546875
2013-01-11,5.178691864013672
2013-01-14,5.226239204406738
2013-01-15,5.305484294891357
2013-01-16,5.404542922973633
2013-01-17,5.444165229797363
2013-01-18,5.54718542098999
2013-01-22,5.626429557800293
2013-01-23,5.590769290924072
2013-01-24,5.729450702667236
2013-01-25,5.666053771972656
2013-01-28,5.54718542098999
2013-01-29,5.566994667053223
2013-01-30,5.566994667053223
2013-01-31,5.646240711212158
2013-02-01,5.915675163269043
2013-02-04,5.784919738769531
2013-02-05,5.788881778717041
2013-02-06,5.951335906982422
2013-02-07,6.0385050773620605
2013-02-08,5.943411350250244
2013-02-11,6.133599758148193
2013-02-12,6.030580997467041
2013-02-13,5.943411350250244
2013-02-14,5.943411350250244
2013-02-15,6.030580997467041
2013-02-19,5.990957736968994
2013-02-20,5.923598766326904
2013-02-21,5.828505516052246
2013-02-22,5.824542999267578
2013-02-25,5.745297908782959
2013-02-26,5.808694362640381
2013-02-27,5.8483171463012695
2013-02-28,5.812655925750732
2013-03-01,5.9275617599487305
2013-03-04,5.880014419555664
2013-03-05,5.903789043426514
2013-03-06,5.935486793518066
2013-03-07,5.951335906982422
2013-03-08,5.935486793518066
2013-03-11,6.078128337860107
2013-03-12,6.042468070983887
2013-03-13,6.026618480682373
2013-03-14,6.49813175201416
2013-03-15,6.3356757164001465
2013-03-18,6.30794095993042
2013-03-19,6.319826126098633
2013-03-20,6.525864601135254
2013-03-21,6.525864601135254
2013-03-22,6.272281646728516
2013-03-25,6.339639663696289
2013-03-26,6.319826126098633
2013-03-27,6.339639663696289
2013-03-28,6.280204772949219
2013-04-01,6.2841668128967285
2013-04-02,6.2841668128967285
2013-04-03,6.331713676452637
2013-04-04,6.387185573577881
