Date,HIW
2010-01-04,14.213542938232422
2010-01-05,13.831528663635254
2010-01-06,13.774446487426758
2010-01-07,14.029121398925781
2010-01-08,13.932522773742676
2010-01-11,14.011557579040527
2010-01-12,13.80957317352295
2010-01-13,13.950085639953613
2010-01-14,13.893003463745117
2010-01-15,13.822744369506836
2010-01-19,14.121330261230469
2010-01-20,14.116944313049316
2010-01-21,13.840312957763672
2010-01-22,13.594420433044434
2010-01-25,13.607587814331055
2010-01-26,13.27387523651123
2010-01-27,13.418777465820312
2010-01-28,13.27387523651123
2010-01-29,13.265089988708496
2010-02-01,13.45830249786377
2010-02-02,13.489036560058594
2010-02-03,13.251922607421875
2010-02-04,12.755743980407715
2010-02-05,12.970900535583496
2010-02-08,12.531805992126465
2010-02-09,12.347384452819824
2010-02-10,12.273818016052246
2010-02-11,12.416489601135254
2010-02-12,12.590365409851074
2010-02-16,12.848947525024414
2010-02-17,12.95149040222168
2010-02-18,13.312615394592285
2010-02-19,13.268036842346191
2010-02-22,13.370577812194824
2010-02-23,13.089701652526855
2010-02-24,13.049577713012695
2010-02-25,12.987154006958008
2010-02-26,12.95149040222168
2010-03-01,13.147653579711914
2010-03-02,13.11198616027832
2010-03-03,13.058489799499512
2010-03-04,13.143199920654297
2010-03-05,13.375029563903809
2010-03-08,13.580114364624023
2010-03-09,13.55782699584961
2010-03-10,13.73615550994873
2010-03-11,13.95461654663086
2010-03-12,13.950156211853027
2010-03-15,13.87436580657959
2010-03-16,14.11957836151123
2010-03-17,14.199828147888184
2010-03-18,14.155238151550293
2010-03-19,14.052696228027344
2010-03-22,14.244405746459961
2010-03-23,14.217653274536133
2010-03-24,14.302363395690918
2010-03-25,14.34694766998291
2010-03-26,14.338035583496094
2010-03-29,14.498529434204102
2010-03-30,14.329117774963379
2010-03-31,14.146323204040527
2010-04-01,14.097280502319336
2010-04-05,14.29345417022705
2010-04-06,14.471785545349121
2010-04-07,14.074991226196289
2010-04-08,13.963528633117676
2010-04-09,14.195366859436035
2010-04-12,14.373702049255371
2010-04-13,14.68577766418457
2010-04-14,14.68577766418457
2010-04-15,14.271157264709473
2010-04-16,13.847615242004395
2010-04-19,13.945698738098145
2010-04-20,14.12403392791748
2010-04-21,14.485157012939453
2010-04-22,14.80615520477295
2010-04-23,14.823991775512695
2010-04-26,14.841826438903809
2010-04-27,14.467324256896973
2010-04-28,14.507445335388184
2010-04-29,14.904240608215332
2010-04-30,14.25332260131836
2010-05-03,14.65457820892334
2010-05-04,14.355864524841309
2010-05-05,14.235488891601562
2010-05-06,13.803031921386719
2010-05-07,13.357195854187012
2010-05-10,14.351405143737793
2010-05-11,14.502995491027832
2010-05-12,14.868573188781738
2010-05-13,14.329117774963379
2010-05-14,13.923409461975098
2010-05-17,14.043782234191895
2010-05-18,13.774883270263672
2010-05-19,13.7025785446167
2010-05-20,12.984012603759766
2010-05-21,13.359106063842773
2010-05-24,13.056307792663574
2010-05-25,13.119580268859863
2010-05-26,12.993038177490234
2010-05-27,13.517278671264648
2010-05-28,13.313911437988281
2010-06-01,13.038235664367676
2010-06-02,13.110542297363281
2010-06-03,13.137656211853027
2010-06-04,12.654088973999023
2010-06-07,12.76707935333252
2010-06-08,13.169294357299805
2010-06-09,13.431417465209961
2010-06-10,13.752287864685059
2010-06-11,13.892386436462402
2010-06-14,13.851709365844727
2010-06-15,14.33979606628418
2010-06-16,14.276527404785156
2010-06-17,14.353358268737793
2010-06-18,14.12739086151123
2010-06-21,13.887868881225586
2010-06-22,13.359106063842773
2010-06-23,13.359106063842773
2010-06-24,13.015640258789062
2010-06-25,13.187366485595703
2010-06-28,13.060832023620605
2010-06-29,12.721883773803711
2010-06-30,12.54563045501709
2010-07-01,12.42812442779541
2010-07-02,12.315144538879395
2010-07-06,11.99426555633545
2010-07-07,12.640534400939941
2010-07-08,12.794189453125
2010-07-09,12.902657508850098
2010-07-12,12.843902587890625
2010-07-13,13.232563972473145
2010-07-14,13.065350532531738
2010-07-15,12.929773330688477
2010-07-16,12.780634880065918
2010-07-19,12.94784927368164
2010-07-20,13.13314151763916
2010-07-21,12.89361572265625
2010-07-22,13.404296875
2010-07-23,13.44045639038086
2010-07-26,13.792963027954102
2010-07-27,13.8065185546875
2010-07-28,13.779402732849121
2010-07-29,14.272007942199707
2010-07-30,14.14998722076416
2010-08-02,14.660665512084961
2010-08-03,14.502492904663086
2010-08-04,14.656148910522461
2010-08-05,14.403072357177734
2010-08-06,14.326242446899414
2010-08-09,14.62451171875
2010-08-10,14.421148300170898
2010-08-11,14.014406204223633
2010-08-12,13.879234313964844
2010-08-13,13.82425308227539
2010-08-16,13.80134105682373
2010-08-17,14.057940483093262
2010-08-18,14.296208381652832
2010-08-19,13.99378776550293
2010-08-20,13.851743698120117
2010-08-23,13.81966781616211
2010-08-24,13.810504913330078
2010-08-25,14.085432052612305
2010-08-26,14.03502368927002
2010-08-27,14.364941596984863
2010-08-30,14.296208381652832
2010-08-31,14.332863807678223
2010-09-01,14.763580322265625
2010-09-02,14.910202980041504
2010-09-03,14.98352336883545
2010-09-07,14.653611183166504
2010-09-08,14.607792854309082
2010-09-09,14.25954818725586
2010-09-10,14.694854736328125
2010-09-13,14.850635528564453
2010-09-14,14.795654296875
2010-09-15,14.896462440490723
2010-09-16,14.832308769226074
2010-09-17,14.786497116088867
2010-09-20,15.15306568145752
2010-09-21,14.910202980041504
2010-09-22,14.607792854309082
2010-09-23,14.250386238098145
2010-09-24,14.786497116088867
2010-09-27,14.57112979888916
2010-09-28,14.791075706481934
