Date,CNA
2010-01-04,9.763912200927734
2010-01-05,9.740039825439453
2010-01-06,9.668420791625977
2010-01-07,9.568949699401855
2010-01-08,9.473462104797363
2010-01-11,9.521204948425293
2010-01-12,9.385932922363281
2010-01-13,9.708210945129395
2010-01-14,9.688315391540527
2010-01-15,9.389904975891113
2010-01-19,9.640567779541016
2010-01-20,9.564971923828125
2010-01-21,9.46550464630127
2010-01-22,9.1949462890625
2010-01-25,9.210865020751953
2010-01-26,9.15118408203125
2010-01-27,9.330225944519043
2010-01-28,9.389904975891113
2010-01-29,9.346137046813965
2010-02-01,9.338184356689453
2010-02-02,9.48142147064209
2010-02-03,9.437655448913574
2010-02-04,9.302373886108398
2010-02-05,9.38194751739502
2010-02-08,8.97213363647461
2010-02-09,8.872665405273438
2010-02-10,8.812981605529785
2010-02-11,8.892562866210938
2010-02-12,9.19892406463623
2010-02-16,9.413778305053711
2010-02-17,9.497332572937012
2010-02-18,9.791763305664062
2010-02-19,9.791763305664062
2010-02-22,9.919087409973145
2010-02-23,9.712187767028809
2010-02-24,9.8275728225708
2010-02-25,9.911126136779785
2010-02-26,9.783804893493652
2010-03-01,9.95091438293457
2010-03-02,10.078232765197754
2010-03-03,10.193621635437012
2010-03-04,10.289109230041504
2010-03-05,10.344812393188477
2010-03-08,10.543747901916504
2010-03-09,10.456220626831055
2010-03-10,10.424386978149414
2010-03-11,10.55966567993164
2010-03-12,10.515900611877441
2010-03-15,10.615368843078613
2010-03-16,10.579559326171875
2010-03-17,10.714836120605469
2010-03-18,10.742691040039062
2010-03-19,10.511920928955078
2010-03-22,10.575581550598145
2010-03-23,10.671072959899902
2010-03-24,10.663114547729492
2010-03-25,10.706879615783691
2010-03-26,10.718816757202148
2010-03-29,10.671072959899902
2010-03-30,10.7387113571167
2010-03-31,10.631284713745117
2010-04-01,10.850116729736328
2010-04-05,11.009265899658203
2010-04-06,10.985396385192871
2010-04-07,10.965500831604004
2010-04-08,11.084863662719727
2010-04-09,11.017224311828613
2010-04-12,11.112715721130371
2010-04-13,11.236055374145508
2010-04-14,11.220145225524902
2010-04-15,11.232084274291992
2010-04-16,11.176375389099121
2010-04-19,11.295740127563477
2010-04-20,11.263908386230469
2010-04-21,11.184334754943848
2010-04-22,11.2877836227417
2010-04-23,11.407142639160156
2010-04-26,11.391229629516602
2010-04-27,10.90582275390625
2010-04-28,10.929693222045898
2010-04-29,11.311654090881348
2010-04-30,11.188314437866211
2010-05-03,11.534466743469238
2010-05-04,10.941630363464355
2010-05-05,10.802373886108398
2010-05-06,10.404495239257812
2010-05-07,10.21749496459961
2010-05-10,10.798389434814453
2010-05-11,10.683009147644043
2010-05-12,10.90582275390625
2010-05-13,10.850116729736328
2010-05-14,10.492025375366211
2010-05-17,10.456220626831055
2010-05-18,10.428366661071777
2010-05-19,10.428366661071777
2010-05-20,9.907146453857422
2010-05-21,10.01457405090332
2010-05-24,9.684335708618164
2010-05-25,9.640567779541016
2010-05-26,9.60874080657959
2010-05-27,10.305024147033691
2010-05-28,10.3766450881958
2010-06-01,10.328895568847656
2010-06-02,10.591498374938965
2010-06-03,10.555686950683594
2010-06-04,9.970809936523438
2010-06-07,9.911126136779785
2010-06-08,10.145877838134766
2010-06-09,9.990703582763672
2010-06-10,10.305024147033691
2010-06-11,10.420409202575684
2010-06-14,10.440300941467285
2010-06-15,10.694944381713867
2010-06-16,10.698921203613281
2010-06-17,10.746668815612793
2010-06-18,10.762582778930664
2010-06-21,10.690967559814453
2010-06-22,10.782479286193848
2010-06-23,10.706879615783691
2010-06-24,10.663114547729492
2010-06-25,10.694944381713867
2010-06-28,10.7387113571167
2010-06-29,10.316963195800781
2010-06-30,10.169747352600098
2010-07-01,10.062321662902832
2010-07-02,9.919087409973145
2010-07-06,9.974784851074219
2010-07-07,10.372662544250488
2010-07-08,10.551708221435547
2010-07-09,10.806353569030762
2010-07-12,10.722799301147461
2010-07-13,10.973459243774414
2010-07-14,10.83022403717041
2010-07-15,10.945609092712402
2010-07-16,10.627303123474121
2010-07-19,10.607412338256836
2010-07-20,10.710858345031738
2010-07-21,10.543747901916504
2010-07-22,10.985396385192871
2010-07-23,11.208208084106445
2010-07-26,11.236055374145508
2010-07-27,11.232084274291992
2010-07-28,11.0331392288208
2010-07-29,11.200249671936035
2010-07-30,11.16443920135498
2010-08-02,11.315634727478027
2010-08-03,11.311654090881348
2010-08-04,11.446931838989258
2010-08-05,11.31961727142334
2010-08-06,11.263908386230469
2010-08-09,11.415099143981934
2010-08-10,11.315634727478027
2010-08-11,10.881951332092285
2010-08-12,11.009265899658203
2010-08-13,10.98141098022461
2010-08-16,10.90582275390625
2010-08-17,10.96152400970459
2010-08-18,10.993349075317383
2010-08-19,10.842159271240234
2010-08-20,10.802373886108398
2010-08-23,10.778498649597168
2010-08-24,10.412453651428223
2010-08-25,10.328895568847656
2010-08-26,10.1896390914917
2010-08-27,10.55966567993164
2010-08-30,10.32093620300293
2010-08-31,10.352770805358887
2010-09-01,10.742691040039062
2010-09-02,10.702903747558594
2010-09-03,10.854098320007324
2010-09-07,10.647197723388672
2010-09-08,10.885924339294434
2010-09-09,10.937651634216309
2010-09-10,10.917757987976074
2010-09-13,11.072927474975586
2010-09-14,11.0968017578125
2010-09-15,11.053034782409668
2010-09-16,11.025181770324707
2010-09-17,11.001307487487793
2010-09-20,11.232084274291992
2010-09-21,11.208208084106445
2010-09-22,10.969478607177734
2010-09-23,10.81828784942627
2010-09-24,11.0331392288208
2010-09-27,10.921731948852539
2010-09-28,11.029162406921387
