Date,ONTO
2019-10-28,35.33000183105469
2019-10-29,35.33000183105469
2019-10-30,32.52000045776367
2019-10-31,32.20000076293945
2019-11-01,32.93000030517578
2019-11-04,32.95000076293945
2019-11-05,33.86000061035156
2019-11-06,33.709999084472656
2019-11-07,35.06999969482422
2019-11-08,34.81999969482422
2019-11-11,34.38999938964844
2019-11-12,34.70000076293945
2019-11-13,34.27000045776367
2019-11-14,34.33000183105469
2019-11-15,35.34000015258789
2019-11-18,35.54999923706055
2019-11-19,35.099998474121094
2019-11-20,34.68000030517578
2019-11-21,33.79999923706055
2019-11-22,32.70000076293945
2019-11-25,33.689998626708984
2019-11-26,33.70000076293945
2019-11-27,33.58000183105469
2019-11-29,33.560001373291016
2019-12-02,32.130001068115234
2019-12-03,31.989999771118164
2019-12-04,32.06999969482422
2019-12-05,31.969999313354492
2019-12-06,33.04999923706055
2019-12-09,32.439998626708984
2019-12-10,32.90999984741211
2019-12-11,33.529998779296875
2019-12-12,34.25
2019-12-13,34.66999816894531
2019-12-16,34.54999923706055
2019-12-17,34.970001220703125
2019-12-18,35.130001068115234
2019-12-19,35.439998626708984
2019-12-20,36.25
2019-12-23,36.779998779296875
2019-12-24,36.41999816894531
2019-12-26,36.290000915527344
2019-12-27,36.310001373291016
2019-12-30,36.41999816894531
2019-12-31,36.540000915527344
2020-01-02,37.029998779296875
2020-01-03,36.5099983215332
2020-01-06,35.939998626708984
2020-01-07,36.150001525878906
2020-01-08,36.7599983215332
2020-01-09,36.63999938964844
2020-01-10,36.47999954223633
2020-01-13,36.540000915527344
2020-01-14,38.08000183105469
2020-01-15,37.93000030517578
2020-01-16,40.130001068115234
2020-01-17,40.150001525878906
2020-01-21,39.5
2020-01-22,38.959999084472656
2020-01-23,39.2599983215332
2020-01-24,38.54999923706055
2020-01-27,38.02000045776367
2020-01-28,38.630001068115234
2020-01-29,37.939998626708984
2020-01-30,38.25
2020-01-31,37.939998626708984
2020-02-03,38.2400016784668
2020-02-04,39.97999954223633
2020-02-05,41.08000183105469
2020-02-06,41.470001220703125
2020-02-07,38.45000076293945
2020-02-10,37.79999923706055
2020-02-11,38.709999084472656
2020-02-12,39.04999923706055
2020-02-13,39.27000045776367
2020-02-14,39.630001068115234
2020-02-18,38.70000076293945
2020-02-19,38.5099983215332
2020-02-20,38.18000030517578
2020-02-21,37.18000030517578
2020-02-24,34.880001068115234
2020-02-25,33.2599983215332
2020-02-26,33.15999984741211
2020-02-27,31.309999465942383
2020-02-28,30.56999969482422
2020-03-02,31.729999542236328
2020-03-03,31.239999771118164
2020-03-04,32.939998626708984
2020-03-05,32.54999923706055
2020-03-06,31.540000915527344
2020-03-09,28.43000030517578
2020-03-10,29.34000015258789
2020-03-11,27.15999984741211
2020-03-12,24.770000457763672
2020-03-13,27.979999542236328
2020-03-16,25.43000030517578
2020-03-17,28.329999923706055
2020-03-18,20.81999969482422
2020-03-19,21.540000915527344
2020-03-20,21.530000686645508
2020-03-23,24.040000915527344
2020-03-24,27.940000534057617
2020-03-25,29.479999542236328
2020-03-26,30.5
2020-03-27,28.520000457763672
2020-03-30,29.829999923706055
2020-03-31,29.670000076293945
2020-04-01,28.65999984741211
2020-04-02,27.90999984741211
2020-04-03,27.899999618530273
2020-04-06,30.489999771118164
2020-04-07,31.1299991607666
2020-04-08,32.0
2020-04-09,32.11000061035156
2020-04-13,31.18000030517578
