Date,FR
2010-01-04,3.960411787033081
2010-01-05,4.040201187133789
2010-01-06,3.938652276992798
2010-01-07,4.025693893432617
2010-01-08,3.938652276992798
2010-01-11,4.047454357147217
2010-01-12,4.01118803024292
2010-01-13,4.090976238250732
2010-01-14,4.127244472503662
2010-01-15,4.156257629394531
2010-01-19,4.439144134521484
2010-01-20,4.257806301116943
2010-01-21,3.9749205112457275
2010-01-22,3.8733701705932617
2010-01-25,3.938652276992798
2010-01-26,3.866117238998413
2010-01-27,3.8733701705932617
2010-01-28,3.800835371017456
2010-01-29,3.713793992996216
2010-02-01,3.713793992996216
2010-02-02,3.779076099395752
2010-02-03,3.7210476398468018
2010-02-04,3.4889354705810547
2010-02-05,3.4816818237304688
2010-02-08,3.53971004486084
2010-02-09,3.5106942653656006
2010-02-10,3.4961893558502197
2010-02-11,3.4889354705810547
2010-02-12,3.4599220752716064
2010-02-16,3.6992862224578857
2010-02-17,3.713793992996216
2010-02-18,3.7645680904388428
2010-02-19,3.924145221710205
2010-02-22,3.844357490539551
2010-02-23,3.7863283157348633
2010-02-24,3.771820545196533
2010-02-25,3.967665910720825
2010-02-26,4.01118803024292
2010-03-01,4.069214820861816
2010-03-02,4.22153902053833
2010-03-03,4.250552654266357
2010-03-04,4.3521013259887695
2010-03-05,4.504425048828125
2010-03-08,4.678510665893555
2010-03-09,4.780059337615967
2010-03-10,5.113718509674072
2010-03-11,4.961396217346191
2010-03-12,5.0919599533081055
2010-03-15,5.0919599533081055
2010-03-16,5.316817283630371
2010-03-17,5.432873249053955
2010-03-18,5.27329683303833
2010-03-19,5.27329683303833
2010-03-22,5.396607398986816
2010-03-23,5.505409240722656
2010-03-24,5.773787975311279
2010-03-25,5.708507537841797
2010-03-26,5.940618515014648
2010-03-29,6.01315450668335
2010-03-30,5.759281635284424
2010-03-31,5.628718376159668
2010-04-01,5.592451572418213
2010-04-05,6.056675434112549
2010-04-06,6.513647079467773
2010-04-07,6.317802906036377
2010-04-08,6.129207134246826
2010-04-09,6.281533241271973
2010-04-12,6.245265960693359
2010-04-13,6.36132287979126
2010-04-14,6.259772300720215
2010-04-15,6.056675434112549
2010-04-16,5.926113128662109
2010-04-19,6.042168617248535
2010-04-20,6.165476322174072
