Date,MRTN
2010-01-04,3.6910595893859863
2010-01-05,3.6392199993133545
2010-01-06,3.5251688957214355
2010-01-07,3.5542004108428955
2010-01-08,3.703502655029297
2010-01-11,3.720089912414551
2010-01-12,3.7325313091278076
2010-01-13,3.7657101154327393
2010-01-14,3.771932601928711
2010-01-15,3.7055766582489014
2010-01-19,3.7242372035980225
2010-01-20,3.676543712615967
2010-01-21,3.63714599609375
2010-01-22,3.5542004108428955
2010-01-25,3.5396840572357178
2010-01-26,3.502359390258789
2010-01-27,3.701427936553955
2010-01-28,3.66202712059021
2010-01-29,3.651660442352295
2010-02-01,3.6392199993133545
2010-02-02,3.6018943786621094
2010-02-03,3.5749361515045166
2010-02-04,3.5251688957214355
2010-02-05,3.545905351638794
2010-02-08,3.533464193344116
2010-02-09,3.581157684326172
2010-02-10,3.58737850189209
2010-02-11,3.5728626251220703
2010-02-12,3.5790834426879883
2010-02-16,3.591525077819824
2010-02-17,3.645439624786377
2010-02-18,3.608114242553711
2010-02-19,3.655806541442871
2010-02-22,3.7346060276031494
2010-02-23,3.71386981010437
2010-02-24,3.774003505706787
2010-02-25,3.819624662399292
2010-02-26,3.9067165851593018
2010-03-01,3.9523372650146484
2010-03-02,4.00210428237915
2010-03-03,4.010398864746094
2010-03-04,3.9855151176452637
2010-03-05,4.056017875671387
2010-03-08,4.07882833480835
2010-03-09,4.1887311935424805
2010-03-10,4.138963222503662
2010-03-11,4.143110275268555
2010-03-12,4.186656475067139
2010-03-15,4.186656475067139
2010-03-16,4.147258281707764
2010-03-17,4.082977294921875
2010-03-18,4.093343734741211
2010-03-19,4.112005710601807
2010-03-22,4.091269016265869
2010-03-23,4.112005710601807
2010-03-24,4.037354946136475
2010-03-25,4.008322715759277
2010-03-26,4.022838592529297
2010-03-29,4.00210428237915
2010-03-30,4.029062747955322
2010-03-31,4.087121963500977
2010-04-01,4.0477213859558105
2010-04-05,4.141036510467529
2010-04-06,4.072606563568115
2010-04-07,4.022838592529297
2010-04-08,4.112005710601807
2010-04-09,4.07053279876709
2010-04-12,4.080901145935059
2010-04-13,4.06223726272583
2010-04-14,4.244718074798584
2010-04-15,4.404387474060059
2010-04-16,4.3919453620910645
2010-04-19,4.364989757537842
2010-04-20,4.296558856964111
2010-04-21,4.557836055755615
2010-04-22,4.611751079559326
2010-04-23,4.605530261993408
2010-04-26,4.586867332458496
2010-04-27,4.445860862731934
2010-04-28,4.38779878616333
2010-04-29,4.611751079559326
2010-04-30,4.530879497528076
2010-05-03,4.642854690551758
2010-05-04,4.572351932525635
2010-05-05,4.56198263168335
2010-05-06,4.503922939300537
2010-05-07,4.379504203796387
2010-05-10,4.580648899078369
2010-05-11,4.6221184730529785
2010-05-12,4.833628177642822
2010-05-13,4.684325695037842
2010-05-14,4.651149749755859
2010-05-17,4.736167907714844
2010-05-18,4.732021331787109
2010-05-19,4.649075508117676
2010-05-20,4.319368839263916
2010-05-21,4.402314186096191
2010-05-24,4.3110737800598145
2010-05-25,4.313148021697998
2010-05-26,4.416831970214844
2010-05-27,4.6573710441589355
2010-05-28,4.617970943450928
2010-06-01,4.418903350830078
2010-06-02,4.505993843078613
2010-06-03,4.582719326019287
2010-06-04,4.362915992736816
2010-06-07,4.217761516571045
2010-06-08,4.207393169403076
2010-06-09,4.180437088012695
2010-06-10,4.257160663604736
2010-06-11,4.29863166809082
2010-06-14,4.416831970214844
2010-06-15,4.495626926422119
2010-06-16,4.510141372680664
2010-06-17,4.472817420959473
2010-06-18,4.551614761352539
2010-06-21,4.514289379119873
2010-06-22,4.34010648727417
2010-06-23,4.313148021697998
2010-06-24,4.29863166809082
2010-06-25,4.44171142578125
2010-06-28,4.3483991622924805
2010-06-29,4.32973575592041
2010-06-30,4.3090033531188965
2010-07-01,4.3483991622924805
2010-07-02,4.346325874328613
2010-07-06,4.197024345397949
2010-07-07,4.402314186096191
2010-07-08,4.402314186096191
2010-07-09,4.385725498199463
2010-07-12,4.3380327224731445
2010-07-13,4.501849174499512
2010-07-14,4.495626926422119
2010-07-15,4.423051357269287
2010-07-16,4.35461950302124
2010-07-19,4.3919453620910645
2010-07-20,4.487332820892334
2010-07-21,4.416831970214844
2010-07-22,4.537100315093994
2010-07-23,4.746535301208496
2010-07-26,4.777640342712402
2010-07-27,4.775566577911377
2010-07-28,4.713358402252197
2010-07-29,4.702991485595703
2010-07-30,4.71128511428833
2010-08-02,4.746535301208496
2010-08-03,4.686403274536133
2010-08-04,4.725798606872559
2010-08-05,4.6241936683654785
2010-08-06,4.580648899078369
2010-08-09,4.572351932525635
2010-08-10,4.483185291290283
2010-08-11,4.302779197692871
2010-08-12,4.398166656494141
2010-08-13,4.194952964782715
2010-08-16,4.170069217681885
2010-08-17,4.29863166809082
2010-08-18,4.346325874328613
2010-08-19,4.215686798095703
2010-08-20,4.223982810974121
2010-08-23,4.087121963500977
2010-08-24,4.014545917510986
2010-08-25,4.141036510467529
2010-08-26,4.105749130249023
2010-08-27,4.180476188659668
2010-08-30,4.1410369873046875
2010-08-31,4.074613571166992
2010-09-01,4.217838287353516
2010-09-02,4.257275104522705
2010-09-03,4.346531867980957
2010-09-07,4.305019378662109
2010-09-08,4.342381000518799
2010-09-09,4.388044834136963
2010-09-10,4.539573669433594
2010-09-13,4.6142988204956055
2010-09-14,4.616374969482422
2010-09-15,4.6578874588012695
2010-09-16,4.643359184265137
2010-09-17,4.601842403411865
2010-09-20,4.628829002380371
2010-09-21,4.52919340133667
2010-09-22,4.63090181350708
2010-09-23,4.5873122215271
