Date,TRDA
2021-10-29,23.950000762939453
2021-11-01,22.510000228881836
2021-11-02,25.479999542236328
2021-11-03,24.969999313354492
2021-11-04,24.8799991607666
2021-11-05,24.75
2021-11-08,26.700000762939453
2021-11-09,29.059999465942383
2021-11-10,29.049999237060547
2021-11-11,32.540000915527344
2021-11-12,32.400001525878906
2021-11-15,34.439998626708984
2021-11-16,34.20000076293945
2021-11-17,35.0
2021-11-18,33.83000183105469
2021-11-19,32.790000915527344
2021-11-22,30.399999618530273
2021-11-23,24.1299991607666
2021-11-24,26.989999771118164
2021-11-26,28.90999984741211
2021-11-29,30.299999237060547
2021-11-30,29.780000686645508
2021-12-01,30.479999542236328
2021-12-02,28.969999313354492
2021-12-03,26.729999542236328
2021-12-06,22.260000228881836
2021-12-07,21.510000228881836
2021-12-08,20.989999771118164
2021-12-09,21.020000457763672
2021-12-10,20.239999771118164
2021-12-13,19.899999618530273
2021-12-14,19.040000915527344
2021-12-15,17.8799991607666
2021-12-16,15.350000381469727
2021-12-17,15.350000381469727
2021-12-20,13.699999809265137
2021-12-21,14.779999732971191
2021-12-22,16.049999237060547
2021-12-23,17.020000457763672
2021-12-27,17.829999923706055
2021-12-28,17.450000762939453
2021-12-29,18.0
2021-12-30,18.3700008392334
2021-12-31,17.1200008392334
2022-01-03,16.93000030517578
2022-01-04,16.0
2022-01-05,13.529999732971191
2022-01-06,12.789999961853027
2022-01-07,11.84000015258789
2022-01-10,11.210000038146973
2022-01-11,10.420000076293945
2022-01-12,9.699999809265137
2022-01-13,8.609999656677246
2022-01-14,8.640000343322754
2022-01-18,8.010000228881836
2022-01-19,7.989999771118164
2022-01-20,8.0
2022-01-21,8.09000015258789
2022-01-24,9.079999923706055
2022-01-25,9.489999771118164
2022-01-26,8.90999984741211
2022-01-27,8.369999885559082
2022-01-28,9.3100004196167
2022-01-31,11.069999694824219
2022-02-01,10.239999771118164
2022-02-02,9.420000076293945
2022-02-03,9.069999694824219
2022-02-04,10.229999542236328
2022-02-07,10.010000228881836
2022-02-08,10.0
2022-02-09,10.319999694824219
2022-02-10,10.479999542236328
2022-02-11,11.319999694824219
2022-02-14,11.729999542236328
2022-02-15,13.300000190734863
2022-02-16,14.6899995803833
2022-02-17,14.300000190734863
2022-02-18,14.949999809265137
2022-02-22,14.930000305175781
2022-02-23,12.359999656677246
2022-02-24,13.15999984741211
2022-02-25,12.100000381469727
2022-02-28,12.130000114440918
2022-03-01,11.569999694824219
2022-03-02,12.119999885559082
2022-03-03,11.210000038146973
2022-03-04,10.359999656677246
2022-03-07,10.6899995803833
2022-03-08,10.579999923706055
2022-03-09,11.1899995803833
2022-03-10,10.34000015258789
2022-03-11,8.470000267028809
2022-03-14,8.180000305175781
2022-03-15,8.979999542236328
2022-03-16,9.489999771118164
2022-03-17,9.6899995803833
2022-03-18,9.850000381469727
2022-03-21,10.319999694824219
2022-03-22,11.149999618530273
2022-03-23,9.670000076293945
2022-03-24,10.130000114440918
2022-03-25,10.239999771118164
2022-03-28,9.149999618530273
2022-03-29,9.640000343322754
2022-03-30,9.550000190734863
2022-03-31,9.390000343322754
2022-04-01,9.229999542236328
2022-04-04,9.6899995803833
2022-04-05,8.649999618530273
2022-04-06,7.909999847412109
2022-04-07,7.5
2022-04-08,7.369999885559082
2022-04-11,6.730000019073486
2022-04-12,7.050000190734863
2022-04-13,7.449999809265137
2022-04-14,8.100000381469727
2022-04-18,7.289999961853027
2022-04-19,6.960000038146973
2022-04-20,6.769999980926514
2022-04-21,6.75
2022-04-22,6.699999809265137
2022-04-25,7.300000190734863
2022-04-26,6.53000020980835
2022-04-27,6.25
2022-04-28,6.289999961853027
2022-04-29,5.980000019073486
2022-05-02,6.460000038146973
2022-05-03,6.46999979019165
2022-05-04,6.829999923706055
2022-05-05,6.190000057220459
2022-05-06,5.639999866485596
2022-05-09,5.489999771118164
2022-05-10,6.25
2022-05-11,5.659999847412109
2022-05-12,6.239999771118164
2022-05-13,5.940000057220459
2022-05-16,5.809999942779541
2022-05-17,6.139999866485596
2022-05-18,6.050000190734863
2022-05-19,6.119999885559082
2022-05-20,6.0
2022-05-23,6.050000190734863
2022-05-24,6.0
2022-05-25,6.269999980926514
2022-05-26,6.590000152587891
2022-05-27,7.019999980926514
2022-05-31,6.760000228881836
2022-06-01,5.730000019073486
2022-06-02,6.059999942779541
2022-06-03,6.659999847412109
2022-06-06,6.599999904632568
2022-06-07,7.929999828338623
2022-06-08,8.789999961853027
2022-06-09,9.15999984741211
2022-06-10,9.479999542236328
2022-06-13,9.789999961853027
2022-06-14,9.354999542236328
2022-06-15,9.170000076293945
2022-06-16,8.800000190734863
2022-06-17,8.5600004196167
2022-06-21,9.100000381469727
2022-06-22,8.869999885559082
2022-06-23,9.449999809265137
2022-06-24,9.8100004196167
2022-06-27,12.430000305175781
2022-06-28,12.829999923706055
2022-06-29,12.9399995803833
2022-06-30,12.180000305175781
2022-07-01,12.0
2022-07-05,11.800000190734863
2022-07-06,11.960000038146973
2022-07-07,10.899999618530273
2022-07-08,11.770000457763672
2022-07-11,11.6899995803833
2022-07-12,11.0
2022-07-13,10.239999771118164
2022-07-14,10.720000267028809
2022-07-15,10.84000015258789
2022-07-18,9.649999618530273
2022-07-19,10.5
2022-07-20,11.100000381469727
2022-07-21,10.479999542236328
2022-07-22,10.890000343322754
2022-07-25,11.140000343322754
2022-07-26,11.779999732971191
2022-07-27,12.109999656677246
2022-07-28,11.84000015258789
2022-07-29,12.800000190734863
2022-08-01,11.579999923706055
2022-08-02,11.920000076293945
