Date,PFS
2010-01-04,5.598147869110107
2010-01-05,5.431349754333496
2010-01-06,5.514749050140381
2010-01-07,5.618998050689697
2010-01-08,5.978657245635986
2010-01-11,5.895256042480469
2010-01-12,5.754521369934082
2010-01-13,5.8691935539245605
2010-01-14,6.0099310874938965
2010-01-15,5.832705974578857
2010-01-19,6.10375452041626
2010-01-20,6.041203022003174
2010-01-21,6.24448823928833
2010-01-22,6.046417713165283
2010-01-25,5.9525933265686035
2010-01-26,5.926528453826904
2010-01-27,6.10375452041626
2010-01-28,5.785796165466309
2010-01-29,5.942168712615967
2010-02-01,5.624211311340332
2010-02-02,5.483475685119629
2010-02-03,5.389650344848633
2010-02-04,5.379228115081787
2010-02-05,5.379228115081787
2010-02-08,5.30103874206543
2010-02-09,5.337526798248291
2010-02-10,5.384946823120117
2010-02-11,5.3796796798706055
2010-02-12,5.411292552947998
2010-02-16,5.564096927642822
2010-02-17,5.564096927642822
2010-02-18,5.690553188323975
2010-02-19,5.722165584564209
2010-02-22,5.806469440460205
2010-02-23,5.8538923263549805
2010-02-24,5.964540958404541
2010-02-25,5.896042823791504
2010-02-26,5.7748565673828125
2010-03-01,5.806469440460205
2010-03-02,5.801201343536377
2010-03-03,5.780124187469482
2010-03-04,5.817007541656494
2010-03-05,6.112074375152588
2010-03-08,6.064652919769287
2010-03-09,6.1068034172058105
2010-03-10,6.148957252502441
2010-03-11,6.238529205322266
2010-03-12,6.206916332244873
2010-03-15,6.1647629737854
2010-03-16,6.191108703613281
2010-03-17,6.2174553871154785
2010-03-18,6.159493446350098
2010-03-19,6.222723960876465
2010-03-22,6.227992534637451
2010-03-23,6.212184906005859
2010-03-24,6.222723960876465
2010-03-25,6.285947799682617
2010-03-26,6.280682563781738
2010-03-29,6.280682563781738
2010-03-30,6.307028293609619
2010-03-31,6.270142555236816
2010-04-01,6.249068260192871
2010-04-05,6.322836875915527
2010-04-06,6.486173629760742
2010-04-07,6.343911170959473
2010-04-08,6.3544464111328125
2010-04-09,6.396599292755127
2010-04-12,6.5283284187316895
2010-04-13,6.480903625488281
2010-04-14,6.6495137214660645
2010-04-15,6.807587146759033
2010-04-16,6.559942245483398
2010-04-19,6.559942245483398
2010-04-20,6.6811299324035645
2010-04-21,6.833930492401123
2010-04-22,7.007810592651367
2010-04-23,7.297606468200684
2010-04-26,7.118457317352295
2010-04-27,6.981465816497803
2010-04-28,7.123725891113281
2010-04-29,7.18695592880249
2010-04-30,6.944578170776367
2010-05-03,7.034154415130615
2010-05-04,6.7338175773620605
2010-05-05,6.9235053062438965
2010-05-06,6.675861835479736
2010-05-07,6.370255470275879
2010-05-10,6.775972843170166
2010-05-11,6.970923900604248
2010-05-12,7.114381313323975
2010-05-13,6.965610504150391
2010-05-14,6.795592784881592
2010-05-17,6.83809232711792
2010-05-18,6.721203804016113
2010-05-19,6.73183012008667
2010-05-20,6.381158828735352
2010-05-21,6.296146869659424
2010-05-24,6.115499496459961
2010-05-25,6.099557876586914
2010-05-26,6.375846862792969
2010-05-27,6.630879878997803
2010-05-28,6.5671234130859375
2010-06-01,6.391785621643066
2010-06-02,6.5139875411987305
2010-06-03,6.471484661102295
2010-06-04,6.1526923179626465
2010-06-07,6.115499496459961
2010-06-08,6.221763610839844
2010-06-09,6.1580047607421875
2010-06-10,6.301461696624756
2010-06-11,6.312088489532471
2010-06-14,6.27489709854126
2010-06-15,6.365220546722412
2010-06-16,6.397099018096924
2010-06-17,6.5246148109436035
2010-06-18,6.5777482986450195
2010-06-21,6.5246148109436035
2010-06-22,6.439605712890625
2010-06-23,6.476798057556152
2010-06-24,6.413039207458496
2010-06-25,6.5777482986450195
2010-06-28,6.5139875411987305
2010-06-29,6.253643035888672
2010-06-30,6.211135387420654
2010-07-01,6.168631076812744
2010-07-02,6.094246864318848
2010-07-06,6.030489444732666
2010-07-07,6.290835380554199
2010-07-08,6.487421989440918
2010-07-09,6.604314804077148
2010-07-12,6.487421989440918
2010-07-13,6.832780361175537
2010-07-14,6.742458343505859
2010-07-15,6.652132511138916
2010-07-16,6.407724857330322
2010-07-19,6.428978443145752
2010-07-20,6.5671234130859375
2010-07-21,6.328028678894043
2010-07-22,6.625568389892578
2010-07-23,6.811528205871582
2010-07-26,6.8699750900268555
2010-07-27,7.002805233001709
2010-07-28,6.822157859802246
2010-07-29,6.854034900665283
2010-07-30,6.806216239929199
2010-08-02,6.9549880027771
2010-08-03,6.9231085777282715
2010-08-04,6.795592784881592
2010-08-05,6.657447338104248
2010-08-06,6.5139875411987305
2010-08-09,6.684011936187744
2010-08-10,6.5564961433410645
2010-08-11,6.189883232116699
2010-08-12,6.0450592041015625
2010-08-13,6.061153411865234
2010-08-16,6.334709167480469
2010-08-17,6.447347640991211
2010-08-18,6.409802436828613
2010-08-19,6.205974102020264
2010-08-20,6.3186163902282715
2010-08-23,6.302524566650391
2010-08-24,6.168429851531982
2010-08-25,6.243523120880127
2010-08-26,6.098698139190674
2010-08-27,6.3186163902282715
2010-08-30,6.06651496887207
2010-08-31,6.152338027954102
2010-09-01,6.366891860961914
2010-09-02,6.2488861083984375
2010-09-03,6.484893798828125
2010-09-07,6.3561625480651855
2010-09-08,6.441983699798584
2010-09-09,6.463442802429199
2010-09-10,6.484893798828125
2010-09-13,6.736999034881592
2010-09-14,6.54926061630249
2010-09-15,6.570720195770264
2010-09-16,6.452712535858154
2010-09-17,6.409802436828613
2010-09-20,6.651175022125244
2010-09-21,6.538535118103027
2010-09-22,6.3937087059021
2010-09-23,6.361526966094971
2010-09-24,6.608264923095703
