Date,TROX
2010-12-01,9.47907543182373
2010-12-02,9.47907543182373
2010-12-03,10.627163887023926
2010-12-06,10.627163887023926
2010-12-07,10.627163887023926
2010-12-08,10.77435302734375
2010-12-09,10.715478897094727
2010-12-10,10.68603515625
2010-12-13,10.77435302734375
2010-12-14,10.862665176391602
2010-12-15,11.039297103881836
2010-12-16,11.039297103881836
2010-12-17,11.039297103881836
2010-12-20,11.068733215332031
2010-12-21,11.186488151550293
2010-12-22,11.186488151550293
2010-12-23,11.186488151550293
2010-12-27,11.186488151550293
2010-12-28,11.186488151550293
2010-12-29,11.186488151550293
2010-12-30,11.186488151550293
2010-12-31,11.186488151550293
2011-01-03,11.186488151550293
2011-01-04,10.833230018615723
2011-01-05,10.833230018615723
2011-01-06,10.833230018615723
2011-01-07,11.12761116027832
2011-01-10,11.098172187805176
2011-01-11,11.098172187805176
2011-01-12,11.098172187805176
2011-01-13,11.451427459716797
2011-01-14,11.304241180419922
2011-01-18,11.451427459716797
2011-01-19,11.451427459716797
2011-01-20,11.451427459716797
2011-01-21,11.59861946105957
2011-01-24,11.59861946105957
2011-01-25,11.686936378479004
2011-01-26,11.686936378479004
2011-01-27,11.775246620178223
2011-01-28,11.53974437713623
2011-01-31,11.53974437713623
2011-02-01,12.364013671875
2011-02-02,12.364013671875
2011-02-03,12.275699615478516
2011-02-04,12.481767654418945
2011-02-07,12.935111045837402
2011-02-08,13.306028366088867
2011-02-09,13.570971488952637
2011-02-10,14.483558654785156
2011-02-11,14.483558654785156
2011-02-14,14.483558654785156
2011-02-15,14.483558654785156
2011-02-16,14.483558654785156
2011-02-17,14.77794075012207
2011-02-18,15.837713241577148
2011-02-22,15.543327331542969
2011-02-23,15.543327331542969
2011-02-24,15.307822227478027
2011-02-25,15.146502494812012
2011-02-28,15.142966270446777
2011-03-01,14.83681583404541
2011-03-02,14.883916854858398
2011-03-03,15.160632133483887
2011-03-04,15.33137035369873
2011-03-07,15.543327331542969
2011-03-08,15.778827667236328
2011-03-09,16.043777465820312
2011-03-10,15.926024436950684
2011-03-11,16.036710739135742
2011-03-14,16.014339447021484
2011-03-15,15.926024436950684
2011-03-16,15.896585464477539
2011-03-17,15.896585464477539
2011-03-18,15.896585464477539
2011-03-21,15.867148399353027
2011-03-22,15.896585464477539
2011-03-23,15.808267593383789
2011-03-24,15.984901428222656
2011-03-25,16.014339447021484
2011-03-28,16.455907821655273
2011-03-29,16.473567962646484
