Date,CENT
2010-01-04,8.339859008789062
2010-01-05,7.995300769805908
2010-01-06,7.783867835998535
2010-01-07,7.9483160972595215
2010-01-08,8.065778732299805
2010-01-11,8.089271545410156
2010-01-12,7.916993141174316
2010-01-13,8.010963439941406
2010-01-14,8.010963439941406
2010-01-15,7.815192222595215
2010-01-19,7.916993141174316
2010-01-20,7.682066917419434
2010-01-21,7.674235820770264
2010-01-22,7.697729110717773
2010-01-25,7.627251148223877
2010-01-26,7.4706339836120605
2010-01-27,7.75254487991333
2010-01-28,7.548943042755127
2010-01-29,7.4706339836120605
2010-02-01,7.619421005249023
2010-02-02,7.541111946105957
2010-02-03,7.658575057983398
2010-02-04,7.4314799308776855
2010-02-05,7.603758811950684
2010-02-08,7.7290520668029785
2010-02-09,7.799530029296875
2010-02-10,7.658575057983398
2010-02-11,7.791698932647705
2010-02-12,7.642912864685059
2010-02-16,7.697729110717773
2010-02-17,7.862176895141602
2010-02-18,7.877839088439941
2010-02-19,7.854345798492432
2010-02-22,7.916993141174316
2010-02-23,7.9483160972595215
2010-02-24,8.10493278503418
2010-02-25,8.23022747039795
2010-02-26,8.245888710021973
2010-03-01,8.574785232543945
2010-03-02,8.590446472167969
2010-03-03,8.551292419433594
2010-03-04,8.535630226135254
2010-03-05,8.59827709197998
2010-03-08,8.535630226135254
2010-03-09,8.668754577636719
2010-03-10,8.637431144714355
2010-03-11,8.551292419433594
2010-03-12,8.449490547180176
2010-03-15,8.559123039245605
2010-03-16,8.535630226135254
2010-03-17,8.762724876403809
2010-03-18,8.833203315734863
2010-03-19,8.551292419433594
2010-03-22,8.856695175170898
2010-03-23,8.848864555358887
2010-03-24,8.582615852355957
2010-03-25,8.402505874633789
2010-03-26,7.956147193908691
2010-03-29,7.971808910369873
2010-03-30,7.783867835998535
2010-03-31,7.7290520668029785
2010-04-01,7.7290520668029785
2010-04-05,7.815192222595215
2010-04-06,7.84651517868042
2010-04-07,7.84651517868042
2010-04-08,7.8308539390563965
2010-04-09,7.8308539390563965
2010-04-12,7.83868408203125
2010-04-13,7.84651517868042
2010-04-14,8.191073417663574
2010-04-15,8.566953659057617
2010-04-16,8.527799606323242
2010-04-19,8.59827709197998
2010-04-20,8.856695175170898
2010-04-21,8.747062683105469
2010-04-22,8.88018798828125
