Date,CRMT
2010-01-04,25.489999771118164
2010-01-05,25.3799991607666
2010-01-06,25.170000076293945
2010-01-07,25.440000534057617
2010-01-08,24.8799991607666
2010-01-11,24.56999969482422
2010-01-12,24.459999084472656
2010-01-13,24.8700008392334
2010-01-14,24.690000534057617
2010-01-15,25.1200008392334
2010-01-19,25.3799991607666
2010-01-20,25.0
2010-01-21,24.559999465942383
2010-01-22,24.700000762939453
2010-01-25,24.139999389648438
2010-01-26,22.93000030517578
2010-01-27,22.770000457763672
2010-01-28,23.059999465942383
2010-01-29,23.530000686645508
2010-02-01,23.399999618530273
2010-02-02,23.40999984741211
2010-02-03,23.469999313354492
2010-02-04,22.829999923706055
2010-02-05,23.100000381469727
2010-02-08,22.93000030517578
2010-02-09,24.3700008392334
2010-02-10,23.920000076293945
2010-02-11,24.649999618530273
2010-02-12,24.489999771118164
2010-02-16,24.65999984741211
2010-02-17,26.670000076293945
2010-02-18,26.40999984741211
2010-02-19,26.610000610351562
2010-02-22,26.510000228881836
2010-02-23,26.329999923706055
2010-02-24,26.6299991607666
2010-02-25,26.459999084472656
2010-02-26,26.440000534057617
2010-03-01,26.760000228881836
2010-03-02,26.989999771118164
2010-03-03,26.489999771118164
2010-03-04,26.5
2010-03-05,26.709999084472656
2010-03-08,26.799999237060547
2010-03-09,26.260000228881836
2010-03-10,26.31999969482422
2010-03-11,26.030000686645508
2010-03-12,25.799999237060547
2010-03-15,25.280000686645508
2010-03-16,25.329999923706055
2010-03-17,25.360000610351562
2010-03-18,25.219999313354492
2010-03-19,24.719999313354492
2010-03-22,25.059999465942383
2010-03-23,25.299999237060547
2010-03-24,24.700000762939453
2010-03-25,24.559999465942383
2010-03-26,24.6299991607666
2010-03-29,24.770000457763672
2010-03-30,24.59000015258789
2010-03-31,24.1200008392334
2010-04-01,25.030000686645508
2010-04-05,24.670000076293945
2010-04-06,24.440000534057617
2010-04-07,24.489999771118164
2010-04-08,24.350000381469727
2010-04-09,23.780000686645508
2010-04-12,23.75
2010-04-13,23.190000534057617
2010-04-14,23.979999542236328
2010-04-15,23.780000686645508
2010-04-16,23.729999542236328
2010-04-19,23.65999984741211
2010-04-20,24.1299991607666
2010-04-21,24.860000610351562
2010-04-22,25.719999313354492
2010-04-23,25.799999237060547
2010-04-26,26.010000228881836
