Date,UVE
2010-01-04,2.951352119445801
2010-01-05,3.038872003555298
2010-01-06,3.038872003555298
2010-01-07,3.0534586906433105
2010-01-08,3.111804962158203
2010-01-11,3.140977621078491
2010-01-12,3.0923566818237305
2010-01-13,2.985386848449707
2010-01-14,3.004835844039917
2010-01-15,2.975661516189575
2010-01-19,2.985386848449707
2010-01-20,2.9610772132873535
2010-01-21,2.897869348526001
2010-01-22,2.9124534130096436
2010-01-25,2.897869348526001
2010-01-26,2.849246025085449
2010-01-27,2.7617266178131104
2010-01-28,2.6742069721221924
2010-01-29,2.8735568523406982
2010-02-01,2.8152103424072266
2010-02-02,2.839521884918213
2010-02-03,2.863832473754883
2010-02-04,2.795762062072754
2010-02-05,2.7471399307250977
2010-02-08,2.7617266178131104
2010-02-09,2.7617266178131104
2010-02-10,2.800623655319214
2010-02-11,2.839521884918213
2010-02-12,2.8686938285827637
2010-02-16,2.91731595993042
2010-02-17,2.985386848449707
2010-02-18,2.9708003997802734
2010-02-19,2.9659383296966553
2010-02-22,2.990248918533325
2010-02-23,2.990248918533325
2010-02-24,2.951352119445801
2010-02-25,2.990248918533325
2010-02-26,2.941626787185669
2010-03-01,2.931903123855591
2010-03-02,2.9659383296966553
2010-03-03,2.975661516189575
2010-03-04,2.9610772132873535
2010-03-05,2.9708003997802734
2010-03-08,2.93676495552063
2010-03-09,2.9708003997802734
2010-03-10,2.990248918533325
2010-03-11,3.0194225311279297
2010-03-12,3.038872003555298
2010-03-15,3.043734312057495
2010-03-16,3.048595905303955
2010-03-17,2.6322028636932373
2010-03-18,2.61733078956604
2010-03-19,2.562804698944092
2010-03-22,2.463663101196289
2010-03-23,2.5132319927215576
2010-03-24,2.463663101196289
2010-03-25,2.438876152038574
2010-03-26,2.4686195850372314
2010-03-29,2.518190860748291
2010-03-30,2.518190860748291
2010-03-31,2.508274555206299
2010-04-01,2.518190860748291
2010-04-05,2.498361587524414
2010-04-06,2.562804698944092
2010-04-07,2.607417106628418
2010-04-08,2.5975027084350586
2010-04-09,2.5330617427825928
2010-04-12,2.5330617427825928
2010-04-13,2.5429751873016357
2010-04-14,2.587588310241699
2010-04-15,2.5975027084350586
2010-04-16,2.577674388885498
2010-04-19,2.5925464630126953
2010-04-20,2.562804698944092
2010-04-21,2.552889347076416
2010-04-22,2.5727179050445557
2010-04-23,2.577674388885498
2010-04-26,2.562804698944092
2010-04-27,2.523146629333496
2010-04-28,2.5429751873016357
2010-04-29,2.5132319927215576
2010-04-30,2.5033183097839355
2010-05-03,2.5132319927215576
2010-05-04,2.5132319927215576
2010-05-05,2.3546056747436523
2010-05-06,2.2951223850250244
2010-05-07,2.349648952484131
2010-05-10,2.4487905502319336
2010-05-11,2.438876152038574
2010-05-12,2.498361587524414
2010-05-13,2.528104305267334
2010-05-14,2.473576545715332
2010-05-17,2.4686195850372314
2010-05-18,2.379391670227051
2010-05-19,2.4140913486480713
2010-05-20,2.29016375541687
