Date,NWE
2010-01-04,13.841867446899414
2010-01-05,13.616327285766602
2010-01-06,13.637306213378906
2010-01-07,13.62157154083252
2010-01-08,13.600591659545898
2010-01-11,13.642549514770508
2010-01-12,13.55338191986084
2010-01-13,13.768434524536133
2010-01-14,13.778924942016602
2010-01-15,13.637306213378906
2010-01-19,13.857598304748535
2010-01-20,13.663532257080078
2010-01-21,13.107544898986816
2010-01-22,12.902987480163574
2010-01-25,13.191473007202148
2010-01-26,13.160005569458008
2010-01-27,13.081327438354492
2010-01-28,12.971181869506836
2010-01-29,12.824313163757324
2010-02-01,12.871516227722168
2010-02-02,12.971181869506836
2010-02-03,12.866272926330566
2010-02-04,12.677453994750977
2010-02-05,12.714164733886719
2010-02-08,12.499117851257324
2010-02-09,12.609265327453613
2010-02-10,12.625004768371582
2010-02-11,12.829562187194824
2010-02-12,13.023628234863281
2010-02-16,13.081327438354492
2010-02-17,13.165246963500977
2010-02-18,13.296374320983887
2010-02-19,13.5324068069458
2010-02-22,13.569121360778809
2010-02-23,13.479952812194824
2010-02-24,13.44323444366455
2010-02-25,13.270146369934082
2010-02-26,13.139023780822754
2010-03-01,13.469462394714355
2010-03-02,13.590103149414062
2010-03-03,13.537654876708984
2010-03-04,13.327850341796875
2010-03-05,13.348831176757812
2010-03-08,13.44323444366455
2010-03-09,13.574362754821777
2010-03-10,13.653043746948242
2010-03-11,13.785910606384277
2010-03-12,13.89219856262207
2010-03-15,13.940028190612793
2010-03-16,14.152609825134277
2010-03-17,14.285475730895996
2010-03-18,14.31735897064209
2010-03-19,14.444911003112793
2010-03-22,14.290787696838379
2010-03-23,14.296101570129395
2010-03-24,14.019746780395508
2010-03-25,13.929398536682129
2010-03-26,13.96660041809082
2010-03-29,14.333303451538086
2010-03-30,14.349247932434082
2010-03-31,14.248266220092773
2010-04-01,14.237642288208008
2010-04-05,14.349247932434082
2010-04-06,14.87006950378418
2010-04-07,14.80629825592041
2010-04-08,14.567142486572266
2010-04-09,14.614982604980469
2010-04-12,14.67874813079834
2010-04-13,14.662798881530762
2010-04-14,14.7797269821167
2010-04-15,14.891332626342773
2010-04-16,14.886018753051758
2010-04-19,14.880695343017578
2010-04-20,14.939164161682129
2010-04-21,15.194262504577637
2010-04-22,15.332437515258789
2010-04-23,15.661935806274414
2010-04-26,15.906411170959473
2010-04-27,15.70976734161377
2010-04-28,15.720402717590332
2010-04-29,16.03926658630371
2010-04-30,16.060527801513672
2010-05-03,16.081787109375
2010-05-04,15.821372985839844
2010-05-05,15.661935806274414
2010-05-06,14.737210273742676
2010-05-07,14.31735897064209
2010-05-10,14.795668601989746
2010-05-11,15.210200309753418
2010-05-12,15.523758888244629
2010-05-13,15.486559867858887
2010-05-14,15.226144790649414
2010-05-17,15.369636535644531
2010-05-18,15.114541053771973
2010-05-19,14.742531776428223
2010-05-20,14.088831901550293
2010-05-21,14.216383934020996
2010-05-24,13.998493194580078
2010-05-25,13.886882781982422
2010-05-26,13.96660041809082
2010-05-27,14.141982078552246
2010-05-28,13.998493194580078
2010-06-01,13.583953857421875
2010-06-02,14.014435768127441
2010-06-03,14.343937873840332
2010-06-04,13.738079071044922
2010-06-07,13.5414400100708
2010-06-08,13.583953857421875
