Date,DRI
2010-01-04,19.009620666503906
2010-01-05,18.928152084350586
2010-01-06,18.813262939453125
2010-01-07,18.988327026367188
2010-01-08,18.671039581298828
2010-01-11,18.621797561645508
2010-01-12,18.534265518188477
2010-01-13,18.660085678100586
2010-01-14,19.568201065063477
2010-01-15,19.311086654663086
2010-01-19,19.606494903564453
2010-01-20,19.983972549438477
2010-01-21,19.994916915893555
2010-01-22,19.78156089782715
2010-01-25,19.69949722290039
2010-01-26,19.956613540649414
2010-01-27,20.033203125
2010-01-28,20.48725700378418
2010-01-29,20.219202041625977
2010-02-01,20.706085205078125
2010-02-02,20.946788787841797
2010-02-03,20.799083709716797
2010-02-04,20.45991325378418
2010-02-05,20.563846588134766
2010-02-08,20.53102684020996
2010-02-09,21.012432098388672
2010-02-10,20.81549072265625
2010-02-11,21.203908920288086
2010-02-12,21.32971954345703
2010-02-16,22.106542587280273
2010-02-17,22.20501708984375
2010-02-18,22.166723251342773
2010-02-19,22.4566593170166
2010-02-22,22.4566593170166
2010-02-23,22.22142791748047
2010-02-24,22.4238338470459
2010-02-25,22.06278419494629
2010-02-26,22.183134078979492
2010-03-01,22.511371612548828
2010-03-02,22.161245346069336
2010-03-03,22.20501708984375
2010-03-04,22.12843132019043
2010-03-05,22.41836929321289
2010-03-08,22.970897674560547
2010-03-09,22.992774963378906
2010-03-10,23.11313247680664
2010-03-11,23.129533767700195
2010-03-12,22.9873104095459
2010-03-15,23.217069625854492
2010-03-16,23.304601669311523
2010-03-17,23.791486740112305
2010-03-18,23.791486740112305
2010-03-19,23.878999710083008
2010-03-22,24.14158821105957
2010-03-23,24.021238327026367
2010-03-24,24.568300247192383
2010-03-25,24.447954177856445
2010-03-26,24.2291259765625
2010-03-29,24.601125717163086
2010-03-30,24.508121490478516
2010-03-31,24.365886688232422
2010-04-01,24.343997955322266
2010-04-05,24.896535873413086
2010-04-06,24.759769439697266
2010-04-07,25.518896102905273
2010-04-08,25.51338768005371
2010-04-09,25.744436264038086
2010-04-12,25.793933868408203
2010-04-13,25.854454040527344
2010-04-14,26.058000564575195
2010-04-15,25.810453414916992
2010-04-16,25.777446746826172
2010-04-19,25.96997833251953
2010-04-20,25.92046546936035
2010-04-21,26.074495315551758
2010-04-22,26.767620086669922
2010-04-23,26.77862548828125
2010-04-26,26.4100399017334
2010-04-27,25.859956741333008
2010-04-28,25.183332443237305
2010-04-29,25.359375
2010-04-30,24.616741180419922
2010-05-03,25.00731658935547
2010-05-04,24.11615562438965
2010-05-05,24.022645950317383
2010-05-06,23.593564987182617
2010-05-07,23.439538955688477
2010-05-10,24.413204193115234
2010-05-11,24.60573387145996
2010-05-12,24.820280075073242
2010-05-13,24.314184188842773
2010-05-14,23.912620544433594
2010-05-17,24.18766212463379
2010-05-18,24.055646896362305
2010-05-19,23.9786434173584
2010-05-20,23.065481185913086
2010-05-21,22.883941650390625
2010-05-24,22.73542022705078
2010-05-25,22.90595054626465
2010-05-26,23.13698959350586
2010-05-27,24.061147689819336
2010-05-28,23.599069595336914
2010-06-01,23.714590072631836
2010-06-02,24.264686584472656
2010-06-03,24.09964942932129
2010-06-04,23.252506256103516
2010-06-07,22.636402130126953
2010-06-08,22.795927047729492
2010-06-09,23.026966094970703
2010-06-10,23.544055938720703
2010-06-11,23.8136043548584
2010-06-14,24.094154357910156
2010-06-15,24.352697372436523
2010-06-16,24.567235946655273
2010-06-17,24.501218795776367
2010-06-18,24.468217849731445
2010-06-21,23.610065460205078
2010-06-22,23.318523406982422
2010-06-23,23.048974990844727
2010-06-24,21.70673942565918
2010-06-25,21.453697204589844
2010-06-28,21.822261810302734
2010-06-29,21.44269371032715
2010-06-30,21.371183395385742
2010-07-01,21.5692138671875
2010-07-02,21.167646408081055
2010-07-06,20.689067840576172
2010-07-07,21.243877410888672
2010-07-08,21.354846954345703
2010-07-09,21.876371383666992
2010-07-12,22.015077590942383
2010-07-13,22.858388900756836
2010-07-14,22.669763565063477
2010-07-15,22.80845069885254
2010-07-16,22.059463500976562
2010-07-19,22.031719207763672
2010-07-20,22.647565841674805
2010-07-21,22.569889068603516
2010-07-22,23.618486404418945
2010-07-23,23.618486404418945
2010-07-26,24.117830276489258
2010-07-27,23.95692253112793
2010-07-28,23.624038696289062
2010-07-29,23.285593032836914
2010-07-30,23.241212844848633
2010-08-02,23.468690872192383
2010-08-03,23.4021053314209
2010-08-04,23.474239349365234
2010-08-05,23.37436866760254
2010-08-06,23.202377319335938
2010-08-09,23.651775360107422
2010-08-10,23.43540382385254
2010-08-11,22.375707626342773
2010-08-12,22.447834014892578
2010-08-13,21.99843406677246
2010-08-16,22.309120178222656
2010-08-17,22.730783462524414
2010-08-18,23.05812644958496
2010-08-19,22.78072166442871
2010-08-20,22.897232055664062
2010-08-23,22.86949348449707
2010-08-24,22.420087814331055
2010-08-25,22.65866470336914
2010-08-26,23.02484893798828
2010-08-27,23.574108123779297
2010-08-30,22.95826530456543
2010-08-31,22.891693115234375
2010-09-01,23.701717376708984
2010-09-02,24.533937454223633
2010-09-03,24.722576141357422
2010-09-07,24.622711181640625
2010-09-08,24.617170333862305
2010-09-09,24.350847244262695
2010-09-10,24.82798194885254
2010-09-13,25.25519561767578
2010-09-14,25.310680389404297
2010-09-15,25.338422775268555
2010-09-16,24.96670150756836
2010-09-17,24.8168888092041
2010-09-20,24.98333168029785
2010-09-21,24.4229736328125
2010-09-22,24.095632553100586
2010-09-23,23.906993865966797
2010-09-24,24.195499420166016
2010-09-27,24.062353134155273
2010-09-28,24.2010440826416
