Date,ASTE
2010-01-04,23.26971435546875
2010-01-05,23.109298706054688
2010-01-06,22.86444091796875
2010-01-07,22.99953842163086
2010-01-08,23.978960037231445
2010-01-11,24.038057327270508
2010-01-12,23.945188522338867
2010-01-13,24.89083480834961
2010-01-14,25.338321685791016
2010-01-15,24.595317840576172
2010-01-19,24.595317840576172
2010-01-20,23.818532943725586
2010-01-21,23.227500915527344
2010-01-22,22.66180419921875
2010-01-25,22.17209243774414
2010-01-26,21.53883934020996
2010-01-27,21.682390213012695
2010-01-28,20.745168685913086
2010-01-29,21.015363693237305
2010-02-01,21.395313262939453
2010-02-02,20.91404151916504
2010-02-03,20.61008071899414
2010-02-04,19.731979370117188
2010-02-05,19.630661010742188
2010-02-08,19.748863220214844
2010-02-09,20.356782913208008
2010-02-10,20.3652286529541
2010-02-11,20.838056564331055
2010-02-12,20.956253051757812
2010-02-16,21.55573081970215
2010-02-17,21.792146682739258
2010-02-18,22.070770263671875
2010-02-19,21.901905059814453
2010-02-22,22.104549407958984
2010-02-23,21.16733741760254
2010-02-24,20.91404151916504
2010-02-25,20.897157669067383
2010-02-26,20.508764266967773
2010-03-01,20.762056350708008
2010-03-02,20.981590270996094
2010-03-03,21.513507843017578
2010-03-04,21.935678482055664
2010-03-05,22.450716018676758
2010-03-08,22.509828567504883
2010-03-09,23.8438663482666
2010-03-10,24.426454544067383
2010-03-11,24.485549926757812
2010-03-12,24.882389068603516
2010-03-15,24.857065200805664
2010-03-16,24.367351531982422
2010-03-17,25.296106338500977
2010-03-18,25.36365509033203
2010-03-19,25.36365509033203
2010-03-22,25.701391220092773
2010-03-23,26.587934494018555
2010-03-24,26.191099166870117
2010-03-25,25.920917510986328
2010-03-26,25.456527709960938
2010-03-29,25.5071964263916
2010-03-30,25.08502769470215
2010-03-31,24.451780319213867
2010-04-01,25.09347152709961
2010-04-05,25.65917205810547
2010-04-06,24.975261688232422
2010-04-07,25.15257453918457
2010-04-08,25.397430419921875
2010-04-09,25.62539291381836
2010-04-12,25.912479400634766
2010-04-13,27.542024612426758
2010-04-14,27.694007873535156
2010-04-15,27.736223220825195
2010-04-16,27.00166130065918
2010-04-19,26.69769859313965
2010-04-20,29.81327247619629
2010-04-21,29.129369735717773
2010-04-22,30.682931900024414
2010-04-23,30.649169921875
2010-04-26,30.471853256225586
2010-04-27,28.842294692993164
2010-04-28,28.850744247436523
2010-04-29,29.475534439086914
2010-04-30,27.964197158813477
2010-05-03,28.614330291748047
2010-05-04,27.4744815826416
2010-05-05,26.63859748840332
2010-05-06,26.03067970275879
2010-05-07,24.949934005737305
2010-05-10,26.723026275634766
2010-05-11,26.815898895263672
2010-05-12,27.820661544799805
2010-05-13,27.297170639038086
2010-05-14,25.870256423950195
2010-05-17,26.08977699279785
2010-05-18,25.296106338500977
2010-05-19,24.86549949645996
2010-05-20,23.599008560180664
2010-05-21,24.029619216918945
2010-05-24,24.063390731811523
2010-05-25,24.097164154052734
2010-05-26,23.97051239013672
2010-05-27,25.76893424987793
2010-05-28,25.220125198364258
2010-06-01,24.291357040405273
2010-06-02,25.034364700317383
2010-06-03,24.899272918701172
2010-06-04,23.455469131469727
2010-06-07,23.185287475585938
2010-06-08,23.185287475585938
2010-06-09,23.31193733215332
2010-06-10,24.105602264404297
2010-06-11,25.034364700317383
2010-06-14,25.321439743041992
2010-06-15,26.123550415039062
2010-06-16,25.811145782470703
2010-06-17,25.802711486816406
2010-06-18,25.71826934814453
2010-06-21,25.904029846191406
2010-06-22,25.220125198364258
2010-06-23,25.22856903076172
2010-06-24,24.83173370361328
2010-06-25,25.388986587524414
2010-06-28,24.7557373046875
2010-06-29,23.78475570678711
2010-06-30,23.413253784179688
2010-07-01,23.32038116455078
2010-07-02,23.01642608642578
2010-07-06,22.61113929748535
2010-07-07,23.52301597595215
2010-07-08,23.953622817993164
2010-07-09,24.25758171081543
2010-07-12,23.413253784179688
2010-07-13,24.460220336914062
2010-07-14,24.038057327270508
2010-07-15,23.472352981567383
2010-07-16,22.45916748046875
2010-07-19,22.467609405517578
2010-07-20,24.738855361938477
2010-07-21,25.735157012939453
2010-07-22,26.478174209594727
2010-07-23,26.44439697265625
2010-07-26,26.79901885986328
2010-07-27,26.098228454589844
2010-07-28,25.904029846191406
2010-07-29,26.098228454589844
2010-07-30,26.469730377197266
2010-08-02,26.858118057250977
2010-08-03,26.503503799438477
2010-08-04,26.343082427978516
2010-08-05,25.904029846191406
2010-08-06,25.735157012939453
2010-08-09,25.853370666503906
2010-08-10,25.355209350585938
2010-08-11,23.75098419189453
2010-08-12,23.337263107299805
2010-08-13,22.518264770507812
2010-08-16,22.780006408691406
2010-08-17,23.12618064880371
2010-08-18,23.2359561920166
2010-08-19,23.421703338623047
2010-08-20,23.514577865600586
2010-08-23,23.337263107299805
2010-08-24,22.146757125854492
2010-08-25,22.12987518310547
2010-08-26,21.825918197631836
2010-08-27,22.45916748046875
2010-08-30,21.699268341064453
2010-08-31,21.699268341064453
2010-09-01,22.619586944580078
2010-09-02,22.96575927734375
2010-09-03,22.991092681884766
2010-09-07,24.83173370361328
2010-09-08,24.468666076660156
2010-09-09,24.021181106567383
2010-09-10,23.995838165283203
2010-09-13,24.578432083129883
2010-09-14,24.35890769958496
2010-09-15,24.164714813232422
2010-09-16,23.70033073425293
2010-09-17,23.80164337158203
2010-09-20,23.978960037231445
2010-09-21,23.708770751953125
2010-09-22,23.21906280517578
2010-09-23,22.433828353881836
2010-09-24,23.81009292602539
2010-09-27,23.36259651184082
2010-09-28,23.438589096069336
