Date,CDW
2013-06-27,16.141616821289062
2013-06-28,16.36129379272461
2013-07-01,16.115257263183594
2013-07-02,16.888504028320312
2013-07-03,16.76548957824707
2013-07-05,16.888504028320312
2013-07-08,16.897293090820312
2013-07-09,17.134540557861328
2013-07-10,16.78306770324707
2013-07-11,17.204845428466797
2013-07-12,17.143321990966797
2013-07-15,17.187265396118164
2013-07-16,17.661754608154297
2013-07-17,17.899002075195312
2013-07-18,18.30319595336914
2013-07-19,18.311994552612305
2013-07-22,17.872644424438477
2013-07-23,17.76719856262207
2013-07-24,18.074739456176758
2013-07-25,19.313705444335938
2013-07-26,18.971019744873047
2013-07-29,19.06767463684082
2013-07-30,18.979795455932617
2013-07-31,18.891935348510742
2013-08-01,19.032522201538086
2013-08-02,19.709115982055664
2013-08-05,20.025447845458984
2013-08-06,20.043018341064453
2013-08-07,20.16604232788086
2013-08-08,20.271484375
2013-08-09,20.25390625
2013-08-12,20.35056495666504
2013-08-13,20.56145477294922
2013-08-14,20.52629852294922
2013-08-15,20.209970474243164
2013-08-16,20.25390625
2013-08-19,20.2890567779541
2013-08-20,20.306625366210938
2013-08-21,20.236331939697266
2013-08-22,20.21876335144043
2013-08-23,20.447219848632812
2013-08-26,20.19239616394043
2013-08-27,19.524593353271484
2013-08-28,19.313705444335938
2013-08-29,19.401575088500977
2013-08-30,19.269775390625
2013-09-03,19.796987533569336
2013-09-04,20.21876335144043
2013-09-05,20.49115562438965
2013-09-06,20.420862197875977
2013-09-09,20.17481803894043
2013-09-10,20.236331939697266
2013-09-11,20.57901954650879
2013-09-12,20.2890567779541
2013-09-13,20.649324417114258
2013-09-16,20.974441528320312
2013-09-17,20.412071228027344
2013-09-18,20.904144287109375
2013-09-19,20.614168167114258
2013-09-20,20.113317489624023
2013-09-23,20.96564292907715
2013-09-24,21.35227394104004
2013-09-25,21.202898025512695
2013-09-26,21.079879760742188
2013-09-27,21.071088790893555
2013-09-30,20.060596466064453
2013-10-01,20.385711669921875
2013-10-02,20.01666259765625
2013-10-03,20.49115562438965
2013-10-04,20.517515182495117
2013-10-07,20.25390625
2013-10-08,20.31541633605957
2013-10-09,19.928791046142578
2013-10-10,20.25390625
2013-10-11,20.20118522644043
2013-10-14,20.01666259765625
2013-10-15,19.902429580688477
