Date,ACIW
2010-01-04,5.843332767486572
2010-01-05,5.699999809265137
2010-01-06,5.53000020980835
2010-01-07,5.453332901000977
2010-01-08,5.4766669273376465
2010-01-11,5.4633331298828125
2010-01-12,5.4633331298828125
2010-01-13,5.550000190734863
2010-01-14,5.586667060852051
2010-01-15,5.50333309173584
2010-01-19,5.630000114440918
2010-01-20,5.533332824707031
2010-01-21,5.453332901000977
2010-01-22,5.433332920074463
2010-01-25,5.4766669273376465
2010-01-26,5.436666965484619
2010-01-27,5.533332824707031
2010-01-28,5.4166669845581055
2010-01-29,5.336667060852051
2010-02-01,5.340000152587891
2010-02-02,5.293333053588867
2010-02-03,5.289999961853027
2010-02-04,5.190000057220459
2010-02-05,5.25333309173584
2010-02-08,5.1533331871032715
2010-02-09,5.156667232513428
2010-02-10,5.1066670417785645
2010-02-11,5.170000076293945
2010-02-12,5.230000019073486
2010-02-16,5.27666711807251
2010-02-17,5.343332767486572
2010-02-18,5.440000057220459
2010-02-19,5.456666946411133
2010-02-22,5.443333148956299
2010-02-23,5.5233330726623535
2010-02-24,5.563333034515381
2010-02-25,6.113333225250244
2010-02-26,6.079999923706055
2010-03-01,6.093332767486572
2010-03-02,6.1066670417785645
2010-03-03,6.389999866485596
2010-03-04,6.340000152587891
2010-03-05,6.489999771118164
2010-03-08,6.623332977294922
2010-03-09,6.716667175292969
2010-03-10,6.849999904632568
2010-03-11,7.070000171661377
2010-03-12,7.033332824707031
2010-03-15,6.9766669273376465
2010-03-16,6.983333110809326
2010-03-17,6.926667213439941
2010-03-18,6.953332901000977
2010-03-19,6.823332786560059
2010-03-22,7.056666851043701
2010-03-23,7.196667194366455
2010-03-24,7.1066670417785645
2010-03-25,7.090000152587891
2010-03-26,7.046667098999023
2010-03-29,7.00333309173584
2010-03-30,7.013332843780518
2010-03-31,6.869999885559082
2010-04-01,6.956666946411133
2010-04-05,6.989999771118164
2010-04-06,6.986667156219482
2010-04-07,6.943333148956299
2010-04-08,6.956666946411133
2010-04-09,6.9166669845581055
2010-04-12,6.956666946411133
2010-04-13,6.9633331298828125
2010-04-14,7.010000228881836
2010-04-15,6.626667022705078
2010-04-16,6.639999866485596
2010-04-19,6.546667098999023
2010-04-20,6.670000076293945
2010-04-21,6.673333168029785
2010-04-22,6.693333148956299
2010-04-23,6.739999771118164
2010-04-26,6.800000190734863
2010-04-27,6.763332843780518
2010-04-28,6.766666889190674
2010-04-29,6.440000057220459
2010-04-30,6.263332843780518
2010-05-03,6.483333110809326
2010-05-04,6.443333148956299
2010-05-05,6.656667232513428
2010-05-06,6.433332920074463
2010-05-07,6.443333148956299
2010-05-10,6.586667060852051
2010-05-11,6.566667079925537
2010-05-12,6.826666831970215
2010-05-13,6.873332977294922
2010-05-14,6.670000076293945
2010-05-17,6.739999771118164
2010-05-18,6.610000133514404
2010-05-19,6.53000020980835
2010-05-20,6.320000171661377
2010-05-21,6.25
2010-05-24,6.216667175292969
2010-05-25,6.136666774749756
2010-05-26,6.176667213439941
2010-05-27,6.389999866485596
2010-05-28,6.369999885559082
2010-06-01,6.186666965484619
2010-06-02,6.233333110809326
2010-06-03,6.313333034515381
2010-06-04,6.043333053588867
2010-06-07,5.929999828338623
2010-06-08,5.9766669273376465
2010-06-09,6.103332996368408
2010-06-10,6.376667022705078
2010-06-11,6.413332939147949
2010-06-14,6.4033331871032715
2010-06-15,6.553332805633545
2010-06-16,6.513332843780518
2010-06-17,6.6433329582214355
2010-06-18,6.809999942779541
2010-06-21,6.636666774749756
2010-06-22,6.533332824707031
2010-06-23,6.510000228881836
2010-06-24,6.480000019073486
2010-06-25,6.650000095367432
2010-06-28,6.699999809265137
2010-06-29,6.460000038146973
2010-06-30,6.489999771118164
2010-07-01,6.663332939147949
2010-07-02,6.4766669273376465
2010-07-06,6.386666774749756
2010-07-07,6.5
2010-07-08,6.570000171661377
2010-07-09,6.480000019073486
2010-07-12,6.389999866485596
2010-07-13,6.6433329582214355
2010-07-14,6.409999847412109
2010-07-15,6.329999923706055
2010-07-16,6.1433329582214355
2010-07-19,6.1433329582214355
2010-07-20,6.263332843780518
2010-07-21,6.103332996368408
2010-07-22,6.236667156219482
2010-07-23,6.326666831970215
2010-07-26,6.409999847412109
2010-07-27,6.383333206176758
2010-07-28,6.103332996368408
2010-07-29,6.443333148956299
2010-07-30,6.466667175292969
2010-08-02,6.460000038146973
2010-08-03,6.4633331298828125
2010-08-04,6.683332920074463
2010-08-05,6.703332901000977
2010-08-06,6.7133331298828125
2010-08-09,6.97333288192749
2010-08-10,6.906667232513428
2010-08-11,6.633333206176758
2010-08-12,6.639999866485596
2010-08-13,6.639999866485596
2010-08-16,6.623332977294922
2010-08-17,6.730000019073486
2010-08-18,6.696667194366455
2010-08-19,6.586667060852051
2010-08-20,6.493332862854004
2010-08-23,6.413332939147949
2010-08-24,6.383333206176758
2010-08-25,6.4633331298828125
2010-08-26,6.506667137145996
2010-08-27,6.743332862854004
2010-08-30,6.4166669845581055
2010-08-31,6.329999923706055
2010-09-01,6.693333148956299
2010-09-02,6.7866668701171875
2010-09-03,6.623332977294922
2010-09-07,6.53000020980835
2010-09-08,6.693333148956299
2010-09-09,6.8566670417785645
2010-09-10,6.889999866485596
2010-09-13,7.039999961853027
2010-09-14,6.936666965484619
2010-09-15,6.926667213439941
2010-09-16,6.880000114440918
2010-09-17,6.880000114440918
2010-09-20,6.980000019073486
2010-09-21,6.933332920074463
2010-09-22,6.876667022705078
2010-09-23,6.863333225250244
2010-09-24,7.066667079925537
