Date,JAZZ
2010-01-04,8.239999771118164
2010-01-05,8.390000343322754
2010-01-06,8.6899995803833
2010-01-07,8.390000343322754
2010-01-08,8.260000228881836
2010-01-11,8.34000015258789
2010-01-12,8.510000228881836
2010-01-13,9.270000457763672
2010-01-14,10.010000228881836
2010-01-15,10.050000190734863
2010-01-19,9.880000114440918
2010-01-20,11.0
2010-01-21,10.149999618530273
2010-01-22,9.550000190734863
2010-01-25,9.600000381469727
2010-01-26,9.770000457763672
2010-01-27,9.579999923706055
2010-01-28,9.470000267028809
2010-01-29,9.399999618530273
2010-02-01,9.40999984741211
2010-02-02,9.84000015258789
2010-02-03,9.8100004196167
2010-02-04,9.140000343322754
2010-02-05,9.020000457763672
2010-02-08,9.130000114440918
2010-02-09,9.180000305175781
2010-02-10,9.220000267028809
2010-02-11,9.25
2010-02-12,9.34000015258789
2010-02-16,10.5
2010-02-17,10.449999809265137
2010-02-18,10.239999771118164
2010-02-19,10.020000457763672
2010-02-22,10.0
2010-02-23,9.5600004196167
2010-02-24,9.479999542236328
2010-02-25,9.649999618530273
2010-02-26,9.779999732971191
2010-03-01,10.34000015258789
2010-03-02,10.319999694824219
2010-03-03,10.600000381469727
2010-03-04,11.609999656677246
2010-03-05,11.770000457763672
2010-03-08,11.479999542236328
2010-03-09,11.170000076293945
2010-03-10,11.710000038146973
2010-03-11,11.460000038146973
2010-03-12,11.350000381469727
2010-03-15,11.100000381469727
2010-03-16,11.300000190734863
2010-03-17,12.489999771118164
2010-03-18,12.649999618530273
2010-03-19,12.460000038146973
2010-03-22,13.470000267028809
2010-03-23,12.989999771118164
2010-03-24,12.829999923706055
2010-03-25,12.329999923706055
2010-03-26,11.6899995803833
2010-03-29,12.010000228881836
2010-03-30,11.4399995803833
2010-03-31,10.899999618530273
2010-04-01,11.0
2010-04-05,11.40999984741211
2010-04-06,11.930000305175781
2010-04-07,11.59000015258789
2010-04-08,11.25
2010-04-09,11.270000457763672
2010-04-12,11.40999984741211
2010-04-13,11.279999732971191
2010-04-14,11.630000114440918
2010-04-15,11.5600004196167
2010-04-16,10.550000190734863
2010-04-19,9.8100004196167
2010-04-20,10.34000015258789
2010-04-21,10.329999923706055
2010-04-22,10.220000267028809
2010-04-23,10.300000190734863
2010-04-26,10.390000343322754
2010-04-27,9.829999923706055
