Date,WRLD
2010-01-04,36.040000915527344
2010-01-05,36.869998931884766
2010-01-06,36.75
2010-01-07,37.59000015258789
2010-01-08,38.2400016784668
2010-01-11,38.25
2010-01-12,38.38999938964844
2010-01-13,38.779998779296875
2010-01-14,38.970001220703125
2010-01-15,38.58000183105469
2010-01-19,39.4900016784668
2010-01-20,39.5099983215332
2010-01-21,40.77000045776367
2010-01-22,39.0
2010-01-25,38.279998779296875
2010-01-26,37.93000030517578
2010-01-27,37.939998626708984
2010-01-28,40.18000030517578
2010-01-29,40.38999938964844
2010-02-01,40.43000030517578
2010-02-02,41.61000061035156
2010-02-03,40.349998474121094
2010-02-04,38.08000183105469
2010-02-05,37.63999938964844
2010-02-08,37.38999938964844
2010-02-09,37.869998931884766
2010-02-10,37.939998626708984
2010-02-11,39.310001373291016
2010-02-12,39.43000030517578
2010-02-16,40.290000915527344
2010-02-17,40.7400016784668
2010-02-18,41.20000076293945
2010-02-19,41.209999084472656
2010-02-22,41.13999938964844
2010-02-23,38.779998779296875
2010-02-24,40.75
2010-02-25,40.7599983215332
2010-02-26,41.790000915527344
2010-03-01,39.63999938964844
2010-03-02,39.79999923706055
2010-03-03,39.790000915527344
2010-03-04,39.63999938964844
2010-03-05,40.529998779296875
2010-03-08,41.599998474121094
2010-03-09,42.189998626708984
2010-03-10,41.84000015258789
2010-03-11,42.70000076293945
2010-03-12,43.650001525878906
2010-03-15,42.09000015258789
2010-03-16,40.81999969482422
2010-03-17,41.63999938964844
2010-03-18,41.9900016784668
2010-03-19,37.900001525878906
2010-03-22,36.560001373291016
2010-03-23,36.56999969482422
2010-03-24,36.470001220703125
2010-03-25,36.900001525878906
2010-03-26,37.20000076293945
2010-03-29,37.18000030517578
2010-03-30,36.86000061035156
2010-03-31,36.08000183105469
2010-04-01,36.63999938964844
2010-04-05,35.90999984741211
2010-04-06,35.02000045776367
2010-04-07,35.290000915527344
2010-04-08,36.290000915527344
2010-04-09,38.2400016784668
2010-04-12,38.13999938964844
2010-04-13,37.54999923706055
2010-04-14,38.59000015258789
2010-04-15,39.900001525878906
2010-04-16,38.65999984741211
2010-04-19,38.33000183105469
2010-04-20,38.25
2010-04-21,37.4900016784668
2010-04-22,37.5099983215332
2010-04-23,38.65999984741211
2010-04-26,37.900001525878906
2010-04-27,37.130001068115234
2010-04-28,38.439998626708984
2010-04-29,35.58000183105469
2010-04-30,35.279998779296875
2010-05-03,34.220001220703125
2010-05-04,35.310001373291016
2010-05-05,33.63999938964844
2010-05-06,33.25
2010-05-07,33.40999984741211
2010-05-10,34.630001068115234
2010-05-11,34.9900016784668
2010-05-12,37.619998931884766
2010-05-13,35.79999923706055
2010-05-14,35.439998626708984
2010-05-17,35.81999969482422
2010-05-18,34.5
2010-05-19,36.0099983215332
