Date,CBLL
2024-10-11,25.0
2024-10-14,25.5
2024-10-15,25.530000686645508
2024-10-16,26.43000030517578
2024-10-17,26.5
2024-10-18,26.670000076293945
2024-10-21,27.049999237060547
2024-10-22,26.350000381469727
2024-10-23,26.209999084472656
2024-10-24,26.43000030517578
2024-10-25,26.280000686645508
2024-10-28,25.959999084472656
2024-10-29,26.200000762939453
2024-10-30,26.010000228881836
2024-10-31,26.290000915527344
2024-11-01,26.420000076293945
2024-11-04,26.239999771118164
2024-11-05,26.959999084472656
2024-11-06,27.780000686645508
2024-11-07,28.950000762939453
2024-11-08,28.270000457763672
2024-11-11,28.899999618530273
2024-11-12,28.850000381469727
2024-11-13,27.8799991607666
2024-11-14,27.549999237060547
2024-11-15,26.530000686645508
2024-11-18,25.0
2024-11-19,25.56999969482422
2024-11-20,25.059999465942383
2024-11-21,25.229999542236328
2024-11-22,26.309999465942383
2024-11-25,28.940000534057617
2024-11-26,27.68000030517578
2024-11-27,28.84000015258789
2024-11-29,28.790000915527344
2024-12-02,28.020000457763672
2024-12-03,29.469999313354492
2024-12-04,28.940000534057617
2024-12-05,28.280000686645508
2024-12-06,30.239999771118164
2024-12-09,30.040000915527344
2024-12-10,29.625
2024-12-11,29.610000610351562
2024-12-12,29.200000762939453
2024-12-13,29.219999313354492
2024-12-16,28.600000381469727
2024-12-17,27.43000030517578
2024-12-18,26.920000076293945
2024-12-19,26.729999542236328
2024-12-20,26.920000076293945
2024-12-23,26.719999313354492
2024-12-24,26.979999542236328
2024-12-26,26.479999542236328
2024-12-27,26.450000762939453
2024-12-30,25.860000610351562
2024-12-31,25.8799991607666
2025-01-02,25.860000610351562
2025-01-03,24.290000915527344
2025-01-06,22.549999237060547
2025-01-07,23.440000534057617
2025-01-08,23.020000457763672
2025-01-10,20.93000030517578
2025-01-13,20.84000015258789
2025-01-14,19.09000015258789
2025-01-15,20.030000686645508
2025-01-16,20.149999618530273
2025-01-17,21.040000915527344
2025-01-21,22.940000534057617
2025-01-22,23.239999771118164
2025-01-23,23.06999969482422
2025-01-24,22.959999084472656
2025-01-27,22.6200008392334
2025-01-28,23.329999923706055
2025-01-29,23.25
2025-01-30,23.799999237060547
2025-01-31,23.010000228881836
2025-02-03,23.170000076293945
2025-02-04,22.979999542236328
2025-02-05,22.950000762939453
2025-02-06,22.610000610351562
2025-02-07,21.270000457763672
2025-02-10,21.440000534057617
2025-02-11,21.84000015258789
2025-02-12,22.31999969482422
2025-02-13,21.899999618530273
2025-02-14,21.440000534057617
2025-02-18,21.969999313354492
2025-02-19,22.149999618530273
2025-02-20,23.110000610351562
2025-02-21,24.690000534057617
2025-02-24,25.43000030517578
2025-02-25,25.540000915527344
2025-02-26,25.200000762939453
2025-02-27,23.760000228881836
2025-02-28,23.239999771118164
2025-03-03,24.6200008392334
2025-03-04,23.760000228881836
2025-03-05,23.34000015258789
2025-03-06,22.219999313354492
2025-03-07,22.690000534057617
2025-03-10,22.209999084472656
2025-03-11,23.229999542236328
2025-03-12,21.559999465942383
2025-03-13,21.399999618530273
2025-03-14,21.030000686645508
2025-03-17,20.469999313354492
2025-03-18,20.68000030517578
2025-03-19,20.635000228881836
2025-03-20,20.270000457763672
2025-03-21,20.420000076293945
2025-03-24,21.049999237060547
2025-03-25,20.15999984741211
2025-03-26,19.56999969482422
2025-03-27,19.829999923706055
2025-03-28,19.459999084472656
2025-03-31,19.209999084472656
2025-04-01,18.770000457763672
2025-04-02,19.239999771118164
2025-04-03,18.729999542236328
2025-04-04,18.440000534057617
2025-04-07,18.190000534057617
2025-04-08,16.969999313354492
2025-04-09,19.229999542236328
2025-04-10,11.149999618530273
2025-04-11,15.0
