Date,EXP
2010-01-04,23.268117904663086
2010-01-05,22.80868911743164
2010-01-06,22.628536224365234
2010-01-07,22.331256866455078
2010-01-08,22.17812156677246
2010-01-11,22.26820182800293
2010-01-12,22.30423927307129
2010-01-13,22.835718154907227
2010-01-14,22.790674209594727
2010-01-15,22.556467056274414
2010-01-19,22.682573318481445
2010-01-20,22.646549224853516
2010-01-21,22.088037490844727
2010-01-22,21.772747039794922
2010-01-25,21.637636184692383
2010-01-26,21.745723724365234
2010-01-27,20.88094711303711
2010-01-28,20.610706329345703
2010-01-29,20.547643661499023
2010-02-01,20.94399070739746
2010-02-02,21.421438217163086
2010-02-03,21.007057189941406
2010-02-04,20.547643661499023
2010-02-05,20.889942169189453
2010-02-08,20.33144760131836
2010-02-09,20.187318801879883
2010-02-10,19.980121612548828
2010-02-11,20.10624122619629
2010-02-12,20.37649154663086
2010-02-16,21.457469940185547
2010-02-17,21.385406494140625
2010-02-18,21.556554794311523
2010-02-19,21.4844970703125
2010-02-22,21.4844970703125
2010-02-23,21.637636184692383
2010-02-24,21.70969581604004
2010-02-25,21.529531478881836
2010-02-26,21.25027847290039
2010-03-01,21.78176498413086
2010-03-02,21.790771484375
2010-03-03,21.718700408935547
2010-03-04,21.619606018066406
2010-03-05,22.015979766845703
2010-03-08,22.61051368713379
2010-03-09,22.96183204650879
2010-03-10,23.07893943786621
2010-03-11,23.358186721801758
2010-03-12,23.08795166015625
2010-03-15,22.637535095214844
2010-03-16,22.96183204650879
2010-03-17,23.844633102416992
2010-03-18,23.338258743286133
2010-03-19,23.29304313659668
2010-03-22,23.826547622680664
2010-03-23,23.60049057006836
2010-03-24,23.473892211914062
2010-03-25,23.130285263061523
2010-03-26,23.29304313659668
2010-03-29,24.052600860595703
2010-03-30,24.278663635253906
2010-03-31,23.998350143432617
2010-04-01,24.341955184936523
2010-04-05,24.63131332397461
2010-04-06,24.522815704345703
2010-04-07,24.522815704345703
2010-04-08,25.12864112854004
2010-04-09,26.286067962646484
2010-04-12,25.906286239624023
2010-04-13,25.906286239624023
2010-04-14,26.394573211669922
2010-04-15,26.548288345336914
2010-04-16,26.421701431274414
2010-04-19,26.078088760375977
2010-04-20,26.747217178344727
2010-04-21,27.56102752685547
2010-04-22,29.09823989868164
2010-04-23,29.342363357543945
2010-04-26,29.487043380737305
2010-04-27,28.311542510986328
2010-04-28,27.759958267211914
2010-04-29,29.053024291992188
2010-04-30,28.817920684814453
2010-05-03,29.649810791015625
2010-05-04,28.96259880065918
2010-05-05,28.69132423400879
2010-05-06,27.78708839416504
2010-05-07,26.79242515563965
2010-05-10,28.46526527404785
2010-05-11,28.203044891357422
2010-05-12,29.170568466186523
2010-05-13,28.93546485900879
2010-05-14,27.63336753845215
2010-05-17,27.362102508544922
2010-05-18,27.47060775756836
2010-05-19,27.371145248413086
2010-05-20,25.88820457458496
2010-05-21,26.41265869140625
2010-05-24,26.86477279663086
2010-05-25,26.93710708618164
2010-05-26,26.765300750732422
2010-05-27,28.02219009399414
2010-05-28,27.74187469482422
2010-06-01,26.75625991821289
2010-06-02,27.29880142211914
2010-06-03,27.262638092041016
2010-06-04,24.92067527770996
2010-06-07,24.658445358276367
2010-06-08,24.685571670532227
2010-06-09,24.387165069580078
2010-06-10,25.228103637695312
2010-06-11,25.29140853881836
2010-06-14,26.005754470825195
2010-06-15,26.2318058013916
2010-06-16,25.74352264404297
2010-06-17,25.04726219177246
2010-06-18,24.647958755493164
2010-06-21,25.04726219177246
