Date,ST
2010-03-11,17.67700958251953
2010-03-12,17.333023071289062
2010-03-15,17.103696823120117
2010-03-16,17.103696823120117
2010-03-17,17.34257698059082
2010-03-18,17.552793502807617
2010-03-19,17.466796875
2010-03-22,17.476350784301758
2010-03-23,17.35213279724121
2010-03-24,17.199251174926758
2010-03-25,17.199251174926758
2010-03-26,17.199251174926758
2010-03-29,17.313915252685547
2010-03-30,17.199251174926758
2010-03-31,17.16103172302246
2010-04-01,17.247024536132812
2010-04-05,17.218364715576172
2010-04-06,17.16103172302246
2010-04-07,17.495458602905273
2010-04-08,17.67700958251953
2010-04-09,18.154766082763672
2010-04-12,18.154766082763672
2010-04-13,18.19298553466797
2010-04-14,18.450971603393555
2010-04-15,18.55607795715332
2010-04-16,18.38408660888672
2010-04-19,18.221654891967773
2010-04-20,18.966951370239258
2010-04-21,19.588035583496094
2010-04-22,19.865131378173828
2010-04-23,19.559370040893555
2010-04-26,19.224939346313477
2010-04-27,19.339603424072266
2010-04-28,19.44470977783203
2010-04-29,19.68358612060547
2010-04-30,19.110279083251953
2010-05-03,19.033838272094727
2010-05-04,18.842735290527344
2010-05-05,18.737628936767578
2010-05-06,18.154766082763672
2010-05-07,17.42857551574707
2010-05-10,18.28853416442871
2010-05-11,18.03054428100586
2010-05-12,18.24076271057129
2010-05-13,18.622968673706055
2010-05-14,18.39364242553711
2010-05-17,18.326757431030273
2010-05-18,18.2980899810791
2010-05-19,18.154766082763672
2010-05-20,17.008146286010742
2010-05-21,16.931705474853516
2010-05-24,16.434843063354492
2010-05-25,15.851974487304688
2010-05-26,15.737314224243164
2010-05-27,16.081300735473633
2010-05-28,15.890196800231934
2010-06-01,15.708649635314941
2010-06-02,16.04308319091797
2010-06-03,16.081300735473633
2010-06-04,15.813754081726074
2010-06-07,15.77553653717041
2010-06-08,14.858241081237793
2010-06-09,15.670428276062012
2010-06-10,16.444395065307617
2010-06-11,16.692829132080078
2010-06-14,16.511281967163086
2010-06-15,16.5303897857666
2010-06-16,16.740604400634766
2010-06-17,16.769271850585938
2010-06-18,17.256582260131836
2010-06-21,17.524127960205078
2010-06-22,17.294801712036133
2010-06-23,17.199251174926758
2010-06-24,16.711936950683594
2010-06-25,16.29151153564453
2010-06-28,16.387065887451172
2010-06-29,15.25000286102295
2010-06-30,15.278670310974121
2010-07-01,15.25000286102295
2010-07-02,15.288223266601562
2010-07-06,15.765982627868652
2010-07-07,15.546210289001465
2010-07-08,15.364664077758789
2010-07-09,15.383774757385254
2010-07-12,15.345556259155273
2010-07-13,16.014413833618164
2010-07-14,15.813754081726074
2010-07-15,16.09085464477539
2010-07-16,15.84242057800293
2010-07-19,15.536654472351074
2010-07-20,15.861532211303711
2010-07-21,15.861532211303711
2010-07-22,15.632208824157715
2010-07-23,15.727760314941406
2010-07-26,15.622651100158691
2010-07-27,15.574877738952637
2010-07-28,15.307334899902344
2010-07-29,15.288223266601562
2010-07-30,15.479327201843262
2010-08-02,15.77553653717041
2010-08-03,15.84242057800293
2010-08-04,16.004858016967773
2010-08-05,15.918862342834473
2010-08-06,15.832864761352539
2010-08-09,16.960372924804688
2010-08-10,16.683271408081055
2010-08-11,16.176851272583008
2010-08-12,15.813754081726074
2010-08-13,16.004858016967773
2010-08-16,16.30106544494629
2010-08-17,16.645050048828125
2010-08-18,16.731048583984375
2010-08-19,16.62594223022461
2010-08-20,16.53994369506836
2010-08-23,16.33928871154785
2010-08-24,16.014413833618164
2010-08-25,15.65131664276123
2010-08-26,15.584429740905762
2010-08-27,16.14818572998047
2010-08-30,16.119522094726562
2010-08-31,16.119522094726562
2010-09-01,16.90304183959961
2010-09-02,17.113258361816406
2010-09-03,17.600566864013672
2010-09-07,17.36168670654297
2010-09-08,17.39035415649414
2010-09-09,17.638784408569336
2010-09-10,17.667451858520508
2010-09-13,17.68657112121582
2010-09-14,17.858558654785156
2010-09-15,18.19298553466797
2010-09-16,18.489194869995117
2010-09-17,19.04339027404785
2010-09-20,18.355422973632812
2010-09-21,18.040103912353516
2010-09-22,18.60385513305664
