Date,PRI
2010-04-01,16.53681755065918
2010-04-05,16.70512580871582
2010-04-06,16.66305160522461
2010-04-07,16.839780807495117
2010-04-08,17.925403594970703
2010-04-09,19.642200469970703
2010-04-12,20.542678833007812
2010-04-13,20.997119903564453
2010-04-14,20.83722686767578
2010-04-15,19.179338455200195
2010-04-16,19.170923233032227
2010-04-19,19.608543395996094
2010-04-20,19.945167541503906
2010-04-21,19.936748504638672
2010-04-22,20.25654411315918
2010-04-23,20.736238479614258
2010-04-26,21.056039810180664
2010-04-27,20.76148796081543
2010-04-28,20.029325485229492
2010-04-29,19.97040367126465
2010-04-30,19.96199607849121
2010-05-03,19.987239837646484
2010-05-04,19.995656967163086
2010-05-05,20.09664535522461
2010-05-06,20.416446685791016
2010-05-07,20.466936111450195
2010-05-10,20.736238479614258
2010-05-11,20.92138671875
2010-05-12,21.165433883666992
2010-05-13,21.44315528869629
2010-05-14,20.660493850708008
2010-05-17,20.517433166503906
2010-05-18,20.542678833007812
2010-05-19,20.584747314453125
2010-05-20,19.398147583007812
2010-05-21,20.020904541015625
2010-05-24,20.105058670043945
2010-05-25,20.071401596069336
2010-05-26,19.760011672973633
2010-05-27,20.14714241027832
2010-05-28,19.945167541503906
2010-06-01,19.978822708129883
2010-06-02,20.113475799560547
2010-06-03,19.869421005249023
2010-06-04,19.162504196166992
2010-06-07,18.253612518310547
2010-06-08,17.656097412109375
2010-06-09,17.731834411621094
2010-06-10,18.04322052001953
2010-06-11,18.026391983032227
2010-06-14,18.110546112060547
2010-06-15,18.169450759887695
2010-06-16,18.144208908081055
2010-06-17,18.009553909301758
2010-06-18,18.001142501831055
2010-06-21,18.08530044555664
2010-06-22,18.346189498901367
2010-06-23,18.68281364440918
2010-06-24,18.573400497436523
2010-06-25,19.0615234375
2010-06-28,18.539749145507812
2010-06-29,18.304107666015625
2010-06-30,18.04322052001953
2010-07-01,18.04322052001953
2010-07-02,18.22836685180664
2010-07-06,18.001142501831055
2010-07-07,17.84124755859375
2010-07-08,17.48778533935547
2010-07-09,17.597185134887695
2010-07-12,17.311054229736328
2010-07-13,17.858070373535156
2010-07-14,17.656097412109375
2010-07-15,17.639266967773438
2010-07-16,17.992725372314453
2010-07-19,17.765501022338867
2010-07-20,18.13578987121582
2010-07-21,17.622434616088867
2010-07-22,18.001142501831055
2010-07-23,18.590234756469727
2010-07-26,19.0615234375
2010-07-27,19.440229415893555
2010-07-28,19.238245010375977
2010-07-29,19.440229415893555
2010-07-30,19.66744613647461
2010-08-02,19.726350784301758
2010-08-03,19.019441604614258
2010-08-04,19.440229415893555
2010-08-05,19.238245010375977
2010-08-06,18.842708587646484
2010-08-09,19.103599548339844
2010-08-10,18.548160552978516
2010-08-11,17.824420928955078
2010-08-12,17.782331466674805
2010-08-13,17.64767837524414
2010-08-16,17.84124755859375
2010-08-17,17.992725372314453
2010-08-18,17.9085693359375
2010-08-19,17.513036727905273
2010-08-20,17.69818115234375
2010-08-23,17.689754486083984
2010-08-24,17.361385345458984
2010-08-25,17.31928825378418
2010-08-26,17.260347366333008
2010-08-27,18.14441680908203
2010-08-30,17.672916412353516
2010-08-31,17.70659828186035
2010-09-01,18.304401397705078
2010-09-02,18.413854598999023
2010-09-03,18.540151596069336
2010-09-07,17.891826629638672
2010-09-08,17.622398376464844
2010-09-09,17.91708755493164
2010-09-10,17.95077133178711
2010-09-13,17.555044174194336
2010-09-14,17.90024757385254
2010-09-15,17.90867042541504
2010-09-16,18.08548355102539
2010-09-17,18.253873825073242
2010-09-20,18.34649085998535
2010-09-21,18.203353881835938
2010-09-22,17.5466251373291
2010-09-23,17.1929931640625
2010-09-24,17.428752899169922
2010-09-27,17.049856185913086
2010-09-28,17.352970123291016
2010-09-29,17.09195899963379
2010-09-30,17.125633239746094
2010-10-01,17.260347366333008
2010-10-04,17.235090255737305
2010-10-05,17.344554901123047
2010-10-06,17.294029235839844
2010-10-07,17.260347366333008
2010-10-08,17.260347366333008
2010-10-11,17.31087875366211
2010-10-12,17.218257904052734
2010-10-13,17.327713012695312
2010-10-14,17.352970123291016
2010-10-15,17.5382022857666
2010-10-18,17.69818115234375
2010-10-19,17.672916412353516
2010-10-20,17.77395248413086
2010-10-21,17.86656951904297
2010-10-22,17.90024757385254
2010-10-25,17.82447624206543
2010-10-26,17.95918846130371
2010-10-27,17.765533447265625
2010-10-28,17.841312408447266
2010-10-29,17.782379150390625
2010-11-01,17.689754486083984
2010-11-02,17.91708755493164
2010-11-03,17.95077133178711
2010-11-04,18.641172409057617
2010-11-05,18.531726837158203
2010-11-08,18.009708404541016
2010-11-09,17.748695373535156
2010-11-10,18.01812171936035
2010-11-11,18.624340057373047
2010-11-12,18.59908103942871
2010-11-15,18.590669631958008
2010-11-16,18.4896297454834
2010-11-17,18.34649085998535
2010-11-18,18.514883041381836
2010-11-19,18.733797073364258
2010-11-22,18.750646591186523
2010-11-23,18.649560928344727
2010-11-24,18.657983779907227
2010-11-26,18.733800888061523
2010-11-29,18.700109481811523
2010-11-30,19.02861976623535
2010-12-01,19.23078155517578
2010-12-02,19.365558624267578
2010-12-03,19.550870895385742
2010-12-06,19.837270736694336
2010-12-07,19.72776222229004
2010-12-08,19.77829933166504
2010-12-09,19.9551944732666
2010-12-10,20.0899715423584
2010-12-13,19.9720401763916
2010-12-14,20.047863006591797
2010-12-15,19.837270736694336
2010-12-16,20.31741714477539
2010-12-17,20.51957130432129
2010-12-20,21.016565322875977
2010-12-21,20.864938735961914
2010-12-22,21.050264358520508
2010-12-23,20.367950439453125
