Date,IBKR
2010-01-04,2.722165822982788
2010-01-05,2.6608211994171143
2010-01-06,2.670022487640381
2010-01-07,2.6868929862976074
2010-01-08,2.6470189094543457
2010-01-11,2.6148126125335693
2010-01-12,2.591808795928955
2010-01-13,2.5887417793273926
2010-01-14,2.5734059810638428
2010-01-15,2.5135936737060547
2010-01-19,2.5289313793182373
2010-01-20,2.4997923374176025
2010-01-21,2.5304646492004395
2010-01-22,2.4476494789123535
2010-01-25,2.4476494789123535
2010-01-26,2.4231109619140625
2010-01-27,2.475254535675049
2010-01-28,2.467585802078247
2010-01-29,2.4384477138519287
2010-02-01,2.4737210273742676
2010-02-02,2.51206111907959
2010-02-03,2.492124319076538
2010-02-04,2.4476494789123535
2010-02-05,2.5304646492004395
2010-02-08,2.4905896186828613
2010-02-09,2.493657112121582
2010-02-10,2.5151283740997314
2010-02-11,2.5304646492004395
2010-02-12,2.596409797668457
2010-02-16,2.582606792449951
2010-02-17,2.574939489364624
2010-02-18,2.6286158561706543
2010-02-19,2.6546878814697266
2010-02-22,2.6148126125335693
2010-02-23,2.553468942642212
2010-02-24,2.5718729496002197
2010-02-25,2.602544069290161
2010-02-26,2.6424179077148438
2010-03-01,2.6424179077148438
2010-03-02,2.639350652694702
2010-03-03,2.5994770526885986
2010-03-04,2.619413137435913
2010-03-05,2.6270816326141357
2010-03-08,2.619413137435913
2010-03-09,2.5688045024871826
2010-03-10,2.538132667541504
2010-03-11,2.559603214263916
2010-03-12,2.553468942642212
2010-03-15,2.502859115600586
2010-03-16,2.518195152282715
2010-03-17,2.524329662322998
2010-03-18,2.5289313793182373
2010-03-19,2.559603214263916
2010-03-22,2.5258631706237793
2010-03-23,2.493657112121582
2010-03-24,2.487523317337036
2010-03-25,2.470653772354126
2010-03-26,2.472187042236328
2010-03-29,2.4737210273742676
2010-03-30,2.478321075439453
2010-03-31,2.476788282394409
2010-04-01,2.518195152282715
2010-04-05,2.493657112121582
2010-04-06,2.493657112121582
2010-04-07,2.507460117340088
2010-04-08,2.5105276107788086
2010-04-09,2.544267177581787
2010-04-12,2.5458004474639893
2010-04-13,2.527397394180298
2010-04-14,2.5319981575012207
2010-04-15,2.5365986824035645
2010-04-16,2.4982590675354004
2010-04-19,2.527397394180298
2010-04-20,2.4997923374176025
2010-04-21,2.479855537414551
2010-04-22,2.476788282394409
2010-04-23,2.6086788177490234
2010-04-26,2.5887417793273926
2010-04-27,2.5319981575012207
2010-04-28,2.5304646492004395
2010-04-29,2.610212802886963
2010-04-30,2.6301491260528564
2010-05-03,2.6454854011535645
2010-05-04,2.590275526046753
2010-05-05,2.5672709941864014
2010-05-06,2.6301491260528564
2010-05-07,2.5672709941864014
2010-05-10,2.6010100841522217
2010-05-11,2.5933425426483154
2010-05-12,2.643951892852783
2010-05-13,2.6776909828186035
2010-05-14,2.6792240142822266
