Date,SEAT
2021-10-20,260.5672607421875
2021-10-21,241.68844604492188
2021-10-22,233.822265625
2021-10-25,252.7010955810547
2021-10-26,265.483642578125
2021-10-27,270.3999938964844
2021-10-28,273.0
2021-10-29,270.0
2021-11-01,262.20001220703125
2021-11-02,260.3999938964844
2021-11-03,267.20001220703125
2021-11-04,266.0
2021-11-05,267.79998779296875
2021-11-08,268.20001220703125
2021-11-09,270.3999938964844
2021-11-10,263.20001220703125
2021-11-11,264.0
2021-11-12,265.0
2021-11-15,264.0
2021-11-16,255.0
2021-11-17,251.0
2021-11-18,253.39999389648438
2021-11-19,246.60000610351562
2021-11-22,250.60000610351562
2021-11-23,235.0
2021-11-24,231.0
2021-11-26,233.60000610351562
2021-11-29,232.0
2021-11-30,232.0
2021-12-01,217.1999969482422
2021-12-02,212.0
2021-12-03,201.39999389648438
2021-12-06,206.1999969482422
2021-12-07,212.0
2021-12-08,220.0
2021-12-09,206.1999969482422
2021-12-10,203.0
2021-12-13,198.8000030517578
2021-12-14,199.0
2021-12-15,203.0
2021-12-16,196.39999389648438
2021-12-17,194.0
2021-12-20,191.1999969482422
2021-12-21,206.1999969482422
2021-12-22,218.1999969482422
2021-12-23,216.1999969482422
2021-12-27,221.8000030517578
2021-12-28,215.8000030517578
2021-12-29,217.1999969482422
2021-12-30,220.0
2021-12-31,217.60000610351562
2022-01-03,230.39999389648438
2022-01-04,236.8000030517578
2022-01-05,231.1999969482422
2022-01-06,233.8000030517578
2022-01-07,227.0
2022-01-10,219.8000030517578
2022-01-11,222.1999969482422
2022-01-12,218.60000610351562
2022-01-13,215.0
2022-01-14,222.0
2022-01-18,216.39999389648438
2022-01-19,212.60000610351562
2022-01-20,203.1999969482422
2022-01-21,186.8000030517578
2022-01-24,192.1999969482422
2022-01-25,184.39999389648438
2022-01-26,172.0
2022-01-27,162.8000030517578
2022-01-28,164.1999969482422
2022-01-31,178.0
2022-02-01,187.39999389648438
2022-02-02,172.60000610351562
2022-02-03,166.60000610351562
2022-02-04,174.39999389648438
2022-02-07,182.0
2022-02-08,190.39999389648438
2022-02-09,204.8000030517578
