Date,LAD
2010-01-04,6.930089473724365
2010-01-05,7.6179375648498535
2010-01-06,8.039249420166016
2010-01-07,7.781301975250244
2010-01-08,7.936070919036865
2010-01-11,7.944665908813477
2010-01-12,7.858682632446289
2010-01-13,7.961859226226807
2010-01-14,7.635136127471924
2010-01-15,7.46317195892334
2010-01-19,7.5577521324157715
2010-01-20,7.265416145324707
2010-01-21,7.033267021179199
2010-01-22,7.050461769104004
2010-01-25,6.8011155128479
2010-01-26,6.887099266052246
2010-01-27,6.9128923416137695
2010-01-28,6.732331275939941
2010-01-29,6.706536769866943
2010-02-01,6.7753214836120605
2010-02-02,6.964481353759766
2010-02-03,6.732331275939941
2010-02-04,5.158875942230225
2010-02-05,5.0041093826293945
2010-02-08,4.746163845062256
2010-02-09,4.634388446807861
2010-02-10,4.548407554626465
2010-02-11,4.814949035644531
2010-02-12,4.94392204284668
2010-02-16,5.12448263168335
2010-02-17,5.30504035949707
2010-02-18,5.425414562225342
2010-02-19,5.356630802154541
2010-02-22,5.588780403137207
2010-02-23,5.554388523101807
2010-02-24,5.666163921356201
2010-02-25,5.743547439575195
2010-02-26,5.485604763031006
2010-03-01,5.8811163902282715
2010-03-02,5.8811163902282715
2010-03-03,5.812334060668945
2010-03-04,5.786538124084473
2010-03-05,5.769341945648193
2010-03-08,5.62317419052124
2010-03-09,5.528592586517334
2010-03-10,5.597381114959717
2010-03-11,5.67476224899292
2010-03-12,5.666163921356201
2010-03-15,5.545790672302246
2010-03-16,5.752145290374756
2010-03-17,6.0788750648498535
2010-03-18,5.924106121063232
2010-03-19,5.752145290374756
2010-03-22,5.846724510192871
2010-03-23,6.070275783538818
2010-03-24,5.8811163902282715
2010-03-25,5.752145290374756
2010-03-26,5.872517108917236
2010-03-29,5.769341945648193
2010-03-30,5.67476224899292
2010-03-31,5.502800464630127
2010-04-01,5.932706832885742
2010-04-05,5.9756975173950195
2010-04-06,5.8381266593933105
2010-04-07,6.182050704956055
2010-04-08,6.397005558013916
2010-04-09,6.534573554992676
2010-04-12,6.9128923416137695
2010-04-13,6.706536769866943
2010-04-14,7.110647678375244
2010-04-15,7.231022357940674
2010-04-16,6.955883502960205
2010-04-19,6.852705001831055
2010-04-20,6.9128923416137695
2010-04-21,7.222423076629639
2010-04-22,7.764105796813965
2010-04-23,7.832890033721924
2010-04-26,7.867283344268799
2010-04-27,7.231022357940674
2010-04-28,6.766724109649658
2010-04-29,7.248219013214111
2010-04-30,6.86130428314209
2010-05-03,7.6179375648498535
2010-05-04,7.188030242919922
2010-05-05,6.930089473724365
2010-05-06,6.921490669250488
2010-05-07,6.5517706871032715
2010-05-10,7.205228805541992
2010-05-11,7.231022357940674
2010-05-12,7.56835412979126
2010-05-13,7.429962635040283
2010-05-14,7.066680431365967
2010-05-17,7.646202564239502
2010-05-18,7.049381732940674
2010-05-19,6.80719518661499
2010-05-20,6.158478736877441
2010-05-21,6.556358337402344
2010-05-24,6.521759033203125
2010-05-25,6.82449197769165
2010-05-26,6.712048530578613
2010-05-27,7.179126739501953
