Date,EMN
2010-01-04,19.880680084228516
2010-01-05,19.6263427734375
2010-01-06,19.494338989257812
2010-01-07,19.542621612548828
2010-01-08,19.594139099121094
2010-01-11,19.603801727294922
2010-01-12,19.397747039794922
2010-01-13,19.825942993164062
2010-01-14,19.542621612548828
2010-01-15,19.45248031616211
2010-01-19,19.89999771118164
2010-01-20,19.616682052612305
2010-01-21,18.914817810058594
2010-01-22,18.483388900756836
2010-01-25,18.708755493164062
2010-01-26,18.57676124572754
2010-01-27,18.692668914794922
2010-01-28,18.344955444335938
2010-01-29,18.20008087158203
2010-02-01,19.30760955810547
2010-02-02,19.19169807434082
2010-02-03,19.08867073059082
2010-02-04,18.505929946899414
2010-02-05,18.557445526123047
2010-02-08,18.219398498535156
2010-02-09,18.628276824951172
2010-02-10,18.464080810546875
2010-02-11,18.621843338012695
2010-02-12,18.67013168334961
2010-02-16,19.101551055908203
2010-02-17,19.091890335083008
2010-02-18,19.27219009399414
2010-02-19,19.32370376586914
2010-02-22,19.40418815612793
2010-02-23,18.998517990112305
2010-02-24,19.178815841674805
2010-02-25,19.120872497558594
2010-02-26,19.172380447387695
2010-03-01,19.336576461791992
2010-03-02,19.48788833618164
2010-03-03,19.655309677124023
2010-03-04,19.722919464111328
2010-03-05,19.880680084228516
2010-03-08,19.880680084228516
2010-03-09,19.77765655517578
2010-03-10,19.825942993164062
2010-03-11,20.04319953918457
2010-03-12,20.082122802734375
2010-03-15,19.962142944335938
2010-03-16,20.176162719726562
2010-03-17,20.468006134033203
2010-03-18,20.221559524536133
2010-03-19,19.848648071289062
2010-03-22,20.292898178100586
2010-03-23,20.383691787719727
2010-03-24,20.552310943603516
2010-03-25,20.412879943847656
2010-03-26,20.5490665435791
2010-03-29,20.7501220703125
2010-03-30,20.86686134338379
2010-03-31,20.649599075317383
2010-04-01,21.067907333374023
2010-04-05,21.470001220703125
2010-04-06,21.327320098876953
2010-04-07,21.3532657623291
2010-04-08,21.34354019165039
2010-04-09,21.693750381469727
2010-04-12,21.408388137817383
2010-04-13,21.350019454956055
2010-04-14,21.52837562561035
2010-04-15,21.632137298583984
2010-04-16,21.1749210357666
2010-04-19,21.25922966003418
2010-04-20,21.573762893676758
2010-04-21,21.62564468383789
2010-04-22,21.76509666442871
2010-04-23,23.062177658081055
