Date,ZETA
2021-06-10,8.890000343322754
2021-06-11,8.270000457763672
2021-06-14,8.630000114440918
2021-06-15,8.920000076293945
2021-06-16,8.380000114440918
2021-06-17,8.260000228881836
2021-06-18,8.25
2021-06-21,8.359999656677246
2021-06-22,8.569999694824219
2021-06-23,8.739999771118164
2021-06-24,8.550000190734863
2021-06-25,8.420000076293945
2021-06-28,8.069999694824219
2021-06-29,8.170000076293945
2021-06-30,8.399999618530273
2021-07-01,7.989999771118164
2021-07-02,8.09000015258789
2021-07-06,7.840000152587891
2021-07-07,7.389999866485596
2021-07-08,7.159999847412109
2021-07-09,7.25
2021-07-12,6.789999961853027
2021-07-13,6.460000038146973
2021-07-14,6.079999923706055
2021-07-15,6.289999961853027
2021-07-16,6.079999923706055
2021-07-19,6.039999961853027
2021-07-20,6.010000228881836
2021-07-21,6.050000190734863
2021-07-22,6.420000076293945
2021-07-23,6.210000038146973
2021-07-26,6.179999828338623
2021-07-27,6.070000171661377
2021-07-28,5.980000019073486
2021-07-29,6.019999980926514
2021-07-30,6.03000020980835
2021-08-02,6.230000019073486
2021-08-03,5.909999847412109
2021-08-04,5.949999809265137
2021-08-05,6.039999961853027
2021-08-06,6.090000152587891
2021-08-09,6.099999904632568
2021-08-10,5.889999866485596
2021-08-11,5.460000038146973
2021-08-12,5.949999809265137
2021-08-13,5.809999942779541
2021-08-16,5.480000019073486
2021-08-17,5.75
2021-08-18,6.0
2021-08-19,5.670000076293945
2021-08-20,5.869999885559082
2021-08-23,6.25
2021-08-24,6.409999847412109
2021-08-25,6.510000228881836
2021-08-26,6.730000019073486
2021-08-27,7.110000133514404
2021-08-30,6.380000114440918
2021-08-31,6.769999980926514
2021-09-01,6.889999866485596
2021-09-02,7.139999866485596
2021-09-03,7.380000114440918
2021-09-07,7.010000228881836
2021-09-08,6.96999979019165
2021-09-09,6.769999980926514
2021-09-10,6.920000076293945
2021-09-13,6.789999961853027
2021-09-14,6.670000076293945
2021-09-15,6.690000057220459
2021-09-16,6.869999885559082
2021-09-17,6.309999942779541
2021-09-20,6.110000133514404
2021-09-21,5.980000019073486
2021-09-22,5.929999828338623
2021-09-23,6.21999979019165
2021-09-24,6.0
2021-09-27,5.800000190734863
2021-09-28,5.630000114440918
2021-09-29,5.429999828338623
2021-09-30,5.860000133514404
2021-10-01,6.170000076293945
2021-10-04,6.300000190734863
2021-10-05,8.220000267028809
2021-10-06,8.010000228881836
2021-10-07,7.989999771118164
2021-10-08,8.579999923706055
2021-10-11,7.860000133514404
2021-10-12,7.96999979019165
2021-10-13,8.0
2021-10-14,7.960000038146973
2021-10-15,7.940000057220459
2021-10-18,8.149999618530273
2021-10-19,8.260000228881836
2021-10-20,7.989999771118164
2021-10-21,8.350000381469727
2021-10-22,8.180000305175781
2021-10-25,8.850000381469727
2021-10-26,8.630000114440918
2021-10-27,8.270000457763672
2021-10-28,8.0
2021-10-29,8.260000228881836
2021-11-01,8.479999542236328
2021-11-02,8.890000343322754
2021-11-03,9.0
2021-11-04,8.960000038146973
2021-11-05,9.199999809265137
2021-11-08,10.260000228881836
2021-11-09,9.899999618530273
2021-11-10,9.899999618530273
2021-11-11,9.880000114440918
2021-11-12,9.479999542236328
2021-11-15,9.279999732971191
2021-11-16,9.140000343322754
2021-11-17,8.989999771118164
2021-11-18,8.640000343322754
2021-11-19,8.4399995803833
2021-11-22,8.289999961853027
2021-11-23,8.279999732971191
2021-11-24,8.550000190734863
2021-11-26,8.350000381469727
2021-11-29,8.289999961853027
2021-11-30,8.329999923706055
2021-12-01,7.900000095367432
2021-12-02,8.180000305175781
2021-12-03,7.599999904632568
2021-12-06,7.909999847412109
2021-12-07,8.789999961853027
2021-12-08,8.880000114440918
2021-12-09,8.460000038146973
2021-12-10,8.449999809265137
2021-12-13,8.5
2021-12-14,8.520000457763672
2021-12-15,8.149999618530273
2021-12-16,7.78000020980835
2021-12-17,8.149999618530273
2021-12-20,7.880000114440918
2021-12-21,8.359999656677246
2021-12-22,8.270000457763672
2021-12-23,8.399999618530273
2021-12-27,8.460000038146973
2021-12-28,8.020000457763672
2021-12-29,8.029999732971191
2021-12-30,8.220000267028809
2021-12-31,8.420000076293945
2022-01-03,8.65999984741211
2022-01-04,8.5600004196167
2022-01-05,8.029999732971191
2022-01-06,8.029999732971191
2022-01-07,8.020000457763672
2022-01-10,8.15999984741211
2022-01-11,8.710000038146973
2022-01-12,8.510000228881836
2022-01-13,8.65999984741211
2022-01-14,8.609999656677246
2022-01-18,8.069999694824219
2022-01-19,8.1899995803833
2022-01-20,8.430000305175781
2022-01-21,8.050000190734863
2022-01-24,8.010000228881836
2022-01-25,7.840000152587891
2022-01-26,7.78000020980835
2022-01-27,7.730000019073486
2022-01-28,8.359999656677246
2022-01-31,9.260000228881836
2022-02-01,9.649999618530273
2022-02-02,9.960000038146973
2022-02-03,9.470000267028809
2022-02-04,9.880000114440918
2022-02-07,10.390000343322754
2022-02-08,10.430000305175781
2022-02-09,11.300000190734863
2022-02-10,11.869999885559082
2022-02-11,11.289999961853027
2022-02-14,11.430000305175781
2022-02-15,11.890000343322754
2022-02-16,11.770000457763672
2022-02-17,11.600000381469727
2022-02-18,11.09000015258789
2022-02-22,11.3100004196167
2022-02-23,10.130000114440918
2022-02-24,11.949999809265137
2022-02-25,12.420000076293945
2022-02-28,13.010000228881836
2022-03-01,10.420000076293945
2022-03-02,11.039999961853027
2022-03-03,11.5600004196167
2022-03-04,11.029999732971191
2022-03-07,10.84000015258789
2022-03-08,10.520000457763672
