Date,RAL
2025-06-25,47.445125579833984
2025-06-26,47.944549560546875
2025-06-27,52.918792724609375
2025-06-30,48.433982849121094
2025-07-01,47.46510314941406
2025-07-02,45.697147369384766
2025-07-03,45.14778137207031
2025-07-07,46.126651763916016
2025-07-08,47.944549560546875
2025-07-09,48.683692932128906
2025-07-10,49.05326461791992
2025-07-11,47.34524154663086
2025-07-14,47.3052864074707
2025-07-15,48.144317626953125
2025-07-16,47.425148010253906
2025-07-17,47.96452331542969
2025-07-18,46.586116790771484
2025-07-21,46.46625900268555
2025-07-22,46.61608123779297
2025-07-23,48.044429779052734
2025-07-24,46.86579513549805
2025-07-25,47.445125579833984
2025-07-28,48.24420166015625
2025-07-29,47.24535369873047
2025-07-30,46.46625900268555
2025-07-31,45.66718292236328
2025-08-01,44.328731536865234
2025-08-04,42.88040542602539
2025-08-05,43.55961990356445
2025-08-06,43.469722747802734
2025-08-07,42.750553131103516
2025-08-08,44.94801330566406
2025-08-11,44.688316345214844
2025-08-12,44.478553771972656
2025-08-13,45.04789733886719
2025-08-14,43.539642333984375
2025-08-15,43.449745178222656
2025-08-18,43.15009307861328
2025-08-19,42.79050827026367
2025-08-20,41.741722106933594
2025-08-21,41.92151641845703
2025-08-22,43.699459075927734
2025-08-25,42.311065673828125
2025-08-26,41.20234680175781
2025-08-27,42.28110122680664
2025-08-28,42.640682220458984
2025-08-29,41.76169967651367
2025-09-02,42.54079818725586
2025-09-03,42.221168518066406
2025-09-04,42.74056625366211
2025-09-05,43.22999954223633
2025-09-08,42.33000183105469
2025-09-09,42.2599983215332
2025-09-10,41.95000076293945
2025-09-11,42.91999816894531
2025-09-12,41.31999969482422
2025-09-15,41.31999969482422
2025-09-16,41.83000183105469
2025-09-17,41.88999938964844
2025-09-18,43.7599983215332
2025-09-19,43.41999816894531
