Date,TLN
2023-06-02,46.5
2023-06-05,46.5
2023-06-06,46.0
2023-06-07,46.25
2023-06-08,46.5
2023-06-09,46.0
2023-06-12,46.5
2023-06-13,46.43000030517578
2023-06-14,46.5
2023-06-15,46.5
2023-06-16,46.5
2023-06-20,46.150001525878906
2023-06-21,46.5
2023-06-22,46.5
2023-06-23,46.45000076293945
2023-06-26,47.125
2023-06-27,47.5
2023-06-28,50.0
2023-06-29,49.4900016784668
2023-06-30,50.150001525878906
2023-07-03,50.36000061035156
2023-07-05,50.0
2023-07-06,50.150001525878906
2023-07-07,51.5099983215332
2023-07-10,52.25
2023-07-11,52.0
2023-07-12,52.150001525878906
2023-07-13,51.75
2023-07-14,52.0
2023-07-17,51.900001525878906
2023-07-18,51.75
2023-07-19,51.95000076293945
2023-07-20,51.875
2023-07-21,52.0
2023-07-24,51.5
2023-07-25,52.5
2023-07-26,52.69200134277344
2023-07-27,52.5
2023-07-28,54.25
2023-07-31,54.25
2023-08-01,54.099998474121094
2023-08-02,53.375
2023-08-03,53.75
2023-08-04,53.625
2023-08-07,54.0
2023-08-08,55.0
2023-08-09,54.5
2023-08-10,54.5
2023-08-11,54.25
2023-08-14,55.0
2023-08-15,54.349998474121094
2023-08-16,55.0
2023-08-17,54.0
2023-08-18,53.5
2023-08-21,53.0
2023-08-22,53.5
2023-08-23,54.0
2023-08-24,53.650001525878906
2023-08-25,53.5
2023-08-28,55.0
2023-08-29,54.75
2023-08-30,55.0
2023-08-31,55.25
2023-09-01,55.25
2023-09-05,54.75
2023-09-06,55.0
2023-09-07,55.0
2023-09-08,54.75
2023-09-11,54.849998474121094
2023-09-12,54.900001525878906
2023-09-13,54.900001525878906
2023-09-14,54.900001525878906
2023-09-15,54.900001525878906
2023-09-18,54.900001525878906
2023-09-19,54.900001525878906
2023-09-20,54.63999938964844
2023-09-21,54.5
2023-09-22,54.5
2023-09-25,54.400001525878906
2023-09-26,53.88999938964844
2023-09-27,53.25
2023-09-28,53.20000076293945
2023-09-29,52.900001525878906
2023-10-02,53.220001220703125
2023-10-03,52.29999923706055
2023-10-04,51.75
2023-10-05,52.779998779296875
2023-10-06,52.5
2023-10-09,52.150001525878906
2023-10-10,51.849998474121094
2023-10-11,52.5
2023-10-12,52.68000030517578
2023-10-13,52.5
2023-10-16,51.75
2023-10-17,52.09000015258789
2023-10-18,52.11000061035156
2023-10-19,52.20000076293945
2023-10-20,52.0
2023-10-23,52.33000183105469
2023-10-24,53.189998626708984
2023-10-25,52.959999084472656
2023-10-26,52.900001525878906
2023-10-27,52.99800109863281
2023-10-30,53.0
2023-10-31,52.97999954223633
2023-11-01,52.849998474121094
2023-11-02,52.900001525878906
2023-11-03,52.91999816894531
2023-11-06,53.900001525878906
2023-11-07,54.25
2023-11-08,54.220001220703125
2023-11-09,53.77000045776367
2023-11-10,54.75
2023-11-13,55.41999816894531
2023-11-14,54.45000076293945
2023-11-15,53.75
2023-11-16,53.5
2023-11-17,54.5
2023-11-20,54.38999938964844
2023-11-21,54.29999923706055
2023-11-22,55.150001525878906
2023-11-24,55.400001525878906
2023-11-27,54.91999816894531
2023-11-28,55.20000076293945
2023-11-29,56.0
2023-11-30,57.349998474121094
2023-12-01,59.54999923706055
2023-12-04,59.099998474121094
2023-12-05,59.0
2023-12-06,58.599998474121094
2023-12-07,58.31999969482422
2023-12-08,58.7599983215332
2023-12-11,58.75
2023-12-12,58.54999923706055
2023-12-13,58.04999923706055
2023-12-14,59.29999923706055
2023-12-15,59.25
2023-12-18,60.349998474121094
2023-12-19,62.0
2023-12-20,61.0
2023-12-21,62.5099983215332
2023-12-22,63.25
2023-12-26,63.0
2023-12-27,63.20000076293945
2023-12-28,63.25
2023-12-29,64.0
2024-01-02,65.19999694824219
2024-01-03,64.01000213623047
2024-01-04,62.2599983215332
2024-01-05,63.099998474121094
2024-01-08,65.0
2024-01-09,63.5
2024-01-10,64.5
2024-01-11,64.9000015258789
2024-01-12,64.5
2024-01-16,65.05000305175781
2024-01-17,64.51000213623047
2024-01-18,65.08999633789062
2024-01-19,65.0999984741211
2024-01-22,65.01000213623047
2024-01-23,65.08999633789062
2024-01-24,65.25
2024-01-25,65.79000091552734
2024-01-26,66.25
2024-01-29,66.69999694824219
2024-01-30,66.6500015258789
2024-01-31,66.3499984741211
2024-02-01,67.0
2024-02-02,67.25
2024-02-05,67.25
2024-02-06,67.25
2024-02-07,69.0
2024-02-08,66.0
2024-02-09,65.9000015258789
2024-02-12,67.0
2024-02-13,67.0
2024-02-14,67.08999633789062
2024-02-15,66.97000122070312
2024-02-16,68.69999694824219
2024-02-20,68.0
2024-02-21,68.04000091552734
2024-02-22,69.3499984741211
2024-02-23,69.9000015258789
2024-02-26,70.0
2024-02-27,72.9000015258789
2024-02-28,74.5
2024-02-29,74.80000305175781
2024-03-01,75.5999984741211
