Date,ENR
2015-06-12,25.9149169921875
2015-06-15,25.144878387451172
2015-06-16,25.04121971130371
2015-06-17,24.463685989379883
2015-06-18,24.434072494506836
2015-06-19,24.508106231689453
2015-06-22,24.804277420043945
2015-06-23,24.819095611572266
2015-06-24,25.41883659362793
2015-06-25,25.322587966918945
2015-06-26,25.544706344604492
2015-06-29,25.226320266723633
2015-06-30,25.174495697021484
2015-07-01,25.174495697021484
2015-07-02,27.136627197265625
2015-07-06,26.944108963012695
2015-07-07,26.144453048706055
2015-07-08,25.855688095092773
2015-07-09,26.573902130126953
2015-07-10,27.395769119262695
2015-07-13,28.506410598754883
2015-07-14,27.847429275512695
2015-07-15,28.047344207763672
2015-07-16,29.513395309448242
2015-07-17,30.698078155517578
2015-07-20,31.097909927368164
2015-07-21,31.120121002197266
2015-07-22,31.097909927368164
2015-07-23,31.15713882446289
2015-07-24,31.06089210510254
2015-07-27,30.62403106689453
2015-07-28,30.05390167236328
2015-07-29,29.12837028503418
2015-07-30,28.839609146118164
2015-07-31,28.51382064819336
2015-08-03,29.06172752380371
2015-08-04,28.580453872680664
2015-08-05,29.209819793701172
2015-08-06,30.46114158630371
2015-08-07,30.024282455444336
2015-08-10,30.475961685180664
2015-08-11,30.594409942626953
2015-08-12,30.372289657592773
2015-08-13,30.209392547607422
2015-08-14,30.016881942749023
2015-08-17,30.016881942749023
2015-08-18,29.957645416259766
2015-08-19,29.431949615478516
2015-08-20,28.79517936706543
2015-08-21,29.306074142456055
2015-08-24,29.246837615966797
2015-08-25,29.454164505004883
2015-08-26,29.691083908081055
2015-08-27,30.779525756835938
2015-08-28,30.816543579101562
2015-08-31,30.920207977294922
2015-09-01,30.698078155517578
2015-09-02,30.46114158630371
2015-09-03,30.4537296295166
2015-09-04,30.542600631713867
2015-09-08,31.097909927368164
2015-09-09,30.949817657470703
2015-09-10,29.965045928955078
2015-09-11,30.009477615356445
2015-09-14,29.86879539489746
2015-09-15,29.979862213134766
2015-09-16,30.920207977294922
2015-09-17,31.097909927368164
2015-09-18,30.96462631225586
2015-09-21,31.327434539794922
2015-09-22,31.105318069458008
2015-09-23,31.105318069458008
2015-09-24,29.67628288269043
2015-09-25,29.80215835571289
2015-09-28,29.47637176513672
2015-09-29,29.083940505981445
2015-09-30,28.661909103393555
2015-10-01,29.750329971313477
2015-10-02,30.10573387145996
2015-10-05,30.95722770690918
2015-10-06,30.44632911682129
2015-10-07,30.46114158630371
2015-10-08,31.097909927368164
2015-10-09,31.290422439575195
2015-10-12,31.645822525024414
2015-10-13,31.838340759277344
2015-10-14,31.364442825317383
2015-10-15,31.57918930053711
2015-10-16,31.616209030151367
2015-10-19,31.46812629699707
2015-10-20,31.838340759277344
2015-10-21,31.919776916503906
2015-10-22,32.0012321472168
2015-10-23,31.90497589111328
2015-10-26,31.408885955810547
2015-10-27,31.46070671081543
2015-10-28,31.986425399780273
2015-10-29,31.853147506713867
2015-10-30,31.712474822998047
2015-11-02,32.0234260559082
2015-11-03,31.71986198425293
2015-11-04,31.423683166503906
2015-11-05,30.601823806762695
2015-11-06,30.209392547607422
2015-11-09,30.298246383666992
2015-11-10,30.016881942749023
2015-11-11,29.372716903686523
2015-11-12,26.714582443237305
2015-11-13,26.536874771118164
2015-11-16,27.647523880004883
2015-11-17,26.662752151489258
2015-11-18,26.411001205444336
2015-11-19,26.37398910522461
2015-11-20,26.114835739135742
2015-11-23,25.92232322692871
2015-11-24,25.64836883544922
2015-11-25,25.85719871520996
2015-11-27,25.596162796020508
2015-11-30,25.223255157470703
2015-12-01,25.394792556762695
2015-12-02,25.29783058166504
2015-12-03,24.760860443115234
2015-12-04,25.506671905517578
2015-12-07,25.566333770751953
2015-12-08,25.394792556762695
2015-12-09,25.379873275756836
2015-12-10,25.394792556762695
2015-12-11,25.432086944580078
2015-12-14,25.23072052001953
2015-12-15,25.372413635253906
2015-12-16,26.207725524902344
2015-12-17,26.013818740844727
2015-12-18,25.454458236694336
2015-12-21,26.02873420715332
2015-12-22,26.341983795166016
2015-12-23,26.528417587280273
2015-12-24,26.036191940307617
2015-12-28,26.14060401916504
2015-12-29,26.46129608154297
2015-12-30,25.991439819335938
2015-12-31,25.40225601196289
2016-01-04,25.87957191467285
2016-01-05,25.7677001953125
2016-01-06,25.603620529174805
2016-01-07,24.69373321533203
2016-01-08,23.82859230041504
2016-01-11,23.418397903442383
2016-01-12,23.821138381958008
2016-01-13,23.418397903442383
2016-01-14,23.4482364654541
2016-01-15,22.8366641998291
2016-01-19,22.545799255371094
2016-01-20,22.866498947143555
2016-01-21,23.336360931396484
2016-01-22,23.731637954711914
2016-01-25,24.104543685913086
2016-01-26,23.821138381958008
2016-01-27,23.612314224243164
2016-01-28,23.343820571899414
2016-01-29,23.895713806152344
2016-02-01,23.75401496887207
2016-02-02,23.552644729614258
2016-02-03,27.490514755249023
2016-02-04,28.228864669799805
2016-02-05,27.169822692871094
2016-02-08,27.542715072631836
2016-02-09,27.289154052734375
2016-02-10,27.826128005981445
2016-02-11,26.56571388244629
2016-02-12,27.14744758605957
2016-02-16,27.803760528564453
2016-02-17,28.104097366333008
2016-02-18,27.721160888671875
2016-02-19,27.653589248657227
2016-02-22,28.937528610229492
2016-02-23,28.45699119567871
2016-02-24,28.036521911621094
2016-02-25,29.16278648376465
2016-02-26,29.41806983947754
2016-02-29,29.237869262695312
2016-03-01,29.470626831054688
2016-03-02,30.003719329833984
2016-03-03,30.694501876831055
2016-03-04,31.190053939819336
2016-03-07,31.16753578186035
2016-03-08,30.40167999267578
